"ｺｰﾄﾞ","勘定科目名"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"
"4111","売上高","3,924,140","4,163,466","4,114,339","4,081,254","4,023,326","3,959,172","6,654,150","5,534,129","4,134,996","6,626,619","5,290,541","6,653,089"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","12,555","26,586","17,714","15,828","19,107","9,785","18,414","15,590","16,793","22,936","16,639","26,375"
,"純売上高","3,911,585","4,136,880","4,096,625","4,065,426","4,004,219","3,949,387","6,635,736","5,518,539","4,118,203","6,603,683","5,273,902","6,626,714"
"5111","期首棚卸高","458,192","506,912","423,801","425,616","366,206","413,519","388,492","593,896","458,653","380,396","490,603","632,850"
"5211","商品仕入高","474,504","380,014","452,971","425,010","560,388","449,655","883,322","501,398","498,049","883,867","739,797","650,115"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","506,912","423,801","425,616","366,206","413,519","388,492","593,896","458,653","380,396","490,603","632,850","605,286"
,"当期売上原価","425,784","463,125","451,156","484,420","513,075","474,682","677,918","636,641","576,306","773,660","597,550","677,679"
,"売上総利益","3,485,801","3,673,755","3,645,469","3,581,006","3,491,144","3,474,705","5,957,818","4,881,898","3,541,897","5,830,023","4,676,352","5,949,035"
"6111","給与手当","317,000","532,000","498,000","282,000","287,000","282,000","288,586","292,000","293,935","345,480","80,000","80,000"
"6311","雑給","442,968","394,779","364,968","447,552","515,466","519,823","653,543","511,456","384,993","734,827","908,632","1,214,748"
"6112","旅費交通費","4,255","4,182","3,500","4,305","9,900","9,432","11,321","5,918","4,607","7,030","16,275","14,265"
"6113","広告宣伝費","17,514","30,491","20,990","21,512","118,825","17,839","30,548","27,348","28,594","47,291","17,602","25,529"
"6114","販売促進費","21,479","63,622","60,818","22,178","20,886","28,961","22,153","21,853","16,524","17,503","25,130","17,294"
"6115","荷造発送費","0","0","845","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","373,184","306,771","364,047","325,708","384,844","394,095","434,779","399,879","390,156","384,284","475,083","432,949"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","15,000","15,000","15,000","15,000","10,000","10,000","-26,000","10,000","10,000","10,000","10,000","10,000"
"6312","法定福利費","135,179","126,765","126,765","128,168","92,540","81,320","81,320","86,930","86,930","86,930","97,711","118,748"
"6226","厚生費","9,395","3,665","2,250","24,533","53,970","91","44,543","20,633","134,651","21,065","34,558","43,960"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","109,153","109,153","109,153","66,905","69,289","69,289","69,289","69,289","69,289","69,289","69,289","69,289"
