"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","4,023,326","3,959,172","6,654,150","5,534,129","4,134,996","6,626,619","5,290,541","6,653,089","5,872,830","6,033,881","8,146,100","5,938,248"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","19,107","9,785","18,414","15,590","16,793","22,936","16,639","26,375","20,861","32,071","24,876","24,825"
,"純売上高","4,004,219","3,949,387","6,635,736","5,518,539","4,118,203","6,603,683","5,273,902","6,626,714","5,851,969","6,001,810","8,121,224","5,913,423"
"5111","期首棚卸高","366,206","413,519","388,492","593,896","458,653","380,396","490,603","632,850","605,286","459,263","527,762","596,795"
"5211","商品仕入高","560,388","449,655","883,322","501,398","498,049","883,867","739,797","650,115","565,983","744,867","927,354","494,830"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","413,519","388,492","593,896","458,653","380,396","490,603","632,850","605,286","459,263","527,762","596,795","421,376"
,"当期売上原価","513,075","474,682","677,918","636,641","576,306","773,660","597,550","677,679","712,006","676,368","858,321","670,249"
,"売上総利益","3,491,144","3,474,705","5,957,818","4,881,898","3,541,897","5,830,023","4,676,352","5,949,035","5,139,963","5,325,442","7,262,903","5,243,174"
"6111","給与手当","287,000","282,000","288,586","292,000","293,935","345,480","80,000","80,000","124,214","98,102","146,126","92,087"
"6311","雑給","515,466","519,823","653,543","511,456","384,993","734,827","908,632","1,214,748","1,077,583","1,161,503","1,234,352","1,137,004"
"6112","旅費交通費","9,900","9,432","11,321","5,918","4,607","7,030","16,275","14,265","46,313","26,765","27,896","28,274"
"6113","広告宣伝費","118,825","17,839","30,548","27,348","28,594","47,291","17,602","25,529","69,048","25,479","57,050","44,606"
"6114","販売促進費","20,886","28,961","22,153","21,853","16,524","17,503","25,130","17,294","26,259","20,801","16,717","38,144"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","384,844","394,095","434,779","399,879","390,156","384,284","475,083","432,949","500,976","496,842","497,105","577,078"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","10,000","10,000","-26,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
"6312","法定福利費","92,540","81,320","81,320","86,930","86,930","86,930","97,711","118,748","115,166","118,748","118,748","113,631"
"6226","厚生費","53,970","91","44,543","20,633","134,651","21,065","34,558","43,960","-109","0","223,500","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","69,289","69,289","69,289","69,289","69,289","69,289","69,289","69,289","69,289","69,289","69,289","510,262"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000"
