"ｺｰﾄﾞ","勘定科目名"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","0","5,603,931","5,897,933","10,998,980","9,221,757","6,760,029","9,374,154","7,005,673","7,180,216","7,132,338","7,486,831","8,342,994"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","20,766","25,095","49,739","36,275","21,725","32,757","24,270","33,694","39,037","32,770","37,456"
,"純売上高","0","5,583,165","5,872,838","10,949,241","9,185,482","6,738,304","9,341,397","6,981,403","7,146,522","7,093,301","7,454,061","8,305,538"
"5111","期首棚卸高","0","421,376","437,977","531,000","865,707","632,729","561,338","592,350","866,242","716,049","620,387","731,894"
"5311","期末棚卸高        (△)","0","437,977","531,000","865,707","632,729","561,338","592,350","866,242","716,049","620,387","731,894","718,884"
"5211","商品仕入高","0","711,811","867,125","1,025,594","1,134,287","760,170","1,094,222","1,183,931","636,247","736,003","932,772","948,280"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","695,210","774,102","690,887","1,367,265","831,561","1,063,210","910,039","786,440","831,665","821,265","961,290"
,"売上総利益","0","4,887,955","5,098,736","10,258,354","7,818,217","5,906,743","8,278,187","6,071,364","6,360,082","6,261,636","6,632,796","7,344,248"
"6111","給与手当","0","80,000","154,976","80,000","80,000","153,720","155,000","104,800","80,000","80,000","27,640","34,800"
"6311","雑給","0","1,061,840","1,154,624","1,635,403","1,292,104","1,163,011","1,885,551","1,718,969","1,710,922","1,576,835","1,733,032","1,868,668"
"6112","旅費交通費","0","21,037","27,303","34,080","32,144","27,826","42,805","39,149","34,384","28,321","44,797","41,199"
"6113","広告宣伝費","0","-47,435","82,676","28,476","60,538","54,399","52,813","134,666","51,273","49,144","39,895","52,305"
"6114","販売促進費","0","16,953","25,206","25,037","25,838","19,454","17,026","19,498","20,486","39,189","28,900","27,216"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","480,096","487,278","492,724","200,990","845,746","519,647","534,539","553,504","514,093","523,747","514,508"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","10,000","10,000","58,000","10,000","10,000","10,000","10,000","10,000","130,000","10,000","10,000"
"6312","法定福利費","0","113,496","113,496","113,496","113,496","113,496","141,872","141,882","141,882","141,882","143,877","129,594"
"6226","厚生費","0","34,540","63,104","3,500","0","0","7,437","7,188","7,258","26,349","54,785","7,187"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","99,231","99,231","107,531","99,231","99,231","99,231","99,231","99,231","99,231","99,231","99,231"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","677,540","677,540","677,540","677,540","677,540","677,540","677,540","632,086","632,086","632,086","632,086"
"6216","修繕／車両関係費","0","0","0","0","0","97,100","421,267","465,500","0","182,800","80,500","339,400"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","56,844","34,827","3,124","57,823","34,390","3,124","53,852","22,666","6,248","56,677","0"
"6219","水道光熱費","0","950,651","341,358","367,405","470,232","475,543","421,796","455,278","384,068","419,874","469,701","695,778"
"6221","租税公課","0","0","0","1,000","0","600","1,000","0","1,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","120,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","0","102,842","102,253","59,485","69,272","98,454","339,803","393,561","147,788","83,842","69,683","123,226"
"6227","管理諸費","0","72,769","66,729","68,127","70,027","74,052","80,800","77,664","68,129","66,727","69,829","66,729"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","10,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
