"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","売上高","0","0","0","0","0","0","0","0","0","5,603,931","5,897,933","10,998,980"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","20,766","25,095","49,739"
,"純売上高","0","0","0","0","0","0","0","0","0","5,583,165","5,872,838","10,949,241"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","421,376","437,977","531,000"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","437,977","531,000","865,707"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","711,811","867,125","1,025,594"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","695,210","774,102","690,887"
,"売上総利益","0","0","0","0","0","0","0","0","0","4,887,955","5,098,736","10,258,354"
"6111","給与手当","0","0","0","0","0","0","0","0","0","80,000","154,976","80,000"
"6311","雑給","0","0","0","0","0","0","0","0","0","1,061,840","1,154,624","1,635,403"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","21,037","27,303","34,080"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","-47,435","82,676","28,276"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","16,953","25,206","25,037"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","480,096","487,278","487,224"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","10,000","10,000","58,000"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","113,496","113,496","113,496"
"6226","厚生費","0","0","0","0","0","0","0","0","0","34,540","63,104","3,500"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","99,231","99,231","107,531"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","677,540","677,540","677,540"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","56,844","34,827","3,124"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","950,651","341,358","367,405"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","1,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","120,000","60,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","102,842","102,253","59,485"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","72,769","66,729","68,127"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","3,730,404","3,560,601","3,809,228"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","1,157,551","1,538,135","6,449,126"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","1,157,551","1,538,135","6,449,126"
