"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","6,229,268","7,946,453","6,754,199","4,966,495","6,257,019","9,091,260","8,446,141","5,837,079","5,935,124","757,598","1,467,988","3,862,652"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","491,735","618,894","575,085","375,125","512,886","672,442","674,034","462,611","477,809","62,170","137,571","310,349"
,"純売上高","5,737,533","7,327,559","6,179,114","4,591,370","5,744,133","8,418,818","7,772,107","5,374,468","5,457,315","695,428","1,330,417","3,552,303"
"5111","期首たな卸高","548,595","637,799","753,149","749,078","821,644","946,552","1,334,996","968,606","933,292","802,124","797,350","713,386"
"5211","商品仕入高","1,002,583","1,169,212","848,672","829,078","1,000,472","1,842,369","856,800","860,771","769,843","154,630","42,406","486,953"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","637,799","753,149","512,652","821,644","946,552","1,334,996","968,606","933,292","802,124","797,350","713,386","718,938"
,"当期売上原価","913,379","1,053,862","1,089,169","756,512","875,564","1,453,925","1,223,190","896,085","901,011","159,404","126,370","481,401"
,"売上総利益","4,824,154","6,273,697","5,089,945","3,834,858","4,868,569","6,964,893","6,548,917","4,478,383","4,556,304","536,024","1,204,047","3,070,902"
"6111","給与手当","361,500","1,132,820","346,500","325,500","350,000","380,000","339,000","372,000","317,000","399,117","447,518","545,600"
"6311","雑給","898,755","260,171","960,466","823,041","916,783","1,189,930","1,046,716","906,470","797,900","494,271","441,002","529,237"
"6112","旅費交通費","31,968","34,835","32,794","34,589","29,221","37,505","20,386","29,608","41,772","26,934","21,283","36,625"
"6113","広告宣伝費","227,473","250,576","310,910","321,770","310,996","259,662","291,364","244,031","319,994","94,661","115,820","175,207"
"6114","販売促進費","111,745","121,728","87,557","72,043","89,543","155,283","122,472","103,149","92,360","25,591","13,431","46,429"
"6115","荷造発送費","0","0","0","4,364","0","0","0","0","2,700","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","462,184","442,621","453,988","425,967","450,295","446,760","473,454","443,356","432,636","376,187","266,745","178,775"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","10,000","10,000","10,000","10,000","10,000","37,829","10,000","10,000","10,000","0","0","0"
"6312","法定福利費","102,565","102,565","110,980","108,780","108,780","144,936","132,622","50,272","52,608","89,047","89,047","59,810"
"6226","厚生費","10,398","15,000","62,000","26,500","57,650","59,159","5,000","30,744","5,000","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,207,074","1,207,074","1,552,569","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","752,861","52,860","746,360","751,898","751,898","751,898","751,898","751,899","751,898","751,898","751,898","751,898"
"6216","修繕／車両関係費","22,000","113,277","28,000","11,080","80,000","72,200","0","11,000","910,000","31,500","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","1,318"
"6218","通信交通費","29,020","16,612","27,486","21,825","11,888","23,902","27,168","16,957","27,128","24,382","12,115","31,767"
"6219","水道光熱費","508,502","489,282","685,535","639,390","507,747","343,509","430,230","389,121","378,339","287,732","229,662","308,995"
"6221","租税公課","0","1,000","0","1,000","1,000","1,000","0","0","1,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","31,912","31,912","31,912","35,472","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912"
"6225","備品消耗品費","241,531","124,215","84,206","216,538","110,437","219,292","108,148","121,220","237,083","19,864","40,587","83,603"
"6227","管理諸費","134,514","141,964","119,214","133,559","141,718","149,900","99,901","113,533","488,433","42,000","46,500","47,402"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","6,000","0","0","0","0","0","0","0","4,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","5,700","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
