"ｺｰﾄﾞ","勘定科目名"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"
"4111","売上高","6,754,199","4,966,495","6,257,019","9,091,260","8,446,141","5,837,079","5,935,124","757,598","1,467,988","3,862,652","3,704,483","3,779,723"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","575,085","375,125","512,886","672,442","674,034","462,611","477,809","62,170","137,571","310,349","300,169","295,206"
,"純売上高","6,179,114","4,591,370","5,744,133","8,418,818","7,772,107","5,374,468","5,457,315","695,428","1,330,417","3,552,303","3,404,314","3,484,517"
"5111","期首たな卸高","753,149","749,078","821,644","946,552","1,334,996","968,606","933,292","802,124","797,350","713,386","718,938","798,395"
"5211","商品仕入高","848,672","829,078","1,000,472","1,842,369","856,800","860,771","769,843","154,630","42,406","486,953","573,271","486,348"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","512,652","821,644","946,552","1,334,996","968,606","933,292","802,124","797,350","713,386","718,938","798,395","770,599"
,"当期売上原価","1,089,169","756,512","875,564","1,453,925","1,223,190","896,085","901,011","159,404","126,370","481,401","493,814","514,144"
,"売上総利益","5,089,945","3,834,858","4,868,569","6,964,893","6,548,917","4,478,383","4,556,304","536,024","1,204,047","3,070,902","2,910,500","2,970,373"
"6111","給与手当","346,500","325,500","350,000","380,000","339,000","372,000","317,000","399,117","447,518","545,600","542,618","542,600"
"6311","雑給","960,466","823,041","916,783","1,189,930","1,046,716","906,470","797,900","494,271","441,002","529,237","554,063","575,894"
"6112","旅費交通費","32,794","34,589","29,221","37,505","20,386","29,608","41,772","26,934","21,283","36,625","50,088","38,658"
"6113","広告宣伝費","310,910","321,770","310,996","259,662","291,364","244,031","319,994","94,661","115,820","175,207","207,465","387,752"
"6114","販売促進費","87,557","72,043","89,543","155,283","122,472","103,149","92,360","25,591","13,431","46,429","47,351","43,759"
"6115","荷造発送費","0","4,364","0","0","0","0","2,700","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","453,988","425,967","450,295","446,760","473,454","443,356","432,636","376,187","266,745","178,775","401,366","411,413"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","10,000","10,000","10,000","37,829","10,000","10,000","10,000","0","0","0","0","0"
"6312","法定福利費","110,980","108,780","108,780","144,936","132,622","50,272","52,608","89,047","89,047","59,810","50,968","54,009"
"6226","厚生費","62,000","26,500","57,650","59,159","5,000","30,744","5,000","0","0","0","5,000","5,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,552,569","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239","1,019,239"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","746,360","751,898","751,898","751,898","751,898","751,899","751,898","751,898","751,898","751,898","751,898","751,898"
"6216","修繕／車両関係費","28,000","11,080","80,000","72,200","0","11,000","910,000","31,500","0","0","65,000","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","1,318","0","0"
"6218","通信交通費","27,486","21,825","11,888","23,902","27,168","16,957","27,128","24,382","12,115","31,767","19,444","24,845"
"6219","水道光熱費","685,535","639,390","507,747","343,509","430,230","389,121","378,339","287,732","229,662","308,995","355,925","371,989"
"6221","租税公課","0","1,000","1,000","1,000","0","0","1,000","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","31,912","35,472","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912"
"6225","備品消耗品費","84,206","216,538","110,437","219,292","108,148","121,220","237,083","19,864","40,587","83,603","95,645","95,231"
"6227","管理諸費","119,214","133,559","141,718","149,900","99,901","113,533","488,433","42,000","46,500","47,402","69,583","92,803"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","6,000","0","0","0","0","0","0","0","4,500","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","5,700","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,656,177","4,988,555","4,980,107","5,324,916","4,910,510","4,645,511","5,918,002","3,715,335","3,527,759","3,853,317","4,268,565","4,448,002"
,"営業利益（損失）","-566,232","-1,153,697","-111,538","1,639,977","1,638,407","-167,128","-1,361,698","-3,179,311","-2,323,712","-782,415","-1,358,065","-1,477,629"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","89,000","102,272","0","0","0","530,000","0","0","0","0","0"
,"営業外収益計","0","89,000","102,272","0","0","0","530,000","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-390","0","0","0","0","51","0","-102","-20","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-390","0","0","0","0","51","0","-102","-20","0","0"
,"経常利益（損失）","-566,232","-1,064,307","-9,266","1,639,977","1,638,407","-167,128","-831,749","-3,179,311","-2,323,610","-782,395","-1,358,065","-1,477,629"
