"ｺｰﾄﾞ","勘定科目名"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"
"4111","売上高","1,467,988","3,862,652","3,704,483","3,777,905","3,702,320","3,896,993","3,059,788","3,777,386","3,192,775","3,782,715","4,692,714","3,757,202"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","137,571","310,349","300,169","295,206","296,700","306,385","251,897","281,491","250,755","478,175","270,375","256,994"
,"純売上高","1,330,417","3,552,303","3,404,314","3,482,699","3,405,620","3,590,608","2,807,891","3,495,895","2,942,020","3,304,540","4,422,339","3,500,208"
"5111","期首たな卸高","797,350","713,386","718,938","798,395","770,599","666,493","717,667","666,974","750,553","615,470","628,684","658,122"
"5211","商品仕入高","42,406","486,953","573,271","486,348","419,338","666,713","436,920","636,680","340,394","562,707","759,784","793,624"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","713,386","718,938","798,395","770,599","666,493","717,667","666,974","750,553","615,470","628,684","658,122","837,680"
,"当期売上原価","126,370","481,401","493,814","514,144","523,444","615,539","487,613","553,101","475,477","549,493","730,346","614,066"
,"売上総利益","1,204,047","3,070,902","2,910,500","2,968,555","2,882,176","2,975,069","2,320,278","2,942,794","2,466,543","2,755,047","3,691,993","2,886,142"
"6111","給与手当","447,518","545,600","542,618","542,600","542,600","572,600","577,600","551,086","571,766","562,600","562,600","501,731"
"6311","雑給","441,002","529,237","554,063","575,894","594,644","572,233","499,918","614,365","436,541","403,087","450,302","404,960"
"6112","旅費交通費","21,283","36,625","50,088","38,658","40,529","53,161","41,772","23,787","25,850","28,867","32,517","31,428"
"6113","広告宣伝費","115,820","175,207","207,465","257,609","259,832","157,764","99,828","321,143","157,417","72,906","134,847","73,648"
"6114","販売促進費","13,431","46,429","47,351","43,759","43,753","20,219","65,625","83,846","77,658","65,796","70,063","59,392"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","266,745","178,775","401,366","411,413","400,364","412,023","416,061","419,196","448,213","353,699","352,085","413,973"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","120,000","0","0","0","0"
"6312","法定福利費","89,047","59,810","50,968","54,009","72,823","84,035","84,035","120,473","83,842","86,838","86,792","86,792"
"6226","厚生費","0","0","5,000","5,000","2,250","78,290","2,250","0","3,977","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,019,239","1,019,239","1,019,239","1,019,239","1,693,190","964,132","964,132","964,132","964,132","964,132","964,132","964,132"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","751,898","751,898","751,898","751,898","751,898","751,898","751,898","751,898","751,898","751,899","751,898","751,898"
"6216","修繕／車両関係費","0","0","65,000","0","3,810","15,800","0","0","14,150","0","11,000","0"
"6217","事務用消耗品費","0","1,318","0","0","0","0","0","0","200","0","0","0"
"6218","通信交通費","12,115","31,767","19,444","24,845","19,383","24,669","19,251","16,772","19,352","24,065","26,566","31,540"
"6219","水道光熱費","229,662","308,995","355,925","371,989","468,014","279,928","289,330","208,838","283,011","226,567","272,782","224,807"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912","32,912"
"6225","備品消耗品費","40,587","83,603","95,645","95,231","107,281","46,800","156,898","87,674","64,286","64,888","151,370","98,788"
"6227","管理諸費","46,500","47,402","69,583","92,803","71,032","69,433","69,833","102,605","71,433","92,183","92,033","92,183"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","4,500","0","0","0","0","0","0","0","0","0","4,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,527,759","3,853,317","4,268,565","4,317,859","5,104,315","4,135,897","4,071,343","4,418,727","4,006,638","3,730,439","3,991,899","3,772,684"
,"営業利益（損失）","-2,323,712","-782,415","-1,358,065","-1,349,304","-2,222,139","-1,160,828","-1,751,065","-1,475,933","-1,540,095","-975,392","-299,906","-886,542"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","-102","-20","0","0","0","0","0","0","0","0","-32","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","-102","-20","0","0","0","0","0","0","0","0","-32","0"
