"ｺｰﾄﾞ","勘定科目名"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"
"4111","売上高","4,692,714","3,757,202","3,950,390","3,565,799","4,196,942","1,686,434","0","4,122,000","4,083,805","6,053,811","4,747,640","1,635,849"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","270,375","256,994","252,422","256,532","262,454","114,987","0","279,200","242,996","365,559","283,852","92,815"
,"純売上高","4,422,339","3,500,208","3,697,968","3,309,267","3,934,488","1,571,447","0","3,842,800","3,840,809","5,688,252","4,463,788","1,543,034"
"5111","期首棚卸高","628,684","658,122","837,680","670,275","668,194","666,668","676,724","675,166","639,239","663,255","1,055,506","822,248"
"5211","商品仕入高","759,784","793,624","372,891","541,479","701,869","343,864","0","650,766","648,854","1,319,519","410,163","268,424"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","658,122","837,680","670,275","668,194","666,668","676,724","675,166","639,239","663,255","1,055,506","822,248","753,981"
,"当期売上原価","730,346","614,066","540,296","543,560","703,395","333,808","1,558","686,693","624,838","927,268","643,421","336,691"
,"売上総利益","3,691,993","2,886,142","3,157,672","2,765,707","3,231,093","1,237,639","-1,558","3,156,107","3,215,971","4,760,984","3,820,367","1,206,343"
"6111","給与手当","562,600","501,731","580,100","565,100","572,352","658,892","548,180","649,600","617,600","743,600","657,623","634,290"
"6311","雑給","450,302","404,960","367,615","361,207","388,377","355,763","273,432","448,951","470,722","634,638","639,402","569,974"
"6112","旅費交通費","32,517","31,428","14,132","48,518","39,944","31,693","17,408","41,609","45,242","43,519","39,766","32,085"
