"ｺｰﾄﾞ","勘定科目名"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"
"4111","売上高","4,489,294","4,324,110","4,941,380","4,373,317","6,207,678","5,742,739","4,937,405","6,371,192","5,188,382","6,086,940","4,695,869","5,685,789"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","44,596","43,889","64,348","49,971","73,841","59,735","64,525","74,285","75,511","60,333","63,483","87,007"
,"純売上高","4,444,698","4,280,221","4,877,032","4,323,346","6,133,837","5,683,004","4,872,880","6,296,907","5,112,871","6,026,607","4,632,386","5,598,782"
"5111","期首棚卸高","701,551","673,323","591,935","588,814","634,230","1,090,497","773,588","790,921","856,215","768,042","883,328","816,625"
"5211","商品仕入高","665,558","688,008","876,980","790,946","1,390,361","753,182","899,124","1,266,007","886,020","1,259,470","822,365","1,073,636"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","673,323","591,935","588,814","634,230","1,090,497","773,588","790,921","856,215","768,042","883,328","816,625","818,044"
,"当期売上原価","693,786","769,396","880,101","745,530","934,094","1,070,091","881,791","1,200,713","974,193","1,144,184","889,068","1,072,217"
,"売上総利益","3,750,912","3,510,825","3,996,931","3,577,816","5,199,743","4,612,913","3,991,089","5,096,194","4,138,678","4,882,423","3,743,318","4,526,565"
"6111","給与手当","566,600","671,600","889,537","369,600","383,814","379,600","377,665","640,442","152,500","155,100","419,724","408,152"
"6311","雑給","634,824","670,287","706,101","818,087","1,047,710","868,763","779,684","993,629","1,152,288","1,227,850","1,120,117","1,153,464"
"6112","旅費交通費","45,374","46,564","46,679","43,401","38,353","34,350","32,706","40,004","35,498","19,645","21,938","26,155"
"6113","広告宣伝費","40,455","57,789","171,262","70,346","59,448","66,728","40,359","313,089","51,462","49,290","140,938","72,093"
"6114","販売促進費","55,712","8,365","23,087","29,744","24,073","24,848","18,747","18,945","26,105","19,120","18,983","18,555"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","6,287","11,124","0","0","0","0","0","0","0","0"
"6117","支払手数料","355,687","403,311","460,774","530,069","487,115","530,359","448,481","551,881","566,401","512,129","533,552","550,755"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","78,500","78,500","52,333","52,333","-237,667","52,333","52,333","52,333","52,333","52,333","52,333","52,333"
