"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","売上高","0","0","0","0","0","0","0","0","0","5,004,082","4,994,657","8,296,118"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","77,854","69,344","83,385"
,"純売上高","0","0","0","0","0","0","0","0","0","4,926,228","4,925,313","8,212,733"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","750,994","862,878","835,988"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","862,878","835,988","1,261,888"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","1,033,193","931,064","1,216,810"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","921,309","957,954","790,910"
,"売上総利益","0","0","0","0","0","0","0","0","0","4,004,919","3,967,359","7,421,823"
"6111","給与手当","0","0","0","0","0","0","0","0","0","531,800","387,024","499,985"
"6311","雑給","0","0","0","0","0","0","0","0","0","1,222,404","1,226,893","1,612,688"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","20,215","23,510","30,770"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","93,055","75,859","77,307"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","17,617","66,250","90,074"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","517,437","520,267","518,801"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","52,333","52,333","-133,511"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","178,779","178,779","262,074"
"6226","厚生費","0","0","0","0","0","0","0","0","0","49,910","60,604","1,364"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","78,967","78,967","87,267"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","752,936","752,938","752,936"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","26,400","74,400","185,640"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","31,366","10,344","16,903"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","394,293","336,488","276,676"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","50,000","25,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","82,452","97,596","95,432"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","118,917","126,863","115,013"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","4,168,881","4,119,115","4,514,419"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","-163,962","-151,756","2,907,404"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","1,000","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","1,000","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","-163,962","-152,756","2,907,404"
