"ｺｰﾄﾞ","勘定科目名"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"
"4111","売上高","8,643,518","9,167,022","10,559,963","7,470,686","6,510,726","7,187,182","10,858,733","9,325,937","7,424,708","6,071,208","616,096","0"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","193,431","165,469","193,741","168,304","193,706","184,977","163,386","194,018","179,562","133,046","13,717","0"
,"純売上高","8,450,087","9,001,553","10,366,222","7,302,382","6,317,020","7,002,205","10,695,347","9,131,919","7,245,146","5,938,162","602,379","0"
"5111","期首たな卸高","1,199,989","1,004,322","1,104,775","1,160,165","950,004","1,026,161","964,478","1,732,401","1,049,722","952,873","866,859","839,467"
"5211","商品仕入高","1,248,372","1,652,155","1,800,437","1,055,528","1,331,985","1,249,765","2,613,898","1,090,800","1,197,418","954,561","129,390","5,519"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,004,322","1,104,775","1,160,165","950,004","1,026,161","964,478","1,732,401","1,049,722","952,873","866,859","839,467","835,905"
,"当期売上原価","1,444,039","1,551,702","1,745,047","1,265,689","1,255,828","1,311,448","1,845,975","1,773,479","1,294,267","1,040,575","156,782","9,081"
,"売上総利益","7,006,048","7,449,851","8,621,175","6,036,693","5,061,192","5,690,757","8,849,372","7,358,440","5,950,879","4,897,587","445,597","-9,081"
"6111","給与手当","1,280,920","1,263,810","1,038,100","1,012,300","1,038,100","1,070,100","1,045,100","1,045,100","1,120,100","1,065,100","709,709","692,585"
"6311","雑給","973,378","935,987","1,154,130","1,055,856","982,243","1,057,497","1,257,369","1,071,663","786,962","624,822","429,843","338,790"
"6112","旅費交通費","96,167","102,089","92,375","89,590","88,193","91,093","97,035","91,400","76,680","75,060","20,507","16,754"
"6113","広告宣伝費","353,761","526,865","382,124","357,517","462,989","559,433","403,967","418,454","450,740","449,234","95,774","19,239"
"6114","販売促進費","165,061","97,854","85,147","82,575","85,200","101,032","152,246","96,324","109,573","89,299","15,989","12,000"
"6115","荷造発送費","0","0","0","0","0","446","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","631,876","630,128","710,390","640,217","625,830","642,952","845,181","632,210","739,500","513,751","455,504","306,591"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-201,582","52,000","52,000","52,000","52,000","52,000","-86,012","52,000","52,000","52,000","0","0"
"6312","法定福利費","206,405","198,215","164,555","199,337","204,937","204,937","227,627","204,937","192,697","196,403","159,964","159,964"
"6226","厚生費","55,650","32,389","67,970","93,148","13,836","84,835","56,909","21,364","24,477","66,849","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","987,334","987,334","987,334","1,403,459","915,532","915,532","915,532","915,532","915,532","915,532","915,532","915,532"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6216","修繕／車両関係費","-71,231","48,500","21,500","2,665","12,800","11,000","110,000","-24,000","18,070","11,000","0","0"
"6217","事務用消耗品費","0","989","0","922","1,270","740","0","2,068","0","2,627","0","0"
"6218","通信交通費","1,874","37,640","2,063","34,727","19,175","2,469","17,853","34,764","1,866","34,768","18,297","1,866"
"6219","水道光熱費","470,042","784,073","520,655","936,599","497,968","574,893","400,334","707,304","512,606","626,550","511,533","66,805"
"6221","租税公課","0","0","0","0","1,000","0","1,200","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","1,250","0","0","0","0","0","0","0","0"
"6224","保険料","56,172","56,172","56,172","56,218","76,452","73,892","73,892","73,892","73,892","73,892","73,892","73,892"
"6225","備品消耗品費","825,791","422,495","277,526","148,841","171,028","234,203","371,417","105,351","132,077","197,239","37,116","19,695"
"6227","管理諸費","405,760","207,210","180,181","227,161","220,286","248,135","220,814","177,210","163,210","104,570","12,500","0"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
