"ｺｰﾄﾞ","勘定科目名"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"
"4111","売上高","7,187,182","10,858,733","9,325,937","7,424,708","6,071,208","616,096","0","2,603,090","2,420,808","1,944,343","2,943,705","3,157,538"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","184,977","163,386","194,018","179,562","133,046","13,717","0","55,629","44,893","28,621","64,449","100,865"
,"純売上高","7,002,205","10,695,347","9,131,919","7,245,146","5,938,162","602,379","0","2,547,461","2,375,915","1,915,722","2,879,256","3,056,673"
"5111","期首たな卸高","1,026,161","964,478","1,732,401","1,049,722","952,873","866,859","839,467","835,905","748,158","691,249","670,659","713,877"
"5211","商品仕入高","1,249,765","2,613,898","1,090,800","1,197,418","954,561","129,390","5,519","232,441","271,352","406,653","515,061","642,816"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","964,478","1,732,401","1,049,722","952,873","866,859","839,467","835,905","748,158","691,249","670,659","713,877","848,301"
,"当期売上原価","1,311,448","1,845,975","1,773,479","1,294,267","1,040,575","156,782","9,081","320,188","328,261","427,243","471,843","508,392"
,"売上総利益","5,690,757","8,849,372","7,358,440","5,950,879","4,897,587","445,597","-9,081","2,227,273","2,047,654","1,488,479","2,407,413","2,548,281"
"6111","給与手当","1,070,100","1,045,100","1,045,100","1,120,100","1,065,100","709,709","692,585","836,500","768,700","794,730","846,500","626,500"
"6311","雑給","1,057,497","1,257,369","1,071,663","786,962","624,822","429,843","338,790","345,218","421,579","392,893","315,906","343,517"
"6112","旅費交通費","91,093","97,035","91,400","76,680","75,060","20,507","16,754","30,567","29,424","18,629","32,810","35,919"
"6113","広告宣伝費","559,433","403,967","418,454","450,740","449,234","95,774","21,853","146,821","322,741","147,583","227,842","236,547"
"6114","販売促進費","101,032","152,246","96,324","109,573","89,299","15,989","12,000","33,859","16,311","27,105","37,075","37,818"
"6115","荷造発送費","446","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","642,952","845,181","632,210","739,500","513,751","455,504","306,591","103,178","344,680","301,720","345,286","330,845"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","52,000","-86,012","52,000","52,000","52,000","0","0","0","0","0","0","0"
"6312","法定福利費","204,937","227,627","204,937","192,697","196,403","159,964","159,964","144,385","132,705","135,298","147,713","114,077"
"6226","厚生費","84,835","56,909","21,364","24,477","66,849","0","0","0","7,250","5,000","38,500","77,030"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","915,532","915,532","915,532","915,532","915,532","915,532","915,532","915,532","915,532","915,532","1,589,505","776,951"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
