"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","7,490,327","11,762,155","9,131,453","9,211,110","8,307,222","9,863,405","11,014,647","9,259,518","8,453,758","7,610,216","14,123,560","11,201,160"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","86,715","145,956","103,756","110,902","81,490","85,364","128,888","201,534","159,306","143,311","205,052","194,097"
,"純売上高","7,403,612","11,616,199","9,027,697","9,100,208","8,225,732","9,778,041","10,885,759","9,057,984","8,294,452","7,466,905","13,918,508","11,007,063"
"5111","期首たな卸高","1,122,736","1,322,318","1,126,937","1,194,941","1,113,220","1,237,360","1,184,621","1,163,589","1,025,891","1,047,724","1,146,233","1,454,950"
"5211","商品仕入高","1,507,678","1,727,921","1,574,865","1,381,497","1,393,568","1,569,965","1,770,937","1,398,227","1,400,246","1,371,098","2,555,003","1,322,321"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,322,318","1,126,937","1,194,941","1,113,220","1,237,360","1,184,621","1,163,589","1,025,891","1,047,724","1,146,233","1,454,950","1,070,246"
,"当期売上原価","1,308,096","1,923,302","1,506,861","1,463,218","1,269,428","1,622,704","1,791,969","1,535,925","1,378,413","1,272,589","2,246,286","1,707,025"
,"売上総利益","6,095,516","9,692,897","7,520,836","7,636,990","6,956,304","8,155,337","9,093,790","7,522,059","6,916,039","6,194,316","11,672,222","9,300,038"
"6111","給与手当","1,139,600","1,233,140","1,190,920","1,228,122","1,182,232","1,217,846","1,248,466","1,219,522","1,236,122","1,236,062","1,258,456","1,247,838"
"6311","雑給","926,138","1,201,471","1,012,779","1,130,484","975,049","1,032,090","1,085,384","928,562","911,752","910,560","1,097,401","909,799"
"6112","旅費交通費","87,752","96,641","99,850","103,002","114,551","107,092","110,119","106,433","107,874","107,155","115,056","106,710"
"6113","広告宣伝費","326,424","395,063","393,411","597,191","486,664","552,838","351,548","375,456","325,406","278,368","470,624","452,487"
"6114","販売促進費","76,645","173,308","93,908","259,729","120,845","94,304","96,381","58,525","87,123","78,447","133,377","81,452"
"6115","荷造発送費","0","341","0","0","85","0","0","503","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","631,194","662,500","662,566","794,820","637,149","654,497","652,336","654,898","642,248","850,782","655,419","664,493"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","50,000","50,000","50,000","50,000","-180,000","50,000","50,000","50,000","0","0","-94,655","52,000"
"6312","法定福利費","175,613","213,254","213,254","194,420","194,420","194,420","194,420","198,350","198,350","198,350","206,623","198,350"
"6226","厚生費","30,000","40,352","92,180","17,280","31,546","98,333","39,083","198,960","68,177","131,088","56,100","31,379"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,135,900","1,135,900","1,135,900","1,135,900","1,135,900","1,135,900","1,135,900","1,188,720","987,334","987,334","987,334","987,334"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6216","修繕／車両関係費","13,500","33,000","20,019","212,282","0","54,909","15,185","33,600","230,404","17,900","365,107","26,741"
"6217","事務用消耗品費","600","0","0","1,806","0","0","0","0","0","0","0","0"
"6218","通信交通費","21,529","1,410","20,929","40,689","2,530","38,474","20,219","1,410","37,831","19,963","1,873","38,694"
"6219","水道光熱費","752,508","608,259","518,101","778,515","434,906","799,360","668,333","1,117,719","511,740","748,960","475,036","821,325"
"6221","租税公課","0","2,600","1,000","1,000","0","1,000","0","1,000","0","0","2,000","1,000"
"6222","寄付金","0","0","0","10,000","0","0","0","0","0","5,000","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","56,172","56,172","56,172","56,172","56,172","56,172","56,172","56,172","58,633","56,172","56,172","56,172"
"6225","備品消耗品費","299,119","145,244","148,900","175,821","360,270","232,895","239,095","285,937","267,731","111,197","241,898","337,449"
"6227","管理諸費","285,460","261,013","252,790","274,745","266,538","294,665","272,370","253,682","221,952","224,251","224,214","228,134"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","6,608,154","6,909,668","6,562,679","7,661,978","6,418,857","7,214,795","6,835,011","7,329,449","6,492,677","6,561,589","6,852,035","6,841,357"
,"営業利益（損失）","-512,638","2,783,229","958,157","-24,988","537,447","940,542","2,258,779","192,610","423,362","-367,273","4,820,187","2,458,681"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-512,638","2,783,229","958,157","-24,988","537,447","940,542","2,258,779","192,610","423,362","-367,273","4,820,187","2,458,681"
