"ｺｰﾄﾞ","勘定科目名","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"
"4111","売上高","8,088,210","12,321,546","9,428,377","8,990,107","8,643,518","9,167,022","10,559,963","7,470,686","6,510,726","7,187,182","10,858,733","9,325,937"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","166,488","241,507","150,822","164,037","193,431","165,469","193,741","168,304","193,706","184,977","163,386","194,018"
,"純売上高","7,921,722","12,080,039","9,277,555","8,826,070","8,450,087","9,001,553","10,366,222","7,302,382","6,317,020","7,002,205","10,695,347","9,131,919"
"5111","期首たな卸高","1,070,246","938,028","1,195,309","1,217,576","1,199,989","1,004,322","1,104,775","1,160,165","950,004","1,026,161","964,478","1,732,401"
"5211","商品仕入高","1,306,375","2,395,305","1,523,075","1,414,103","1,248,372","1,652,155","1,800,437","1,055,528","1,331,985","1,249,765","2,613,898","1,090,800"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","938,028","1,195,309","1,217,576","1,199,989","1,004,322","1,104,775","1,160,165","950,004","1,026,161","964,478","1,732,401","1,049,722"
,"当期売上原価","1,438,593","2,138,024","1,500,808","1,431,690","1,444,039","1,551,702","1,745,047","1,265,689","1,255,828","1,311,448","1,845,975","1,773,479"
,"売上総利益","6,483,129","9,942,015","7,776,747","7,394,380","7,006,048","7,449,851","8,621,175","6,036,693","5,061,192","5,690,757","8,849,372","7,358,440"
"6111","給与手当","1,221,972","1,351,616","1,275,266","1,264,460","1,280,920","1,263,810","1,038,100","1,012,300","1,038,100","1,070,100","1,045,100","1,045,100"
"6311","雑給","886,474","981,808","880,034","1,077,168","973,378","935,987","1,154,130","1,055,856","982,243","1,057,497","1,257,369","1,071,663"
"6112","旅費交通費","96,202","107,005","96,829","101,007","96,167","102,089","92,375","89,590","88,193","91,093","97,035","91,400"
"6113","広告宣伝費","431,658","479,808","532,618","405,664","353,761","526,865","382,124","357,517","462,989","559,433","403,967","418,454"
