"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","5,601,743","6,131,681","1,812,225","0","6,341,581","6,460,099","9,678,281","6,853,479","2,797,241","4,828,815","6,134,410","7,622,049"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","416,735","474,489","0","0","486,730","423,645","657,272","426,146","178,231","46,147","64,464","86,504"
,"純売上高","5,185,008","5,657,192","1,812,225","0","5,854,851","6,036,454","9,021,009","6,427,333","2,619,010","4,782,668","6,069,946","7,535,545"
"5111","期首棚卸高","824,705","917,867","1,081,964","1,061,357","1,043,511","807,846","875,365","1,102,519","886,669","756,490","812,773","978,480"
"5211","商品仕入高","912,993","960,182","347,018","0","849,835","1,234,082","1,727,735","585,028","407,295","1,076,364","1,264,944","980,222"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","917,867","1,081,964","1,061,357","1,043,511","807,846","875,365","1,102,519","886,669","756,490","812,773","978,480","892,097"
,"当期売上原価","819,831","796,085","367,625","17,846","1,085,500","1,166,563","1,500,581","800,878","537,474","1,020,081","1,099,237","1,066,605"
,"売上総利益","4,365,177","4,861,107","1,444,600","-17,846","4,769,351","4,869,891","7,520,428","5,626,455","2,081,536","3,762,587","4,970,709","6,468,940"
"6111","給与手当","779,500","720,497","961,979","928,963","1,004,500","1,054,348","948,700","871,717","670,037","672,087","668,723","619,995"
"6311","雑給","640,264","638,594","519,560","461,408","609,714","477,370","671,131","679,569","426,860","637,787","748,585","811,078"
"6112","旅費交通費","41,355","45,468","24,762","2,168","48,510","52,897","57,241","48,239","28,543","41,167","50,629","49,079"
"6113","広告宣伝費","146,210","200,907","83,475","55,370","420,837","196,819","181,420","133,098","209,042","142,876","116,021","146,971"
"6114","販売促進費","63,342","63,810","67,371","19,002","76,887","76,114","57,547","41,980","44,851","35,650","49,258","46,341"
"6115","荷造発送費","0","0","0","0","2,700","3,600","1,800","0","3,600","0","3,600","2,700"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","544,652","574,152","573,069","380,564","136,251","593,236","563,500","600,024","603,939","488,763","569,432","610,110"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","10,000","0","0","0","0","0","100,000","0","0","0","0","155,800"
"6312","法定福利費","163,516","191,937","195,444","195,323","199,087","199,087","213,397","199,087","199,087","159,651","159,361","170,481"
"6226","厚生費","40,210","10,584","0","6,800","2,250","6,000","7,250","32,706","5,000","11,750","29,478","5,378"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","484,806","484,806","484,806","484,993","391,581","391,581","391,581","391,581","391,581","391,581","391,581","391,581"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,407,859","1,385,100"
"6216","修繕／車両関係費","315,400","100,727","0","0","0","0","0","0","102,900","15,000","0","62,560"
"6217","事務用消耗品費","0","0","0","0","0","0","0","3,636","0","0","0","0"
"6218","通信交通費","33,641","29,104","45,777","41,342","21,639","54,420","21,038","54,663","33,919","41,608","21,684","53,769"
"6219","水道光熱費","374,867","389,927","569,412","578,553","426,793","288,305","483,184","345,298","508,441","395,875","378,846","372,790"
"6221","租税公課","0","0","0","0","1,000","0","0","1,000","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","120,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","109,769","147,842","51,910","269,000","150,078","207,961","217,184","143,105","44,365","135,145","337,754","69,894"
"6227","管理諸費","46,894","46,794","42,894","28,000","46,894","47,381","46,894","58,794","52,894","71,687","78,994","55,894"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","5,239,526","5,090,249","5,065,559","4,956,586","4,983,821","5,094,219","5,406,967","5,049,597","4,770,159","4,685,727","5,071,805","5,069,521"
,"営業利益（損失）","-874,349","-229,142","-3,620,959","-4,974,432","-214,470","-224,328","2,113,461","576,858","-2,688,623","-923,140","-101,096","1,399,419"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","330,000","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","330,000","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","-126","0","0","0","0","0","0","0","-15","15","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","-126","0","0","0","0","0","0","0","-15","15","0"
