"ｺｰﾄﾞ","勘定科目名"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"
"4111","売上高","7,668,932","6,909,894","7,039,377","6,431,199","9,030,118","8,372,980","6,733,829","9,014,941","7,879,202","8,358,060","7,838,596","8,639,824"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","64,273","72,335","71,016","58,225","71,103","76,342","62,492","81,314","75,277","74,817","83,540","97,125"
,"純売上高","7,604,659","6,837,559","6,968,361","6,372,974","8,959,015","8,296,638","6,671,337","8,933,627","7,803,925","8,283,243","7,755,056","8,542,699"
"5111","期首棚卸高","883,478","794,848","739,440","822,876","838,290","1,094,677","747,048","828,904","895,503","948,156","883,545","1,080,862"
"5211","商品仕入高","1,217,368","1,229,085","1,401,667","1,120,371","1,844,207","1,362,815","1,423,290","1,888,030","1,527,265","1,494,489","1,752,054","1,477,557"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","794,848","739,440","822,876","838,290","1,094,677","747,048","828,904","895,503","948,156","883,545","1,080,862","871,775"
,"当期売上原価","1,305,998","1,284,493","1,318,231","1,104,957","1,587,820","1,710,444","1,341,434","1,821,431","1,474,612","1,559,100","1,554,737","1,686,644"
,"売上総利益","6,298,661","5,553,066","5,650,130","5,268,017","7,371,195","6,586,194","5,329,903","7,112,196","6,329,313","6,724,143","6,200,319","6,856,055"
"6111","給与手当","472,115","824,000","600,904","824,000","923,200","860,149","555,500","575,500","790,500","932,942","814,114","839,746"
"6311","雑給","960,436","720,105","791,548","663,531","1,206,557","1,070,568","976,971","1,349,641","1,238,665","1,083,307","969,414","1,190,420"
"6112","旅費交通費","50,112","43,354","47,568","52,555","57,823","50,221","48,146","55,514","57,986","57,456","50,170","61,867"
"6113","広告宣伝費","135,642","121,023","247,226","141,910","128,180","201,093","95,461","220,037","400,094","224,296","256,081","146,115"
"6114","販売促進費","67,671","71,251","69,547","71,958","22,444","22,211","17,885","18,595","22,561","17,865","17,427","17,820"
"6115","荷造発送費","2,700","15,600","3,600","2,700","0","3,600","2,700","3,600","2,700","3,600","3,600","0"
"6116","外注費","0","0","12,180","0","0","40,646","5,399","3,163","0","0","0","0"
"6117","支払手数料","627,233","517,668","622,312","637,334","613,118","618,261","638,643","650,240","717,018","684,056","678,962","655,073"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","74,875","74,875","49,917","49,917","-125,583","49,917","49,917","49,917","49,917","49,917","49,917","49,917"
"6312","法定福利費","159,286","159,286","191,945","191,945","205,970","152,675","152,675","152,675","184,107","160,265","155,453","160,265"
"6226","厚生費","2,545","44,274","84,282","9,318","40,748","140,634","148,181","59,543","22,862","13,000","24,589","49,672"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","391,581","440,996","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100"
