"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","6,909,894","7,039,377","6,431,199","9,030,118","8,372,980","6,733,829","9,014,941","7,879,202","8,358,060","7,838,596","8,639,824","11,199,480"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","72,335","71,016","58,225","71,103","76,342","62,492","81,314","75,277","74,817","83,540","97,125","86,539"
,"純売上高","6,837,559","6,968,361","6,372,974","8,959,015","8,296,638","6,671,337","8,933,627","7,803,925","8,283,243","7,755,056","8,542,699","11,112,941"
"5111","期首棚卸高","794,848","739,440","822,876","838,290","1,094,677","747,048","828,904","895,503","948,156","883,545","1,080,862","871,775"
"5211","商品仕入高","1,229,085","1,401,667","1,120,371","1,844,207","1,362,815","1,423,290","1,888,030","1,527,265","1,494,489","1,752,054","1,477,557","2,326,920"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","739,440","822,876","838,290","1,094,677","747,048","828,904","895,503","948,156","883,545","1,080,862","871,775","1,095,161"
,"当期売上原価","1,284,493","1,318,231","1,104,957","1,587,820","1,710,444","1,341,434","1,821,431","1,474,612","1,559,100","1,554,737","1,686,644","2,103,534"
,"売上総利益","5,553,066","5,650,130","5,268,017","7,371,195","6,586,194","5,329,903","7,112,196","6,329,313","6,724,143","6,200,319","6,856,055","9,009,407"
"6111","給与手当","824,000","600,904","824,000","923,200","860,149","555,500","575,500","790,500","932,942","814,114","839,746","822,430"
"6311","雑給","720,105","791,548","663,531","1,206,557","1,070,568","976,971","1,349,641","1,238,665","1,083,307","969,414","1,190,420","1,220,023"
"6112","旅費交通費","43,354","47,568","52,555","57,823","50,221","48,146","55,514","57,986","57,456","50,170","61,867","58,791"
"6113","広告宣伝費","121,023","247,226","141,910","128,180","201,093","95,461","220,037","400,094","224,296","256,081","146,115","153,769"
"6114","販売促進費","71,251","69,547","71,958","22,444","22,211","17,885","18,595","22,561","17,865","17,427","17,820","17,667"
"6115","荷造発送費","15,600","3,600","2,700","0","3,600","2,700","3,600","2,700","3,600","3,600","0","2,700"
"6116","外注費","0","12,180","0","0","40,646","5,399","3,163","0","0","0","0","0"
"6117","支払手数料","517,668","622,312","637,334","613,118","618,261","638,643","650,240","717,018","684,056","678,962","660,073","688,930"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","74,875","49,917","49,917","-125,583","49,917","49,917","49,917","49,917","49,917","49,917","49,917","49,917"
"6312","法定福利費","159,286","191,945","191,945","205,970","152,675","152,675","152,675","184,107","160,265","155,453","160,265","160,265"
"6226","厚生費","44,274","84,282","9,318","40,748","140,634","148,181","59,543","22,862","13,000","24,589","49,672","100,950"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","440,996","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166","373,166"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100"
"6216","修繕／車両関係費","50,450","87,250","175,440","224,050","12,650","31,183","193,200","33,200","0","95,500","879,713","194,000"
"6217","事務用消耗品費","0","0","0","19","0","0","330","0","0","0","0","0"
"6218","通信交通費","41,692","33,464","42,176","21,830","55,474","33,499","42,868","21,137","57,203","35,763","56,636","35,504"
"6219","水道光熱費","837,545","944,429","807,583","571,842","553,716","714,455","588,679","469,183","520,915","445,286","562,734","540,625"
"6221","租税公課","0","0","0","0","0","0","2,000","0","0","2,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","913,716","142,122","220,919","291,595","210,989","141,906","130,565","187,456","233,659","115,461","2,566,295","673,255"
"6227","管理諸費","56,562","79,662","56,562","67,662","58,562","67,662","109,624","120,562","93,262","130,562","237,262","136,562"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","6,650","3,400","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","6,377,497","5,832,872","5,769,514","6,067,721","5,919,632","5,498,449","6,023,957","6,136,214","5,950,009","5,662,565","9,296,801","6,673,654"
,"営業利益（損失）","-824,431","-182,742","-501,497","1,303,474","666,562","-168,546","1,088,239","193,099","774,134","537,754","-2,440,746","2,335,753"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","800,800","0","0","0","0","0","134,000","0","0","0"
,"営業外収益計","0","0","800,800","0","0","0","0","0","134,000","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-824,431","-182,742","299,303","1,303,474","666,562","-168,546","1,088,239","193,099","908,134","537,754","-2,440,746","2,335,753"
