"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","17,926,152","14,716,381","13,895,350","13,605,544","14,520,764","17,649,978","14,323,927","12,234,020","13,472,870","21,082,762","17,078,912","13,926,454"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","1,494,577","1,247,972","1,191,936","1,147,727","1,162,791","1,417,778","1,104,030","1,012,761","1,149,838","1,646,675","1,402,019","1,148,760"
,"純売上高","16,431,575","13,468,409","12,703,414","12,457,817","13,357,973","16,232,200","13,219,897","11,221,259","12,323,032","19,436,087","15,676,893","12,777,694"
"5111","期首たな卸高","1,155,651","1,344,410","1,769,508","1,414,524","1,145,029","1,084,605","1,131,856","1,020,032","1,027,424","1,026,258","1,881,586","1,198,021"
"5211","商品仕入高","2,875,835","2,402,708","1,764,240","2,036,733","2,130,029","2,655,810","2,043,062","1,963,184","1,997,062","3,891,867","1,500,573","1,745,241"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,344,410","1,769,508","1,414,524","1,145,029","1,084,605","1,131,856","1,020,032","1,027,424","1,026,258","1,881,586","1,198,021","1,001,746"
,"当期売上原価","2,687,076","1,977,610","2,119,224","2,306,228","2,190,453","2,608,559","2,154,886","1,955,792","1,998,228","3,036,539","2,184,138","1,941,516"
,"売上総利益","13,744,499","11,490,799","10,584,190","10,151,589","11,167,520","13,623,641","11,065,011","9,265,467","10,324,804","16,399,548","13,492,755","10,836,178"
"6111","給与手当","858,348","1,171,771","1,114,205","1,103,870","1,142,205","1,148,540","1,121,035","1,166,500","1,135,500","1,267,500","1,244,500","1,239,500"
"6311","雑給","1,761,783","1,585,692","1,362,176","1,411,441","1,381,861","1,523,812","1,348,548","1,457,900","1,479,580","1,669,177","1,558,203","1,359,784"
"6112","旅費交通費","105,552","89,386","84,435","105,304","78,069","78,722","76,902","68,999","67,691","76,601","71,656","57,489"
"6113","広告宣伝費","634,564","709,611","517,929","704,347","646,039","573,207","561,957","1,305,631","890,388","457,175","476,960","515,629"
"6114","販売促進費","146,938","61,925","88,760","85,633","59,580","67,730","57,750","49,317","54,708","87,587","153,248","146,885"
"6115","荷造発送費","0","0","0","0","2,578","950","0","0","1,173","3,800","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","718,964","734,916","767,432","703,515","794,580","773,211","733,202","716,703","753,318","739,021","698,857","739,998"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","50,000","50,000","50,000","-191,582","50,000","50,000","50,000","50,000","50,000","154,415","50,000","50,000"
"6312","法定福利費","118,785","174,885","174,885","183,075","174,885","174,885","177,690","182,190","182,190","238,539","182,190","192,707"
"6226","厚生費","16,150","54,150","93,994","48,150","26,593","44,285","120,500","21,157","246,722","57,650","11,750","5,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","896,742","896,742","896,742","896,742","896,742","896,742","1,837,356","812,354","812,354","812,354","812,354","812,354"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100","1,410,750","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100"
"6216","修繕／車両関係費","33,243","11,000","2,233,222","15,000","3,905,442","58,400","23,800","135,423","130,370","176,020","28,100","49,400"
"6217","事務用消耗品費","0","0","0","0","0","0","1,866","5,505","0","0","0","0"
"6218","通信交通費","18,982","31,572","43,647","19,659","35,405","20,079","61,346","35,162","31,262","33,710","58,107","23,012"
"6219","水道光熱費","608,067","716,356","598,533","665,190","543,720","721,104","738,824","1,093,702","723,119","682,048","519,336","792,376"
"6221","租税公課","0","0","0","0","2,000","0","0","2,000","2,000","1,000","0","2,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","62,560","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","272,631","309,788","201,307","936,011","1,536,388","286,320","235,462","226,987","396,448","413,433","165,833","201,331"
"6227","管理諸費","291,956","331,902","304,313","286,871","316,656","277,587","273,526","313,254","340,183","311,964","252,014","267,794"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","12,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","10,580","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","7,977,805","8,374,796","9,976,680","8,418,326","13,037,843","8,140,674","8,901,094","9,090,444","8,742,106","8,627,094","7,740,208","7,900,359"
,"営業利益（損失）","5,766,694","3,116,003","607,510","1,733,263","-1,870,323","5,482,967","2,163,917","175,023","1,582,698","7,772,454","5,752,547","2,935,819"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","319,676","0","0","0","102,273","0","0","0"
,"営業外収益計","0","0","0","0","319,676","0","0","0","102,273","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","-1,000","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","-1,000","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","5,766,694","3,116,003","608,510","1,733,263","-1,550,647","5,482,967","2,163,917","175,023","1,684,971","7,772,454","5,752,547","2,935,819"
