"ｺｰﾄﾞ","勘定科目名"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"
"4111","売上高","21,082,762","17,078,912","13,926,454","13,173,341","1,501,938","1,798,639","6,569,879","7,850,983","8,151,331","7,656,668","7,867,871","6,540,013"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","1,646,675","1,402,019","1,148,760","1,068,116","125,934","201,841","544,406","603,495","671,564","675,329","703,801","537,299"
,"純売上高","19,436,087","15,676,893","12,777,694","12,105,225","1,376,004","1,596,798","6,025,473","7,247,488","7,479,767","6,981,339","7,164,070","6,002,714"
"5111","期首たな卸高","1,026,258","1,881,586","1,198,021","1,001,746","1,008,706","1,098,402","994,844","730,629","761,847","733,658","770,934","726,372"
"5211","商品仕入高","3,891,867","1,500,573","1,832,635","1,820,128","315,104","51,969","667,755","1,018,368","859,604","979,497","1,033,900","1,042,629"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,881,586","1,198,021","1,001,746","1,008,706","1,098,402","994,844","730,629","761,847","733,658","770,934","726,372","829,820"
,"当期売上原価","3,036,539","2,184,138","2,028,910","1,813,168","225,408","155,527","931,970","987,150","887,793","942,221","1,078,462","939,181"
,"売上総利益","16,399,548","13,492,755","10,748,784","10,292,057","1,150,596","1,441,271","5,093,503","6,260,338","6,591,974","6,039,118","6,085,608","5,063,533"
"6111","給与手当","1,267,500","1,244,500","1,239,500","1,219,500","1,005,544","906,365","1,176,084","1,116,713","1,149,474","960,823","1,178,025","1,145,491"
"6311","雑給","1,669,177","1,558,203","1,359,784","1,413,292","871,213","771,132","885,640","1,137,928","1,171,132","986,016","1,151,496","926,576"
"6112","旅費交通費","76,601","71,656","57,489","65,862","32,954","5,065","50,362","53,558","51,829","52,911","42,031","48,658"
"6113","広告宣伝費","457,175","476,960","515,629","843,918","151,117","105,946","273,572","399,509","424,213","290,467","431,054","301,215"
"6114","販売促進費","87,587","153,248","146,885","100,204","15,285","12,191","19,120","18,087","47,171","60,762","88,770","67,062"
"6115","荷造発送費","3,800","0","0","7,200","0","0","0","0","4,073","0","4,645","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","739,021","698,857","739,998","703,801","638,439","432,928","239,402","554,241","574,480","565,450","546,939","577,025"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","154,415","50,000","50,000","50,000","0","0","0","0","0","0","0","0"
"6312","法定福利費","238,539","182,190","192,707","196,099","196,099","196,099","167,344","150,899","155,735","167,045","186,386","186,386"
"6226","厚生費","57,650","11,750","5,000","95,944","11,157","0","0","16,221","5,000","27,200","153,811","93,690"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","812,354","812,354","812,354","812,354","812,354","812,354","812,354","812,354","812,354","2,160,295","484,806","484,806"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,385,100","1,385,100","1,385,100","1,385,100","1,108,080","1,108,080","1,108,080","1,385,100","1,385,100","1,385,100","1,385,100","1,385,100"
"6216","修繕／車両関係費","176,020","28,100","49,400","56,300","10,300","138,000","99,300","51,000","0","3,810","75,400","28,000"
"6217","事務用消耗品費","0","0","0","0","3,970","5,502","0","0","0","1,868","0","0"
"6218","通信交通費","33,710","58,107","23,012","59,628","35,442","30,687","46,871","40,316","34,095","41,516","20,956","54,114"
"6219","水道光熱費","682,048","519,336","792,376","517,071","597,877","411,683","237,167","243,784","517,690","1,146,226","695,945","501,294"
"6221","租税公課","1,000","0","2,000","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","413,433","165,833","201,331","212,043","47,335","67,740","179,765","135,601","129,945","269,751","344,727","178,829"
"6227","管理諸費","311,964","252,014","267,794","860,334","121,534","-13,806","46,264","66,894","47,165","48,343","44,794","47,144"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","12,000","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
