"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","0","0","0","0","0","0","0","0","0","0","3,456,414","4,576,539"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","0","3,456,414","4,576,539"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","589,474"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","2,425,616","1,448,409"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","589,474","470,037"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","1,836,142","1,567,846"
,"売上総利益","0","0","0","0","0","0","0","0","0","0","1,620,272","3,008,693"
"6111","給与手当","0","0","0","0","0","0","0","0","808,000","544,600","878,000","828,010"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","1,649,622","846,118"
"6112","旅費交通費","0","0","0","0","0","0","0","110,472","175,057","96,436","303,626","64,239"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","7,500","1,072,912","529,800"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","26,183"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","0","667,069","5,755","200","160,629","412,080"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","0","0","0","0","0","0","0","81,287","81,287","126,556","192,536"
"6226","厚生費","0","0","0","0","0","0","5,000","165,000","0","237,818","297,454","381,069"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","0","0"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","400,000","400,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","20,816","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","28,901","4,461"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","9,195","106,739","463,405"
"6221","租税公課","0","0","0","0","0","0","0","0","4,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","30,000","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","1,000"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","0","0","0","0","0","0","0","66,380","1,300","1,219,811","1,564,637","267,985"
"6227","管理諸費","0","0","0","0","0","0","0","0","305,273","64,480","0","11,740"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","20,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","5,000","1,008,921","1,380,672","2,261,327","6,639,892","4,448,626"
,"営業利益（損失）","0","0","0","0","0","0","-5,000","-1,008,921","-1,380,672","-2,261,327","-5,019,620","-1,439,933"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","280,000","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","280,000","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","-5,000","-1,008,921","-1,380,672","-2,261,327","-4,739,620","-1,439,933"
