"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","0","0","20,240,811","20,588,761","21,622,725","20,238,855","16,670,051","14,032,504","1,861,477","3,603,979","9,118,441","12,800,558"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","20,240,811","20,588,761","21,622,725","20,238,855","16,670,051","14,032,504","1,861,477","3,603,979","9,118,441","12,800,558"
"5111","期首たな卸高","0","0","143,001","873,492","836,343","1,103,500","731,300","862,600","503,800","658,700","445,900","422,600"
"5211","商品仕入高","0","806,231","9,212,068","7,901,010","8,426,971","7,094,315","7,303,683","5,668,327","1,246,036","1,405,447","3,669,166","4,926,860"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","143,001","873,492","836,343","1,103,500","731,300","862,600","503,800","658,700","445,900","422,600","483,600"
,"当期売上原価","0","663,230","8,481,577","7,938,159","8,159,814","7,466,515","7,172,383","6,027,127","1,091,136","1,618,247","3,692,466","4,865,860"
,"売上総利益","0","-663,230","11,759,234","12,650,602","13,462,911","12,772,340","9,497,668","8,005,377","770,341","1,985,732","5,425,975","7,934,698"
"6111","給与手当","600,894","603,000","1,312,500","1,301,335","1,158,334","1,303,255","1,119,000","1,084,000","980,246","993,991","1,086,000","1,301,843"
"6311","雑給","68,155","1,482,796","3,875,982","4,860,566","4,310,917","3,674,528","2,740,711","2,384,332","1,799,280","1,514,323","1,659,464","1,823,468"
"6112","旅費交通費","28,742","78,063","90,576","101,563","83,285","71,747","57,142","55,932","31,730","28,179","52,673","64,080"
"6113","広告宣伝費","5,000","0","0","2,500","157,350","37,143","0","169,893","0","0","15,013","127,965"
"6114","販売促進費","950,822","-950,822","0","0","157,347","0","0","0","0","0","0","0"
"6115","荷造発送費","2,050","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","16,200","242,855","1,636,503","1,750,048","1,629,740","1,577,518","1,423,135","1,280,186","451,220","604,661","859,978","1,158,142"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","61,710","67,320","157,580","268,636","267,338","300,096","285,052","289,785","289,785","289,785","195,699","214,101"
"6226","厚生費","455,474","988,440","328,680","216,600","123,875","7,273","104,232","21,666","0","0","0","5,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","587,416","517,405","517,405","517,405","517,405","517,405","517,405","517,405","517,405","517,405","517,405"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","133,640","2,147,233","2,179,046","2,312,388","2,144,038","1,819,079","1,593,010","945,333","-509,612","1,430,871","1,399,268"
"6216","修繕／車両関係費","0","596,500","40,000","39,600","0","0","-39,600","0","0","0","0","0"
"6217","事務用消耗品費","0","5,481","0","200","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","924","34,109","7,944","0","5,909","909","909","909","909","909","909"
"6219","水道光熱費","0","0","429,181","605,423","595,285","624,013","541,860","407,457","277,811","74,739","264,360","319,830"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","10,000","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","2,000","0","0","0","0","2,734","0","0","0","0","0"
"6224","保険料","0","0","27,560","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","0","5,542,990","889,945","402,219","276,478","394,658","60,603","218,198","2,796","75,841","296,716","5,047"
"6227","管理諸費","27,719","22,916","75,594","3,200","3,200","4,800","3,200","8,009","1,400","700","3,500","2,100"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","12,000","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,216,766","9,415,519","11,572,848","12,281,285","11,617,942","10,687,383","8,660,462","8,055,782","5,322,915","3,615,921","6,407,588","6,964,158"
,"営業利益（損失）","-2,216,766","-10,078,749","186,386","369,317","1,844,969","2,084,957","837,206","-50,405","-4,552,574","-1,630,189","-981,613","970,540"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","-555","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","156,351","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","156,351","0","0","0","-555","0","0","0","0","0","0"
,"経常利益（損失）","-2,216,766","-10,235,100","186,386","369,317","1,844,969","2,085,512","837,206","-50,405","-4,552,574","-1,630,189","-981,613","970,540"
