"ｺｰﾄﾞ","勘定科目名"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"
"4111","売上高","14,135,063","13,425,291","11,960,227","10,596,969","14,170,971","10,174,100","11,254,285","11,528,610","11,790,604","8,621,213","6,971,432","10,809,020"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,135,063","13,425,291","11,960,227","10,596,969","14,170,971","10,174,100","11,254,285","11,528,610","11,790,604","8,621,213","6,971,432","10,809,020"
"5111","期首棚卸高","576,600","501,800","705,000","637,800","484,400","567,300","661,400","413,000","516,100","631,900","542,700","582,300"
"5211","商品仕入高","5,671,607","5,763,659","4,497,707","4,249,435","5,741,478","4,360,241","4,150,693","4,825,342","4,749,533","3,232,226","2,704,910","4,081,819"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","501,800","705,000","637,800","484,400","567,300","661,400","413,000","516,100","631,900","542,700","582,300","527,800"
,"当期売上原価","5,746,407","5,560,459","4,564,907","4,402,835","5,658,578","4,266,141","4,399,093","4,722,242","4,633,733","3,321,426","2,665,310","4,136,319"
,"売上総利益","8,388,656","7,864,832","7,395,320","6,194,134","8,512,393","5,907,959","6,855,192","6,806,368","7,156,871","5,299,787","4,306,122","6,672,701"
"6111","給与手当","1,143,000","1,118,000","1,118,000","1,128,000","1,013,000","896,000","898,000","898,000","898,000","898,000","898,000","898,000"
"6311","雑給","1,728,522","1,830,594","1,776,642","1,408,910","1,722,418","1,685,670","1,530,536","1,458,652","1,521,929","1,657,244","1,280,763","1,376,053"
"6112","旅費交通費","59,300","64,285","62,060","43,237","59,305","54,607","54,476","50,154","54,754","50,965","41,198","52,075"
"6113","広告宣伝費","51,664","288,953","43,660","93,684","119,654","736,904","-560,084","39,784","201,823","66,297","233,789","52,882"
"6114","販売促進費","21,154","45,585","30,790","30,622","43,516","22,568","26,184","22,662","30,997","40,405","31,955","31,664"
"6115","荷造発送費","0","0","0","0","0","0","0","700","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","1,015,387","1,483,929","1,173,861","1,035,884","1,234,926","1,021,656","1,126,184","1,139,713","1,099,695","933,850","847,605","1,059,739"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","195,000","0","0","0","0","0","105,000","0","0","0","0"
"6312","法定福利費","377,477","339,731","317,154","322,913","287,847","292,025","292,025","243,351","234,879","234,879","219,182","193,311"
"6226","厚生費","128,504","17,750","10,200","10,909","27,410","0","2,550","5,000","28,590","7,650","6,800","4,800"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","618,944","-270,140","499,454"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,531,288","1,465,236","1,330,666","1,178,796","1,534,106","1,136,509","1,238,536","1,271,960","1,298,159","981,248","868,233","1,122,901"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","14,500","19,170","0","0"
"6217","事務用消耗品費","0","0","7,545","0","7,373","630","0","0","0","802","0","0"
"6218","通信交通費","909","909","14,238","909","909","8,373","909","909","909","16,888","909","909"
