"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","12,995,727","11,121,874","13,533,238","13,996,939","10,755,697","14,175,928","11,537,954","12,747,850","9,640,886","11,306,031","13,736,918","11,107,194"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","12,995,727","11,121,874","13,533,238","13,996,939","10,755,697","14,175,928","11,537,954","12,747,850","9,640,886","11,306,031","13,736,918","11,107,194"
"5111","期首棚卸高","415,500","380,600","654,300","627,900","543,100","532,200","535,000","594,300","689,100","645,100","686,100","722,600"
"5211","商品仕入高","5,307,510","4,954,635","5,641,966","5,819,483","4,716,931","6,263,878","4,699,507","5,140,311","4,080,804","4,361,125","5,326,134","4,118,045"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","380,600","654,300","627,900","543,100","532,200","535,000","594,300","689,100","645,100","686,100","722,600","711,700"
,"当期売上原価","5,342,410","4,680,935","5,668,366","5,904,283","4,727,831","6,261,078","4,640,207","5,045,511","4,124,804","4,320,125","5,289,634","4,128,945"
,"売上総利益","7,653,317","6,440,939","7,864,872","8,092,656","6,027,866","7,914,850","6,897,747","7,702,339","5,516,082","6,985,906","8,447,284","6,978,249"
"6111","給与手当","572,500","572,500","642,500","572,500","572,500","592,500","572,500","576,400","409,421","404,083","420,074","407,895"
"6311","雑給","1,729,435","1,864,601","2,043,269","1,908,947","1,713,021","2,105,287","1,627,796","1,765,087","1,676,334","1,764,973","2,058,086","1,814,115"
"6112","旅費交通費","47,250","39,958","43,285","40,313","45,395","44,283","33,198","44,943","44,277","47,690","46,892","43,997"
"6113","広告宣伝費","39,862","32,836","137,582","109,059","98,246","71,903","31,324","66,790","183,773","116,880","86,100","80,229"
"6114","販売促進費","4,067","12,295","0","4,104","0","0","0","0","0","0","0","16"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","43,044","32,483","44,806","38,803","57,427","63,390","78,378","28,614","36,000","68,353","45,980"
"6117","支払手数料","1,297,903","1,149,095","1,299,532","1,409,933","1,247,795","1,496,984","1,302,405","1,416,508","1,111,485","1,256,009","1,569,869","1,262,645"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","49,000","49,000","-191,000","49,000","49,000","49,000","49,000","49,000","49,000","49,000","49,000","49,000"
