"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","380,495,489","389,410,460","401,329,810","425,383,675","422,495,154","514,866,688","536,834,142","335,537,318","379,609,964","202,025,452","202,767,157","353,733,632"
"4112","賃貸料収入","3,440,574","10,197,480","7,597,171","4,700,979","3,507,906","2,964,542","4,060,069","3,505,940","3,463,263","3,397,431","3,819,795","3,191,399"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","95,416,349","109,263,909","84,906,032","72,470,719","114,971,182","113,781,392","74,355,264","99,822,367","120,048,759","0","0","0"
"4115","売上値引戻り高    (△)","1,895,968","2,320,098","1,972,127","1,649,223","1,917,161","2,606,533","2,354,878","1,860,088","1,747,312","206,779","339,412","935,276"
,"純売上高","477,456,444","506,551,751","491,860,886","500,906,150","539,057,081","629,006,089","612,894,597","437,005,537","501,374,674","205,216,104","206,247,540","355,989,755"
"5111","期首たな卸高","71,246,055","83,562,708","81,697,079","76,630,490","90,312,861","86,646,689","105,781,407","79,809,644","77,573,181","74,349,618","67,778,921","64,146,848"
"5211","商品仕入高","188,291,862","149,696,460","177,353,506","200,403,748","197,089,022","248,785,730","222,414,947","129,688,640","190,740,484","74,175,397","63,191,614","65,453,945"
"5212","通信商品仕入高","79,811,036","91,739,398","100,628,994","99,874,918","97,844,602","98,211,466","96,094,691","83,413,788","101,044,427","47,419,460","50,820,474","137,357,086"
"5215","ｺﾐｯｼｮﾝ清掃代","1,744,757","1,390,689","1,211,555","1,412,778","1,265,222","35,301","38,670","29,708","33,222","0","86,259","30,350"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","83,562,708","81,697,079","76,630,490","90,312,861","86,646,689","105,781,407","79,809,644","77,573,181","74,349,618","67,778,921","64,146,848","63,828,030"
,"当期売上原価","257,531,002","244,692,176","284,260,644","288,009,073","299,865,018","327,897,779","344,520,071","215,368,599","295,041,696","128,165,554","117,730,420","203,160,199"
,"売上総利益","219,925,442","261,859,575","207,600,242","212,897,077","239,192,063","301,108,310","268,374,526","221,636,938","206,332,978","77,050,550","88,517,120","152,829,556"
"6111","給与手当","46,120,596","44,814,153","42,970,170","45,243,201","46,314,309","46,115,317","42,798,916","42,409,841","40,414,963","39,246,770","36,403,638","40,233,196"
"6311","雑給","39,161,319","41,837,174","41,410,456","42,580,275","47,518,922","55,497,713","49,643,752","45,737,548","41,940,394","28,663,765","27,460,899","32,499,498"
"6112","旅費交通費","2,959,346","2,763,880","4,203,108","3,009,494","4,296,274","3,374,871","1,879,686","3,295,449","2,896,869","1,990,477","1,145,049","2,402,434"
"6113","広告宣伝費","18,084,197","19,286,413","17,791,965","20,442,401","18,593,737","21,516,615","17,451,435","16,379,992","18,876,836","6,441,147","5,408,598","11,607,476"
"6114","販売促進費","3,457,443","4,266,319","2,292,553","3,571,839","2,936,428","3,332,676","3,455,007","2,986,021","3,671,241","1,312,573","691,060","1,607,085"
"6115","荷造発送費","306,341","299,602","266,058","336,408","227,459","389,811","313,333","407,189","307,517","202,096","205,628","280,770"
"6116","外注費","2,834,000","5,638,086","4,949,594","5,239,055","5,841,370","7,169,002","3,151,479","4,137,525","4,568,260","1,640,962","1,120,773","4,670,306"
"6117","支払手数料","9,845,625","11,015,684","11,229,668","15,265,800","12,844,067","14,090,162","16,422,251","11,401,305","12,941,979","6,656,230","5,816,712","8,133,114"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","9,030,000","9,030,000","10,930,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","8,330,000","3,015,001","1,664,001","1,664,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","-57,764","2,929,882","2,929,882","-284,453","2,929,882","3,477,004","3,042,882","2,929,882","2,929,882","-5,786,961","0","0"
"6312","法定福利費","10,697,130","7,749,778","13,843,528","7,746,117","7,785,301","9,905,026","8,483,266","7,643,537","9,910,513","8,676,049","7,849,121","8,078,224"
"6226","厚生費","9,842,695","7,274,846","5,038,799","2,783,793","8,304,569","2,689,027","3,318,279","18,110,619","6,452,023","4,752,851","727,583","2,594,933"
"6119","退職金","0","0","0","0","0","0","0","0","300,000","0","0","0"
"6214","減価償却費","13,831,589","13,831,589","22,943,952","14,929,732","14,929,732","14,929,732","14,929,732","14,929,732","14,929,732","14,929,732","14,929,732","14,929,732"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","25,323,725","25,532,876","27,302,554","31,560,686","29,043,454","28,542,970","28,223,426","27,734,250","27,610,181","19,781,523","15,244,027","26,990,830"
"6216","修繕／車両関係費","7,668,001","2,788,771","8,079,413","948,517","2,319,103","3,165,962","2,102,582","2,703,957","10,473,979","606,902","422,914","2,020,086"
"6217","事務用消耗品費","205,828","274,456","242,618","169,595","241,209","119,303","70,754","190,595","163,996","137,446","39,827","115,463"
"6218","通信交通費","1,174,080","360,018","3,137,651","857,190","410,402","780,418","1,361,650","295,239","1,320,464","839,623","316,713","1,134,859"
"6219","水道光熱費","13,102,628","13,408,181","15,955,234","14,493,460","13,196,136","12,195,005","13,372,841","12,597,298","11,838,916","10,648,456","7,536,522","6,716,054"
"6221","租税公課","5,045,083","921,940","11,676,308","112,100","153,317","106,091","701,061","201,736","194,725","3,884,200","1,310,263","1,259,300"
"6222","寄付金","45,000","58,000","83,000","98,000","48,000","39,000","29,000","10,000","20,000","0","23,000","30,000"
