"ｺｰﾄﾞ","勘定科目名"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"
"4111","売上高","310,263,868","217,432,531","335,524,139","304,278,921","325,670,724","284,812,391","315,738,782","329,003,204","335,294,728","368,302,464","349,112,634","431,480,852"
"4112","賃貸料収入","4,503,179","4,016,865","5,340,102","4,741,143","5,097,730","4,454,350","4,336,879","6,586,797","5,769,107","4,343,334","4,186,333","6,204,847"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","212,485,969","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","730,800","274,030","88,824","137,528","147,811","126,433","148,007","126,583","132,052","154,471","117,981","163,358"
,"純売上高","314,036,247","221,175,366","340,775,417","308,882,536","330,620,643","289,140,308","319,927,654","335,463,418","553,417,752","372,491,327","353,180,986","437,522,341"
"5111","期首棚卸高","113,028,721","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,694,942","94,698,598","98,074,655"
"5211","商品仕入高","62,065,116","47,103,015","83,936,505","81,056,020","77,294,970","71,631,534","79,516,841","97,367,887","98,669,041","90,707,646","97,347,843","148,894,246"
"5212","通信商品仕入高","72,229,512","60,574,790","76,842,950","70,830,860","54,062,884","53,092,554","60,390,586","48,652,126","64,833,856","76,135,983","63,715,299","67,859,265"
"5215","ｺﾐｯｼｮﾝ清掃代","32,173","35,191","16,100","28,698","32,080","33,624","22,880","28,279","35,822","28,921","26,698","31,298"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","106,992,013","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","102,350,348","97,850,022","88,507,983","100,294,250","82,071,463","77,374,108","79,148,350","82,212,684","96,694,942","94,698,598","98,074,655","121,379,167"
,"当期売上原価","145,005,174","112,213,322","170,137,594","140,129,311","149,612,721","129,455,067","138,156,065","142,983,958","256,048,474","168,868,894","157,713,783","193,480,297"
,"売上総利益","169,031,073","108,962,044","170,637,823","168,753,225","181,007,922","159,685,241","181,771,589","192,479,460","297,369,278","203,622,433","195,467,203","244,042,044"
"6111","給与手当","36,866,187","36,257,782","36,520,401","38,394,042","37,699,110","37,510,361","36,161,891","36,624,843","-15,705,184","36,085,199","35,122,183","37,125,964"
"6311","雑給","35,221,992","30,297,113","35,758,165","34,752,652","38,044,472","34,963,964","37,104,354","38,711,572","36,062,901","40,376,104","39,297,845","47,971,202"
"6112","旅費交通費","3,102,120","2,210,356","2,531,115","2,543,705","2,638,842","2,539,292","2,782,933","2,722,515","2,679,998","3,213,189","2,815,587","3,100,650"
"6113","広告宣伝費","11,164,906","7,538,882","10,819,319","10,709,303","12,043,701","12,038,051","10,540,240","10,681,698","11,103,368","18,680,946","10,769,094","13,019,546"
"6114","販売促進費","1,830,014","1,721,759","1,959,584","2,573,039","2,327,147","2,186,229","2,662,127","3,194,570","2,995,423","2,928,937","3,374,667","3,102,228"
"6115","荷造発送費","306,974","270,264","318,711","327,584","338,226","332,764","334,576","334,904","333,465","320,037","381,546","390,079"
"6116","外注費","3,656,849","3,878,552","4,222,852","3,747,067","2,270,030","2,171,113","4,173,313","5,576,839","4,307,830","3,835,226","3,286,738","4,279,243"
"6117","支払手数料","12,802,033","13,114,472","10,884,991","12,239,640","19,878,140","12,034,439","13,107,721","14,489,414","15,423,963","16,413,704","13,686,414","17,159,048"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","650,002","650,002","650,002","650,002","650,002","650,002","650,002","650,002","20,650,002","2,700,001","2,700,001","2,700,001"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","660,000","496,250","9,838,615","2,442,375","2,232,375","2,442,375","2,454,703","2,707,415","2,707,415","-4,285,254"
"6312","法定福利費","6,970,814","6,552,252","7,134,627","6,525,870","8,502,566","7,948,237","9,261,934","5,834,331","13,620,484","6,370,762","6,857,632","7,230,279"
"6226","厚生費","4,350,028","2,238,974","6,073,581","7,320,073","2,433,071","4,923,825","7,436,159","2,357,544","3,917,905","2,807,160","2,791,837","2,721,432"
"6119","退職金","0","0","0","0","0","1,600,000","0","0","0","0","0","500,000"
"6214","減価償却費","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","13,936,914","10,402,322","13,499,733","13,499,733","13,499,733"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","25,610,807","25,546,759","25,848,341","25,656,488","26,169,367","25,596,705","25,918,598","26,917,327","27,515,364","27,484,258","27,148,629","27,627,830"
"6216","修繕／車両関係費","555,379","5,700,423","879,331","176,267","4,362,117","2,498,706","1,509,852","4,805,153","3,721,026","2,467,858","3,200,386","3,295,748"
"6217","事務用消耗品費","57,011","26,279","30,755","33,703","16,369","45,494","20,201","30,142","68,808","14,922","52,521","16,165"
"6218","通信交通費","1,154,647","700,561","676,257","278,520","1,219,507","720,329","294,479","1,164,043","1,458,647","757,460","767,911","336,337"
"6219","水道光熱費","12,106,560","11,943,458","10,333,184","10,619,834","11,458,517","11,820,337","12,794,647","16,304,150","22,292,348","15,858,033","14,514,877","13,508,192"
"6221","租税公課","74,790","34,600","82,500","89,400","4,686,500","73,584","1,183,800","3,203,300","8,925,412","51,200","146,600","53,800"
"6222","寄付金","42,000","0","0","49,000","20,000","0","200,000","100,000","0","33,000","4,000","59,000"
"6223","接待交際費","1,614,751","369,276","1,225,931","651,865","1,032,787","902,045","1,883,414","686,414","1,617,270","1,495,288","965,305","543,314"
"6224","保険料","728,177","757,207","750,707","667,947","657,907","660,387","677,637","745,447","2,035,441","915,616","706,956","602,624"
"6225","備品消耗品費","6,514,438","6,426,292","7,448,254","8,501,141","7,644,261","7,816,406","7,666,955","14,043,473","16,050,739","8,545,438","8,470,781","12,033,851"
"6227","管理諸費","3,885,945","6,294,913","4,018,348","4,120,287","6,116,848","8,136,999","6,840,554","5,100,418","2,806,432","4,209,502","5,923,067","3,846,516"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","287,600","51,800","160,300","578,102","343,800","456,800","265,000","204,500","413,300","290,300","319,300","205,800"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","539,406","6,650","3,400","0"
"6231","雑費","0","0","5,900","10,000","12,908","0","36,500","19,400","3,957","7,000","3,900","5,300"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","183,490,938","176,518,890","182,930,070","185,648,695","214,341,724","194,005,358","199,676,176","210,881,288","195,695,330","212,074,938","199,518,325","210,648,628"
,"営業利益（損失）","-14,459,865","-67,556,846","-12,292,247","-16,895,470","-33,333,802","-34,320,117","-17,904,587","-18,401,828","101,673,948","-8,452,505","-4,051,122","33,393,416"
"7111","受取利息","833,350","1,884,290","833,663","833,415","4,186","4,200","4,196","5,314","2,195,087","4,191","4,168","4,179"
"7112","為替差益","0","0","0","0","0","0","0","0","2,170,583","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","30,000,000","0","1,593","0","2,000,000","267","0","10,000,000","593"
"7118","雑収入","1,712,591","481,059","4,143,519","520,367","2,972,371","2,236,279","1,405,155","559,028","341,995,025","2,002,945","2,595,255","1,319,940"
,"営業外収益計","2,545,941","2,365,349","4,977,182","31,353,782","2,976,557","2,242,072","1,409,351","2,564,342","346,360,962","2,007,136","12,599,423","1,324,712"
"7511","支払利息","674,263","968,443","786,409","810,271","880,101","245,893","976,721","873,094","1,332,817","329,018","952,869","429,947"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","979","-673","38,916","21,160","11,877","368","-440","-12,233","-48,460","33,741","55,936","1,958"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","11,229,329","0","0","0"
"7519","雑損失","3,304","31,719,936","0","0","0","18,920","0","0","3,548,158","0","0","0"
,"営業外費用計","678,546","32,687,706","825,325","831,431","891,978","265,181","976,281","860,861","16,061,844","362,759","1,008,805","431,905"
,"経常利益（損失）","-12,592,470","-97,879,203","-8,140,390","13,626,881","-31,249,223","-32,343,226","-17,471,517","-16,698,347","431,973,066","-6,808,128","7,539,496","34,286,223"
