"ｺｰﾄﾞ","勘定科目名","29年 11月","29年 12月","30年  1月","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月"
"4111","売上高","413,093,718","526,750,097","435,479,335","347,152,642","487,603,352","391,387,479","377,300,054","355,271,890","392,167,149","421,556,659","378,512,133","376,564,373"
"4112","賃貸料収入","1,495,825","3,067,381","2,360,455","2,360,455","1,595,825","3,500,619","3,504,648","4,310,226","3,097,280","3,367,808","14,039,782","2,918,980"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","232,691,852","0","0","0","0"
"4114","通信売上高","124,761,021","127,658,567","110,276,140","99,156,892","142,252,470","101,193,568","96,647,512","83,180,104","94,380,254","100,071,446","105,024,260","99,247,919"
"4115","売上値引戻り高    (△)","648,640","1,133,227","858,450","621,590","906,101","812,358","828,910","690,838","726,842","1,007,841","1,044,559","784,975"
,"純売上高","538,701,924","656,342,818","547,257,480","448,048,399","630,545,546","495,269,308","476,623,304","674,763,234","488,917,841","523,988,072","496,531,616","477,946,297"
"5111","期首たな卸高","65,099,259","71,291,260","89,721,500","74,639,888","70,609,403","62,593,836","66,062,807","66,608,768","70,691,246","76,604,114","80,223,434","77,188,398"
"5211","商品仕入高","211,437,660","261,024,327","191,284,832","162,096,049","226,372,126","181,558,393","178,114,838","160,224,370","185,522,069","194,545,175","178,287,621","188,768,621"
"5212","通信商品仕入高","109,305,750","106,962,410","95,898,275","81,431,715","120,547,888","79,591,633","80,633,201","72,130,412","81,669,407","84,510,319","89,953,281","86,364,117"
"5215","ｺﾐｯｼｮﾝ清掃代","1,800,149","1,276,790","1,330,835","1,511,988","2,741,606","3,470,241","3,569,048","1,985,061","2,944,108","3,271,098","3,898,503","2,984,917"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","127,560,808","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","71,291,260","89,721,500","74,639,888","70,609,403","62,593,836","66,062,807","66,608,768","70,691,246","76,604,114","80,223,434","77,188,398","82,202,310"
,"当期売上原価","316,351,558","350,833,287","303,595,554","249,070,237","357,677,187","261,151,296","261,771,126","357,818,173","264,222,716","278,707,272","275,174,441","273,103,743"
,"売上総利益","222,350,366","305,509,531","243,661,926","198,978,162","272,868,359","234,118,012","214,852,178","316,945,061","224,695,125","245,280,800","221,357,175","204,842,554"
"6111","給与手当","40,630,167","43,482,271","41,344,182","40,857,080","44,964,556","43,861,589","42,778,505","42,327,995","41,703,784","42,493,094","29,103,429","40,544,938"
"6311","雑給","41,857,538","51,504,632","44,590,347","37,115,912","46,299,666","40,960,828","44,428,420","37,836,609","40,119,341","43,089,606","39,425,655","41,313,308"
"6112","旅費交通費","3,016,915","2,746,186","3,071,017","3,443,645","2,943,226","3,464,212","3,058,339","3,538,830","3,063,013","3,333,747","2,919,763","2,975,024"
"6113","広告宣伝費","22,641,437","25,669,720","19,979,510","17,337,868","23,656,326","17,943,090","19,412,166","21,678,052","18,414,127","19,981,681","21,495,570","20,334,313"
"6114","販売促進費","2,238,639","3,769,568","4,708,376","3,506,451","3,381,703","4,118,623","4,306,801","4,019,486","3,037,236","3,115,104","2,847,608","2,722,346"
"6115","荷造発送費","378,567","351,665","313,360","316,184","271,158","292,843","368,753","406,341","323,248","359,747","322,179","219,864"
"6116","外注費","972,834","875,667","997,241","821,018","1,075,500","239,963","955,130","733,222","1,370,667","1,344,685","1,319,093","1,135,704"
