コード,科目名,4年 4月,4年 5月,4年 6月
500,売上高,1592037,1697013,1634306
501,売上高�,1710000,1710000,1722000
502,売上高(保育),41597924,41433082,41466286
503,売上高(飲食),0,,0
510,家賃収入,148000,148000,148000
,純売上高,45047961,44988095,44970592
,当期製品製造原価,,,
620,期首材料棚卸高,258312,226941,232415
623,原材料仕入,1358418,1188896,1397956
635,期末材料棚卸高,226941,232415,230597
,売上原価,1389789,1183422,1399774
,売上総利益,43658172,43804673,43570818
740,役員報酬,1350000,1350000,1350000
741,給料,21531929,20544241,21516871
742,賞与,2158600,2158600,1993600
744,法定福利費,2764975,2529856,4429755
745,外注給与,780042,983780,1230045
750,福利厚生費,501206,435791,356763
751,会議費,1994,2286,2342
752,工具器具備品,499954,328679,269635
753,消耗品費,103158,106195,116399
754,事務用品費,81081,46739,29697
756,通勤費,196440,200803,230940
757,旅費交通費,52819,73884,61125
761,通信費,99202,99693,102716
762,水道光熱費,511971,371255,487227
765,教育研修費,194545,182727,192091
766,保険料,-7907180,1421878,830701
768,減価償却費,1233437,1233437,1233439
769,家賃,4131897,4178897,4218897
770,賃借料,669664,1194664,953964
771,修繕費,235200,17000,0
772,清掃整備費,453114,575816,435176
773,租税公課,2100,107950,0
774,外注費,2641273,2748717,2701817
776,接待交際費,18500,12103,3944
777,諸会費,200,37200,1200
778,支払手数料,2762884,2535700,2915999
779,雑  費,1218,1664,853
,販売費及び一般管理費,35070223,43479555,45665196
,営業利益,8587949,325118,-2094378
800,受取利息,24,10,10
801,受取配当金,0,0,200
802,受取保険金,57424491,280030,0
810,投資有価証券売却益,0,0,815517
820,雑収入,5158034,6658663,5867976
,営業外収益,62582549,6938703,6683703
830,支払利息,89153,90374,94570
840,雑損失,345004,355501,348831
,営業外費用,434157,445875,443401
,経常利益,70736341,6817946,4145924
,特別利益,0,0,0
,特別損失,0,0,0
,税引前当期純利益,70736341,6817946,4145924
930,法人税住民税事業税額,3,1,41
,当期純利益,70736338,6817945,4145883
