コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月,5年 4月,5年 5月,5年 6月,5年 7月,5年 8月,5年 9月,5年 10月,5年 11月,5年 12月,6年 1月,6年 2月,6年 3月,6年 4月,6年 5月,6年 6月,6年 7月,6年 8月
500,売上高,1592037,1697013,1634306,1259017,894764,1121252,919410,859952,949302,918146,916354,283000,198500,198500,237000,213000,249000,238000,206500,214500,151673,0,0,0,538604,628954,799142,670931,831468,708442,749411,621879,602486,580134,659524,712679,668650,818897,815571,775864,679730
501,売上高Ⅱ,3410000,3410000,3422000,3470000,3470000,3416000,3410000,3410000,3340000,3410000,3410000,3410000,3710000,3710000,3710000,3692581,3650000,3650000,3650000,3590000,3642258,3650000,3647857,3650000,3650000,3615000,3650000,3539677,3530000,3530000,3495000,3400000,3400000,3400000,3400000,3400000,3365000,3400000,3400000,3400000,3400000
502,売上高(保育),41597924,41433082,41466286,42316347,43185092,41170421,41872726,41491152,41188084,41819848,41415878,45437072,40301449,40984705,40734004,42621419,42658518,42549551,42390977,42755570,42940110,43726095,43149850,64225644,41080451,42005015,42518611,42841944,43784368,42690407,43483442,47354754,45231962,45240484,46328239,72926744,44567941,44935255,45680742,45335327,46663959
503,売上高(飲食),0,0,0,0,0,0,0,0,0,0,0,0,4788940,4736700,5087760,4703210,4629920,4839790,4885020,4906670,4854970,4688130,4811250,4991390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,家賃収入,1753000,1753000,1753000,1801000,1655000,1655000,1655000,1655000,1655000,1655000,1655000,1655000,1845000,1845000,1835000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,1755000,17755000,1755000,1755000,1755000
511,駐車場収入,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,48365961,48306095,48288592,48859364,49217856,47375673,47870136,47429104,47145386,47815994,47410232,50798072,50856889,51487905,51629764,52985210,52942438,53032341,52887497,53221740,53344011,53819225,53363957,74622034,47024055,48003969,48722753,48807552,49900836,48683849,49482853,53131633,50989448,50975618,52142763,78794423,50356591,50909152,51651313,51266191,52498689
,当期製品製造原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
620,期首材料棚卸高,258312,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,269921,277891,297676,264963,277112,313983,268758,276365,282285,281498,296208,303550,337559,267997,299514,297329,270615,299931,317392,252354,257793,280722,264676,301399
623,原材料仕入,1358418,1188896,1397956,1338234,1234797,1271486,1400268,1416703,1388884,1314063,1130981,1361848,1340473,1259125,1545915,1475978,1448249,1550915,1531187,1660155,1636549,1542949,1639368,1841274,1640776,1772964,1854979,1828876,1991565,1702785,1926747,1967028,2099297,1787443,1813482,1889635,1908243,2119584,2159765,2230168,1904282
635,期末材料棚卸高,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,269921,277891,297676,264963,277112,313983,268758,276365,282285,281498,296208,303550,337559,267997,299514,297329,270615,299931,317392,252354,257793,280722,264676,301399,364360
