"ｺｰﾄﾞ","勘定科目名"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"
"4111","売上高","4,224,255","854,102","2,098,946","4,671,911","5,187,015","5,640,001","5,644,054","6,907,618","7,699,851","7,034,561","4,876,407","5,010,425"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,224,255","854,102","2,098,946","4,671,911","5,187,015","5,640,001","5,644,054","6,907,618","7,699,851","7,034,561","4,876,407","5,010,425"
"5111","期首たな卸高","521,928","446,117","431,958","333,857","349,685","429,273","400,813","412,135","397,409","403,116","655,969","421,241"
"5211","商品仕入高","1,233,123","415,272","555,913","1,310,517","1,677,910","1,503,459","1,590,903","1,785,193","1,988,059","2,298,441","1,144,022","1,462,710"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","446,117","431,958","333,857","349,685","429,273","400,813","412,135","397,409","403,116","655,969","421,241","359,876"
,"当期売上原価","1,308,934","429,431","654,014","1,294,689","1,598,322","1,531,919","1,579,581","1,799,919","1,982,352","2,045,588","1,378,750","1,524,075"
,"売上総利益","2,915,321","424,671","1,444,932","3,377,222","3,588,693","4,108,082","4,064,473","5,107,699","5,717,499","4,988,973","3,497,657","3,486,350"
"6111","給与手当","795,550","464,990","508,731","532,000","620,000","582,000","642,000","677,000","926,000","926,000","886,000","886,000"
"6311","雑給","1,075,465","723,693","844,195","1,028,075","1,069,795","758,034","893,911","1,049,539","1,359,470","1,138,905","1,016,194","814,253"
"6112","旅費交通費","64,219","26,812","35,564","40,245","49,687","32,100","37,660","45,193","51,276","49,959","47,549","46,552"
"6113","広告宣伝費","0","0","0","2,014","0","0","13,450","16,655","49,536","52,682","0","190,219"
"6114","販売促進費","0","0","0","0","0","0","0","1,604","13,940","31,000","16,000","15,970"
"6115","荷造発送費","1,040","1,040","0","840","1,363","0","2,525","1,880","0","840","0","473"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","649,914","371,790","441,904","583,582","393,755","652,429","625,466","723,117","824,540","769,232","617,787","604,662"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
