"ｺｰﾄﾞ","勘定科目名"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"
"4111","売上高","0","0","0","7,169,498","6,950,286","8,216,585","7,819,073","6,636,044","7,583,398","7,005,417","7,405,477","7,322,394"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","7,169,498","6,950,286","8,216,585","7,819,073","6,636,044","7,583,398","7,005,417","7,405,477","7,322,394"
"5111","期首棚卸高","0","0","0","636,755","551,671","534,904","979,848","631,429","472,811","479,415","618,383","646,633"
"5311","期末棚卸高        (△)","0","0","0","551,671","534,904","979,848","631,429","472,811","479,415","618,383","646,633","448,338"
"5211","商品仕入高","0","0","0","2,075,586","2,072,028","1,406,882","3,655,342","1,813,469","2,253,075","2,195,059","2,184,040","1,499,236"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","2,160,670","2,088,795","961,938","4,003,761","1,972,087","2,246,471","2,056,091","2,155,790","1,697,531"
,"売上総利益","0","0","0","5,008,828","4,861,491","7,254,647","3,815,312","4,663,957","5,336,927","4,949,326","5,249,687","5,624,863"
"6111","給与手当","0","0","0","815,500","671,000","763,872","785,672","796,050","839,893","857,172","791,600","811,600"
"6311","雑給","0","0","0","1,227,545","1,285,004","1,470,618","1,409,883","1,282,834","1,370,448","1,148,437","1,292,742","1,319,381"
"6112","旅費交通費","0","0","0","42,265","45,740","44,235","36,606","11,259","33,291","35,319","31,712","30,241"
"6113","広告宣伝費","0","0","0","38,588","22,823","10,550","54,369","5,000","39,052","28,341","29,545","44,000"
"6114","販売促進費","0","0","0","0","3,671","4,874","8,656","0","0","2,826","0","7,148"
"6115","荷造発送費","0","0","0","0","2,781","3,309","2,220","1,990","3,664","0","0","0"
"6116","外注費","0","0","0","0","25,500","8,084","25,450","4,000","22,300","9,250","14,682","13,500"
