"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","売上高","0","0","0","0","0","0","0","0","0","7,169,498","6,950,286","8,216,585"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","7,169,498","6,950,286","8,216,585"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","636,755","551,671","534,904"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","551,671","534,904","979,848"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","2,075,586","2,072,028","1,406,882"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","2,160,670","2,088,795","961,938"
,"売上総利益","0","0","0","0","0","0","0","0","0","5,008,828","4,861,491","7,254,647"
"6111","給与手当","0","0","0","0","0","0","0","0","0","815,500","671,000","763,872"
"6311","雑給","0","0","0","0","0","0","0","0","0","1,227,545","1,285,004","1,470,618"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","42,265","45,740","44,235"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","38,588","22,823","10,550"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","3,671","4,874"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","2,781","3,309"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","25,500","8,084"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","538,239","883,336","549,636"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","50,250","50,250","323,780"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","160,048","160,048","234,723"
"6226","厚生費","0","0","0","0","0","0","0","0","0","24,541","123,724","23,957"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","224,877","224,877","224,877"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","573,558","580,277","681,326"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","45,000","39,475","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","1,530","200","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","13,702","4,537","575"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","300,469","321,236","306,781"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","50,000","25,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","464,617","47,796","81,945"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","7,991","7,200","7,900"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","4,528,720","4,549,475","4,766,042"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","480,108","312,016","2,488,605"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","480,108","312,016","2,488,605"
