"ｺｰﾄﾞ","勘定科目名"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"
"4111","売上高","0","0","0","0","0","0","0","0","0","0","0","10,470,810"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","0","0","10,470,810"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","296,885"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","296,885","3,209,528"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","296,885","722,050"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","2,784,363"
,"売上総利益","0","0","0","0","0","0","0","0","0","0","0","7,686,447"
"6111","給与手当","0","0","0","0","0","0","0","0","0","683,300","595,300","885,300"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","415,462","2,988,263"
"6112","旅費交通費","0","0","0","0","0","0","0","0","224,273","164,852","235,683","307,141"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","3,800","0","10,102"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","309","3,000"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","107,378","0","0","4,055","18,000","1,336","1,044,231"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","86,893","86,893","98,090"
"6226","厚生費","0","0","0","0","0","0","0","85,000","0","94,100","314,022","172,168"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","0","0"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","0","0","692,274"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","5,923","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","482","7,218"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","0","0","379,614"
"6221","租税公課","0","0","0","0","0","0","0","0","5,000","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","30,000","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","1,200","3,234"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","15,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","41,282","2,491,429","5,811,085"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","0","62,000","270,000"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","107,378","0","85,000","233,328","1,092,227","4,240,039","12,686,720"
,"営業利益（損失）","0","0","0","0","0","-107,378","0","-85,000","-233,328","-1,092,227","-4,240,039","-5,000,273"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","66,666"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","66,666"
,"経常利益（損失）","0","0","0","0","0","-107,378","0","-85,000","-233,328","-1,092,227","-4,240,039","-5,066,939"
