"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","売上高","0","0","0","10,470,810","10,478,092","9,045,660","8,086,456","6,251,310","5,999,792","7,091,464","6,144,348","6,777,195"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","10,470,810","10,478,092","9,045,660","8,086,456","6,251,310","5,999,792","7,091,464","6,144,348","6,777,195"
"5111","期首たな卸高","0","0","0","296,885","722,050","508,300","466,076","662,798","363,428","507,195","591,836","598,666"
"5211","商品仕入高","0","0","296,885","3,209,528","2,848,176","2,014,026","2,442,828","1,471,039","1,791,010","1,706,237","1,696,925","2,006,924"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","296,885","722,050","508,300","466,076","662,798","363,428","507,195","591,836","598,666","413,805"
,"当期売上原価","0","0","0","2,784,363","3,061,926","2,056,250","2,246,106","1,770,409","1,647,243","1,621,596","1,690,095","2,191,785"
,"売上総利益","0","0","0","7,686,447","7,416,166","6,989,410","5,840,350","4,480,901","4,352,549","5,469,868","4,454,253","4,585,410"
"6111","給与手当","0","683,300","595,300","885,300","615,300","876,800","876,800","615,300","660,300","630,300","613,300","649,800"
"6311","雑給","0","0","415,462","2,988,263","2,234,969","1,726,191","1,636,602","1,256,193","1,243,745","1,265,423","1,139,763","1,210,230"
"6112","旅費交通費","224,273","164,852","235,683","302,412","362,233","301,564","70,687","193,873","46,235","43,114","33,066","37,660"
"6113","広告宣伝費","0","3,800","0","10,102","10,000","31,727","33,573","0","11,573","10,000","10,045","4,671"
"6114","販売促進費","0","0","309","3,000","5,864","14,000","16,000","14,000","15,970","15,940","16,000","16,000"
"6115","荷造発送費","0","0","0","0","0","0","0","6,191","3,104","1,365","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","4,055","18,000","1,336","1,044,231","863,328","820,278","774,726","651,862","713,346","706,210","634,780","722,848"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","150,000","0","0","0","0","0"
"6312","法定福利費","0","86,893","86,893","98,090","98,090","98,090","158,147","95,445","98,090","98,060","98,060","98,060"
"6226","厚生費","0","94,100","314,022","172,168","12,002","81,000","-3,636","61,180","-909","5,000","7,150","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","449,992","271,457","271,457","271,457","271,457","271,457","271,457","271,457","271,457"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","692,274","608,488","533,310","485,046","395,053","379,593","438,573","388,044","420,460"
"6216","修繕／車両関係費","0","0","0","338,000","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","5,923","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","482","7,218","4,549","7,719","1,682","6,183","9,793","14,996","6,603","5,894"
"6219","水道光熱費","0","0","0","379,614","467,667","434,470","386,867","349,810","320,428","312,241","373,297","367,798"
"6221","租税公課","5,000","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","30,000","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","1,200","3,234","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","0","41,282","2,491,429","6,084,356","355,861","132,017","296,637","111,248","151,793","155,087","199,184","79,455"
"6227","管理諸費","0","0","62,000","270,000","0","0","0","0","0","1,315","1,627","0"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","11,000","0","0","0","0","0","14,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","233,328","1,092,227","4,240,039","13,743,254","5,924,808","5,354,623","5,169,588","4,042,795","3,939,518","3,984,081","3,807,376","3,913,333"
,"営業利益（損失）","-233,328","-1,092,227","-4,240,039","-6,056,807","1,491,358","1,634,787","670,762","438,106","413,031","1,485,787","646,877","672,077"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","2,500,000","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","2,500,000","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","3,000","0","0","0","-308","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","534,560","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","534,560","3,000","0","0","0","-308","0","0","0"
,"経常利益（損失）","-233,328","-1,092,227","-4,240,039","-6,591,367","1,488,358","1,634,787","670,762","438,106","413,339","3,985,787","646,877","672,077"
