"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","5,898,171","4,902,376","6,321,276","6,384,586","6,929,108","6,018,587","4,333,524","6,336,240","6,528,884","7,371,235","6,105,929","6,953,978"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,898,171","4,902,376","6,321,276","6,384,586","6,929,108","6,018,587","4,333,524","6,336,240","6,528,884","7,371,235","6,105,929","6,953,978"
"5111","期首棚卸高","541,777","558,728","631,296","562,330","494,136","817,222","568,907","392,606","290,767","287,209","300,668","271,570"
"5211","商品仕入高","1,607,975","1,500,073","1,642,285","1,782,434","2,128,362","1,392,543","1,037,944","1,532,976","1,647,197","1,939,527","1,522,801","1,741,365"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","558,728","631,296","562,330","494,136","817,222","568,907","392,606","290,767","287,209","300,668","271,570","274,696"
,"当期売上原価","1,591,024","1,427,505","1,711,251","1,850,628","1,805,276","1,640,858","1,214,245","1,634,815","1,650,755","1,926,068","1,551,899","1,738,239"
,"売上総利益","4,307,147","3,474,871","4,610,025","4,533,958","5,123,832","4,377,729","3,119,279","4,701,425","4,878,129","5,445,167","4,554,030","5,215,739"
"6111","給与手当","614,800","614,800","631,800","618,800","618,800","588,800","588,800","588,800","588,800","636,800","591,800","591,800"
