"ｺｰﾄﾞ","勘定科目名"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"
"4111","売上高","0","11,829,510","9,561,022","9,212,466","8,049,918","5,294,970","4,224,255","854,102","2,098,946","4,671,911","5,187,015","5,640,001"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","11,829,510","9,561,022","9,212,466","8,049,918","5,294,970","4,224,255","854,102","2,098,946","4,671,911","5,187,015","5,640,001"
"5111","期首たな卸高","0","588,743","713,685","588,158","700,825","633,848","521,928","446,117","431,958","333,857","349,685","429,273"
"5211","商品仕入高","588,743","3,468,854","2,363,022","2,646,768","2,309,395","1,504,713","1,233,123","415,272","555,913","1,310,517","1,677,910","1,503,459"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","588,743","713,685","588,158","700,825","633,848","521,928","446,117","431,958","333,857","349,685","429,273","400,813"
,"当期売上原価","0","3,343,912","2,488,549","2,534,101","2,376,372","1,616,633","1,308,934","429,431","654,014","1,294,689","1,598,322","1,531,919"
,"売上総利益","0","8,485,598","7,072,473","6,678,365","5,673,546","3,678,337","2,915,321","424,671","1,444,932","3,377,222","3,588,693","4,108,082"
"6111","給与手当","981,000","1,056,000","986,612","912,036","807,003","807,000","795,550","464,990","508,731","532,000","620,000","582,000"
"6311","雑給","1,309,542","2,549,529","2,693,525","2,611,663","1,842,309","1,254,744","1,075,465","723,693","844,195","1,028,075","1,069,795","758,034"
"6112","旅費交通費","93,172","71,631","81,954","121,552","83,815","72,734","64,219","26,812","35,564","40,245","49,687","32,100"
"6113","広告宣伝費","0","450","0","0","39,643","0","0","0","0","2,014","0","0"
"6114","販売促進費","0","0","0","74,315","0","0","0","0","0","0","0","0"
"6115","荷造発送費","0","13,042","1,880","8,222","0","755","1,040","1,040","0","840","1,363","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","77,100","1,124,562","725,547","776,185","783,974","625,488","649,914","371,790","441,904","583,582","393,755","652,429"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","128,045","156,104","212,686","248,422","248,422","241,598","215,896","174,148","174,148","132,554","129,340","98,447"
