"ｺｰﾄﾞ","勘定科目名"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"
"4111","売上高","9,561,022","9,212,466","8,049,918","5,294,970","4,224,255","854,102","2,098,946","4,671,911","5,187,015","5,640,001","5,644,054","6,907,618"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,561,022","9,212,466","8,049,918","5,294,970","4,224,255","854,102","2,098,946","4,671,911","5,187,015","5,640,001","5,644,054","6,907,618"
"5111","期首たな卸高","713,685","588,158","700,825","633,848","521,928","446,117","431,958","333,857","349,685","429,273","400,813","412,135"
"5211","商品仕入高","2,363,022","2,646,768","2,309,395","1,504,713","1,233,123","415,272","555,913","1,310,517","1,677,910","1,503,459","1,590,903","1,785,193"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","588,158","700,825","633,848","521,928","446,117","431,958","333,857","349,685","429,273","400,813","412,135","397,409"
,"当期売上原価","2,488,549","2,534,101","2,376,372","1,616,633","1,308,934","429,431","654,014","1,294,689","1,598,322","1,531,919","1,579,581","1,799,919"
,"売上総利益","7,072,473","6,678,365","5,673,546","3,678,337","2,915,321","424,671","1,444,932","3,377,222","3,588,693","4,108,082","4,064,473","5,107,699"
"6111","給与手当","986,612","912,036","807,003","807,000","795,550","464,990","508,731","532,000","620,000","582,000","642,000","677,000"
"6311","雑給","2,693,525","2,611,663","1,842,309","1,254,744","1,075,465","723,693","844,195","1,028,075","1,069,795","758,034","893,911","1,049,539"
"6112","旅費交通費","81,954","121,552","83,815","72,734","64,219","26,812","35,564","40,245","49,687","32,100","37,660","45,193"
"6113","広告宣伝費","0","0","39,643","0","0","0","0","2,014","0","0","13,450","16,655"
"6114","販売促進費","0","74,315","0","0","0","0","0","0","0","0","0","1,604"
"6115","荷造発送費","1,880","8,222","0","755","1,040","1,040","0","840","1,363","0","2,525","1,880"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","725,547","776,185","783,974","625,488","649,914","371,790","441,904","583,582","393,755","652,429","625,466","723,117"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","212,686","248,422","248,422","241,598","215,896","174,148","174,148","132,554","129,340","98,447","110,192","115,686"
"6226","厚生費","106,384","69,754","21,702","203,696","54,885","1,070","0","4,360","7,180","106,730","23,508","5,862"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","259,677","259,677","259,677","259,677","259,677","259,677","259,677","259,677","259,677","259,677","720,174","338,395"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","884,247","892,694","763,318","588,192","570,192","570,192","-293,698","750,577","475,355","516,282","552,907","656,306"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","20,700","0","2,480","5,040","2,000","0","245","800","0","1,891","0","1,580"
"6218","通信交通費","5,787","1,187","15,228","0","10,986","5,493","0","10,806","5,483","5,486","16,933","0"
"6219","水道光熱費","640,075","427,898","378,021","329,633","236,161","198,905","87,410","195,151","237,212","260,654","258,897","249,765"
"6221","租税公課","0","0","0","0","0","0","200","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
"6225","備品消耗品費","295,183","146,432","24,440","84,749","131,252","18,762","17,264","94,980","387,427","120,365","108,763","223,339"
"6227","管理諸費","10,955","4,800","7,200","4,800","4,800","2,400","0","4,800","7,200","5,397","4,800","4,800"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","6,950,212","6,579,837","5,302,232","4,503,106","4,097,037","2,843,972","2,100,640","3,665,461","3,668,474","3,424,492","4,036,186","4,135,721"
,"営業利益（損失）","122,261","98,528","371,314","-824,769","-1,181,716","-2,419,301","-655,708","-288,239","-79,781","683,590","28,287","971,978"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","738"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","1,274,601","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","1,274,601","738"
,"経常利益（損失）","122,261","98,528","371,314","-824,769","-1,181,716","-2,419,301","-655,708","-288,239","-79,781","683,590","-1,246,314","971,240"
