"ｺｰﾄﾞ","勘定科目名"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"
"4111","売上高","39,091","100,272","91,074","0","212,364","103,913","798,496","52,650","267,069","43,864","401,634","117,738"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","7,500","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","39,091","100,272","91,074","0","212,364","103,913","798,496","52,650","267,069","43,864","409,134","117,738"
"5111","期首棚卸高","0","0","0","0","10,366,558","10,262,892","10,256,672","10,251,172","8,500,530","7,886,833","7,224,433","6,344,297"
"5211","商品仕入高","11,389","3,300","-23,235","10,042,000","823,350","21,745","235,095","0","0","0","0","-241,889"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","10,366,558","10,262,892","10,256,672","10,251,172","8,500,530","7,886,833","7,224,433","6,344,297","5,448,631"
,"当期売上原価","11,389","3,300","-23,235","-324,558","927,016","27,965","240,595","1,750,642","613,697","662,400","880,136","653,777"
,"売上総利益","27,702","96,972","114,309","324,558","-714,652","75,948","557,901","-1,697,992","-346,628","-618,536","-471,002","-536,039"
"6111","給与手当","1,581,000","1,406,000","1,364,044","-49,751,538","2,041,000","2,473,000","2,473,000","2,397,381","2,473,000","2,473,000","3,781,200","2,477,600"
"6311","雑給","378,925","299,020","221,179","89,715","264,101","331,555","534,178","308,398","278,851","897,139","1,114,131","717,335"
"6112","旅費交通費","274,876","294,725","180,377","406,123","369,381","306,482","323,554","296,989","385,317","370,745","381,893","427,625"
"6113","広告宣伝費","1,128,034","1,132,061","908,276","1,398,138","5,836,033","1,520,463","1,243,354","2,174,130","1,583,070","1,983,697","1,485,462","1,155,133"
"6114","販売促進費","37,932","371,128","7","1,497","59,772","49,116","267,908","77,481","61,599","42,799","41,789","111,490"
"6115","荷造発送費","690","6,095","0","1,065","0","28,202","10,895","1,380","5,140","2,977","1,380","9,986"
"6116","外注費","0","0","0","9,780","0","0","0","0","0","0","0","0"
"6117","支払手数料","32,625","139,466","689,144","1,140,102","327,225","48,072","875,120","282,905","236,013","282,790","257,612","228,688"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","75,375","75,375","75,375","87,703","50,249","50,249","-111,251","50,249","50,249","50,249","50,249","50,249"
"6312","法定福利費","300,159","281,644","281,644","278,808","292,808","416,022","389,430","435,320","451,325","478,255","711,880","436,990"
"6226","厚生費","91,504","3,400","117,731","992,830","311,831","557,943","722,841","620,950","1,157,420","3,328,539","2,528,545","1,323,228"
"6119","退職金","0","0","0","0","0","0","500,000","0","0","0","0","0"
"6214","減価償却費","626,764","626,764","626,764","-6,894,404","0","0","0","0","0","0","0","0"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637"
"6216","修繕／車両関係費","37,146","146,723","12,000","235,683","426,617","427,656","202,422","3,620","10,360","227,822","259,051","-979,970"
"6217","事務用消耗品費","0","0","0","0","0","1,773","0","0","0","0","0","0"
"6218","通信交通費","26,917","22,517","62,630","409,401","33,848","32,685","36,568","188,928","54,063","99,652","26,043","89,979"
"6219","水道光熱費","5,600","41,416","76,155","4,810,812","66,957","52,127","52,900","71,583","75,132","79,130","43,261","28,238"
"6221","租税公課","0","16,000","0","36,600","36,600","80,200","0","0","0","37,200","52,400","122,900"
"6222","寄付金","0","0","0","0","0","0","25,000","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","9,988","59,901","61,357","76,964","56,230","13,182","26,313","60,312"
"6224","保険料","0","0","0","95,940","128,360","39,720","-48,000","0","0","35,190","23,580","0"
"6225","備品消耗品費","94,905","158,943","729,751","939,486","235,937","-149,398","237,915","88,052","134,632","7,461","239,406","133,306"
"6227","管理諸費","330,291","544,418","365,404","635,688","121,596","46,128","55,579","52,283","216,228","3,544,131","-208,833","570,288"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","206,000","0","0","0","0","0","0","0","0","0","3,600","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000"
,"販売費及び一般管理費計","5,342,380","5,679,332","5,824,118","-44,962,934","14,725,940","10,485,533","11,966,407","11,240,250","11,342,266","18,067,595","14,932,599","11,077,014"
,"営業利益（損失）","-5,314,678","-5,582,360","-5,709,809","45,287,492","-15,440,592","-10,409,585","-11,408,506","-12,938,242","-11,688,894","-18,686,131","-15,403,601","-11,613,053"
"7111","受取利息","0","0","0","0","0","1","12","25","417","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","75,670","129,910","107,822","321,335,527","1,560,065","151,130","165,730","1,215,132","153,462","1,183,595","193,183","183,988"
,"営業外収益計","75,670","129,910","107,822","321,335,527","1,560,065","151,131","165,742","1,215,157","153,879","1,183,595","193,183","183,988"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","-10,000","-105,722","0","0","0","0","0","-1,913","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","2,128,000","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","105,722","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","-10,000","2,128,000","0","0","0","0","0","-1,913","0","0"
,"経常利益（損失）","-5,239,008","-5,452,450","-5,591,987","364,495,019","-13,880,527","-10,258,454","-11,242,764","-11,723,085","-11,535,015","-17,500,623","-15,210,418","-11,429,065"
