"ｺｰﾄﾞ","勘定科目名"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"
"4111","売上高","0","0","0","0","0","0","0","0","187,091","0","31,545","0"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","1,600,000","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","187,091","0","1,631,545","0"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","91,065","105,607","9,069","24,220","0","-41,023","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","91,065","105,607","9,069","24,220","0","-41,023","0","0","0"
,"売上総利益","0","0","0","-91,065","-105,607","-9,069","-24,220","0","228,114","0","1,631,545","0"
"6111","給与手当","0","0","0","0","0","472,000","0","0","0","0","0","1,032,500"
"6311","雑給","0","0","0","0","0","0","0","0","221,550","0","0","211,055"
"6112","旅費交通費","43,318","26,855","28,618","0","39,236","22,537","31,664","382","26,698","10,855","0","108,929"
"6113","広告宣伝費","418,900","929,958","2,842,136","58,000","544,964","786,116","91,261","690,736","475,073","261,671","490,090","776,763"
"6114","販売促進費","210,513","47,119","195,000","1,425,662","249,240","742,771","56,170","116,965","-908,844","13","16","26,810"
"6115","荷造発送費","0","0","0","0","0","3,320","0","1,751","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","14,900","18,196","19,132","50,400","130,823","27,411","2,292","110,550","31,851","-25,783","310,524","613,111"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","84,077","84,077","84,077","84,077","84,077","84,077","84,077","84,077","287,319","287,319","214,586","228,586"
"6226","厚生費","0","0","0","0","15,818","6,370","0","89,535","18,585","0","15,100","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","0","626,764"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","75,758","75,757","0","36,364","0","113,636","113,637","0","858,637","187,512","713,637","713,637"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","42,891","74,540","177,860","179,866","321,073"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","22,428","0","210,601","0","204,275","9,895","20,829","8,810","694","29,407","1,100","8,007"
"6219","水道光熱費","0","0","780","0","780","26,586","18,669","28,647","29,032","-46,634","210,693","-335,512"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","9,600","36,600"
"6222","寄付金","0","0","0","0","0","0","10,000","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","19,730","32,970"
"6225","備品消耗品費","49,955","17,000","177,401","163,661","166,101","420,253","157,533","70,804","135,262","326,383","26,801","46,409"
"6227","管理諸費","0","800","30,200","29,933","38,436","52,200","4,000","22,000","4,000","-15,400","4,000","16,727"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","74,400","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","919,849","1,199,762","3,662,345","1,848,097","1,473,750","2,767,172","590,132","1,267,148","1,254,397","1,193,203","2,195,743","4,464,429"
,"営業利益（損失）","-919,849","-1,199,762","-3,662,345","-1,939,162","-1,579,357","-2,776,241","-614,352","-1,267,148","-1,026,283","-1,193,203","-564,198","-4,464,429"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","518,532","1,845,674","273,296","797,345","114,936","165,625","491,911","125,630","108,382","106,903","1,218,523","75,862"
,"営業外収益計","518,532","1,845,674","273,296","797,345","114,936","165,625","491,911","125,630","108,382","106,903","1,218,523","75,862"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","2,128,000","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","2,128,000","0"
,"経常利益（損失）","-401,317","645,912","-3,389,049","-1,141,817","-1,464,421","-2,610,616","-122,441","-1,141,518","-917,901","-1,086,300","-1,473,675","-4,388,567"
