"ｺｰﾄﾞ","勘定科目名","30年 12月","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"
"4111","売上高","2,365,833","1,463,889","1,528,240","2,809,259","1,767,777","1,221,500","1,228,556","1,770,567","1,525,935","1,188,750","1,188,318","1,347,500"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","2,365,833","1,463,889","1,528,240","2,809,259","1,767,777","1,221,500","1,228,556","1,770,567","1,525,935","1,188,750","1,188,318","1,347,500"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","194,452","351,587","20,000","0","38,479","18,556","29,536","127,186","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","194,452","351,587","20,000","0","38,479","18,556","29,536","127,186","0"
,"売上総利益","2,365,833","1,463,889","1,528,240","2,614,807","1,416,190","1,201,500","1,228,556","1,732,088","1,507,379","1,159,214","1,061,132","1,347,500"
"6111","給与手当","3,141,066","2,358,813","2,132,981","2,794,513","2,119,997","1,840,620","1,826,013","2,107,870","2,024,513","1,899,499","1,958,373","2,044,749"
"6311","雑給","0","4,363","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","267,834","303,605","249,562","418,424","492,761","331,173","291,668","298,495","368,330","602,975","42,339","246,622"
"6113","広告宣伝費","410,026","1,198,555","261,934","1,520,084","257,405","672,643","1,013,652","1,409,273","669,049","619,144","1,540,447","302,029"
"6114","販売促進費","0","0","15,000","0","96,500","0","0","0","5,556","12,300","0","31,364"
"6115","荷造発送費","0","0","2,650","0","0","1,389","0","0","0","0","0","910"
"6116","外注費","32,000","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","23,853","30,437","4,254","6,185","4,830","70,194","3,503","28,310","892","11,269","36,483","11,405"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","641,250","215,000","215,000","215,000","215,000","215,000","-759,500","215,000","215,000","215,000","215,000","215,000"
"6312","法定福利費","444,525","203,048","203,048","203,749","203,749","203,749","250,652","203,749","181,414","185,514","201,114","184,108"
"6226","厚生費","2,778","24,242","0","224,273","13,731","0","0","16,194","9,917","191,825","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","0","0","0"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","115,741","0","115,740","115,741","115,741","108,796","115,741","1,265,741","-1,150,000","0","113,636"
"6216","修繕／車両関係費","421,320","1,319,700","970,167","669,755","839,885","368,612","14,907","30,858","175,346","6,944","246,990","511,061"
"6217","事務用消耗品費","0","0","0","0","0","0","13,000","0","21,460","20,488","0","21,423"
"6218","通信交通費","34,768","41,157","40,491","28,976","25,343","34,873","19,064","20,406","26,937","28,647","39,923","26,807"
"6219","水道光熱費","0","7,994","0","42,561","36,776","38,017","34,324","30,610","75,206","49,745","52,687","7,899"
"6221","租税公課","21,826","52,716","120,580","84,917","24,325","89,569","13,791","7,450","29,107","28,411","35,400","80,117"
"6222","寄付金","0","0","0","0","0","10,000","0","0","0","0","0","0"
"6223","接待交際費","0","0","8,917","0","0","0","0","8,800","7,200","0","0","0"
"6224","保険料","25,070","31,790","61,480","31,590","0","15,370","0","0","25,070","0","15,370","80,880"
"6225","備品消耗品費","114,000","58,907","38,738","77,012","17,655","22,474","6,092","40,465","85,060","39,755","31,721","17,552"
"6227","管理諸費","0","0","2,963","7,703","38,206","3,999","3,999","4,000","43,700","13,084","39,455","65,728"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","44,000","52,000","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","5,037","0","0"
,"販売費及び一般管理費計","5,580,316","5,966,068","4,327,765","6,440,482","4,545,904","4,085,423","2,839,961","4,537,221","5,229,498","2,779,637","4,455,302","3,961,290"
,"営業利益（損失）","-3,214,483","-4,502,179","-2,799,525","-3,825,675","-3,129,714","-2,883,923","-1,611,405","-2,805,133","-3,722,119","-1,620,423","-3,394,170","-2,613,790"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
