"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","売上高","0","5","0","0","39,091","100,272","91,074","0","212,364","103,913","798,496","52,650"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","5","0","0","39,091","100,272","91,074","0","212,364","103,913","798,496","52,650"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","10,366,558","10,262,892","10,256,672","10,251,172"
"5211","商品仕入高","0","0","0","-556","11,389","3,300","-23,235","10,042,000","823,350","21,745","235,095","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","10,366,558","10,262,892","10,256,672","10,251,172","8,500,530"
,"当期売上原価","0","0","0","-556","11,389","3,300","-23,235","-324,558","927,016","27,965","240,595","1,750,642"
,"売上総利益","0","5","0","556","27,702","96,972","114,309","324,558","-714,652","75,948","557,901","-1,697,992"
"6111","給与手当","1,005,643","1,016,110","1,030,848","1,046,500","1,581,000","1,406,000","1,364,044","-49,751,538","2,041,000","2,473,000","2,473,000","2,397,381"
"6311","雑給","148,253","232,965","105,010","187,820","378,925","299,020","221,179","89,715","264,101","331,555","534,178","308,398"
"6112","旅費交通費","276,557","280,406","213,974","294,030","274,876","294,725","180,377","406,123","369,381","306,482","323,554","296,989"
"6113","広告宣伝費","837,199","812,926","1,521,432","744,485","1,128,034","1,132,061","908,276","1,398,138","5,836,033","1,520,463","1,243,354","2,174,130"
"6114","販売促進費","48,356","-11","51,518","136,364","37,932","371,128","7","1,497","59,772","49,116","267,908","77,481"
"6115","荷造発送費","590","1,070","1,800","1,110","690","6,095","0","1,065","0","28,202","10,895","1,380"
"6116","外注費","0","0","0","0","0","0","0","9,780","0","0","0","0"
"6117","支払手数料","347,640","297,463","330,773","194,076","32,625","139,466","689,144","1,140,102","327,225","48,072","875,120","282,905"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","125,600","75,375","75,375","75,375","87,703","50,249","50,249","-111,251","50,249"
"6312","法定福利費","228,586","224,980","224,789","222,230","300,159","281,644","281,644","278,808","292,808","416,022","389,430","435,320"
"6226","厚生費","40,991","77,802","101,371","28,104","91,504","3,400","117,731","992,830","311,831","557,943","722,841","620,950"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","500,000","0"
"6214","減価償却費","626,764","626,764","626,764","626,764","626,764","626,764","626,764","-6,894,404","0","0","0","0"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","113,637","113,637","113,636","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637","113,637"
"6216","修繕／車両関係費","515,676","0","88,882","24,016","37,146","146,723","12,000","235,683","426,617","427,656","202,422","3,620"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","1,773","0","0"
