ｺｰﾄﾞ,勘定科目名, 3年 11月, 3年 12月, 4年  1月, 4年  2月, 4年  3月, 4年  4月, 4年  5月, 4年  6月, 4年  7月, 4年  8月, 4年  9月
4111,売上高,0,0,0,0,0,0,0,0,0,"7,831,884","11,771,452"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0
,純売上高,0,0,0,0,0,0,0,0,0,"7,831,884","11,771,452"
5111,期首棚卸高,0,0,0,0,0,0,0,0,"25,705","71,549","1,080,022"
5211,商品仕入高,0,0,0,0,0,"74,865","66,133","29,907","209,168","4,695,176","4,881,253"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),0,0,0,0,0,0,0,"25,705","71,549","1,080,022","726,535"
,当期売上原価,0,0,0,0,0,"74,865","66,133","4,202","163,324","3,686,703","5,234,740"
,売上総利益,0,0,0,0,0,"-74,865","-66,133","-4,202","-163,324","4,145,181","6,536,712"
6111,給与手当,0,0,0,0,"490,500","106,500","81,500","196,500","416,500","841,500","516,500"
6311,雑給,0,0,0,0,0,"136,735","283,063","44,450","399,225","1,826,037","1,732,401"
6112,旅費交通費,0,0,0,"28,022","17,200","32,236","28,873","15,023","38,879","50,103","48,028"
6113,広告宣伝費,0,0,0,0,"25,000","600,000","104,000",0,0,0,"131,864"
6114,販売促進費,0,0,0,0,0,0,0,0,0,0,0
6115,荷造発送費,0,0,0,0,0,0,0,0,0,0,550
6116,外注費,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,0,0,0,0,0,"83,614","5,250","2,196","687,583","678,798","1,228,926"
6118,,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,0,0,"20,000","76,375","76,375","76,375","76,375"
6312,法定福利費,0,0,0,0,"33,660","32,189","119,879","89,184","112,978","112,978","159,260"
6226,厚生費,0,0,0,"18,000","200,694","128,855","98,533","93,160","5,686","331,718","271,616"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,0,0,0,0,0,0,0,0,0,0,0
6234,,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,0,0,0,0,0,0,0,0,0,"856,938","1,578,102"
6216,修繕／車両関係費,0,0,0,0,0,0,0,0,0,0,"78,769"
6217,事務用消耗品費,0,0,0,0,0,"7,855",100,0,0,0,"37,720"
6218,通信交通費,0,0,0,0,0,0,0,0,0,0,627
6219,水道光熱費,0,0,0,0,0,"5,410","8,410","6,123",780,"31,428","313,264"
6221,租税公課,0,0,"2,200",0,0,0,0,0,0,0,0
6222,寄付金,0,0,0,0,0,0,0,0,0,"30,000",0
6223,接待交際費,0,0,0,0,0,0,0,0,0,0,0
6224,保険料,0,0,0,0,0,0,0,"15,000","15,000","15,000","15,000"
6225,備品消耗品費,0,0,0,"399,660","204,981","495,705","142,326","59,060","124,382","4,371,080","4,059,109"
6227,管理諸費,0,0,0,"5,773",0,"14,685","4,102","1,355",0,"2,500","37,132"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,0,0,0,0,0
,販売費及び一般管理費計,0,0,"2,200","451,455","972,035","1,643,784","896,036","598,426","1,877,388","9,224,455","10,285,243"
,営業利益（損失）,0,0,"-2,200","-451,455","-972,035","-1,718,649","-962,169","-602,628","-2,040,712","-5,079,274","-3,748,531"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,0,0,0,0,0,0,0,0
,営業外収益計,0,0,0,0,0,0,0,0,0,0,0
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,0,0,0,0,0,"4,050",0
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,0,0,0,0,0,"4,050",0
,経常利益（損失）,0,0,"-2,200","-451,455","-972,035","-1,718,649","-962,169","-602,628","-2,040,712","-5,083,324","-3,748,531"
