"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","売上高","0","0","0","0","0","0","0","0","7,831,884","11,771,452","12,475,373","11,067,017"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","7,831,884","11,771,452","12,475,373","11,067,017"
"5111","期首棚卸高","0","0","0","0","0","0","0","25,705","71,549","1,080,022","726,535","636,363"
"5211","商品仕入高","0","0","0","0","74,865","66,133","29,907","209,168","4,695,176","4,881,253","4,728,583","4,616,847"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","25,705","71,549","1,080,022","726,535","636,363","814,872"
,"当期売上原価","0","0","0","0","74,865","66,133","4,202","163,324","3,686,703","5,234,740","4,818,755","4,438,338"
,"売上総利益","0","0","0","0","-74,865","-66,133","-4,202","-163,324","4,145,181","6,536,712","7,656,618","6,628,679"
"6111","給与手当","0","0","0","490,500","106,500","81,500","196,500","416,500","841,500","516,500","756,000","585,340"
"6311","雑給","0","0","0","0","136,735","283,063","44,450","399,225","1,826,037","1,732,401","1,686,012","1,581,298"
"6112","旅費交通費","0","0","28,022","17,200","32,236","28,873","15,023","38,879","50,103","48,028","40,141","54,789"
"6113","広告宣伝費","0","0","0","25,000","600,000","104,000","0","0","0","131,864","221,186","0"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","2,000","1,702"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","550","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","83,614","5,250","2,196","687,583","678,798","1,228,926","694,480","620,716"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","20,000","76,375","76,375","76,375","76,375","50,916","50,916"
"6312","法定福利費","0","0","0","33,660","32,189","119,879","89,184","112,978","112,978","159,260","101,668","192,247"
"6226","厚生費","0","0","18,000","200,694","128,855","98,533","93,160","5,686","331,718","271,616","117,560","94,798"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","1,244,031","419,308","419,308"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","856,938","1,578,102","1,292,086","1,169,202"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","78,769","0","0"
"6217","事務用消耗品費","0","0","0","0","7,855","100","0","0","0","37,720","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","627","0","0"
"6219","水道光熱費","0","0","0","0","5,410","8,410","6,123","780","31,428","313,264","256,652","281,026"
