"ｺｰﾄﾞ","勘定科目名"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"
"4111","売上高","0","0","0","0","10,743,934","10,234,575","11,396,411","12,376,132","9,227,970","10,687,896","8,287,466","9,523,385"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","10,743,934","10,234,575","11,396,411","12,376,132","9,227,970","10,687,896","8,287,466","9,523,385"
"5111","期首棚卸高","0","0","0","0","669,868","580,755","569,871","2,861,283","418,626","408,651","392,716","790,087"
"5311","期末棚卸高        (△)","0","0","0","0","580,755","569,871","2,861,283","418,626","408,651","392,716","790,087","514,807"
"5211","商品仕入高","0","0","0","0","4,264,221","3,924,808","6,745,961","2,016,725","3,135,254","3,676,092","3,453,898","3,368,631"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","4,353,334","3,935,692","4,454,549","4,459,382","3,145,229","3,692,027","3,056,527","3,643,911"
,"売上総利益","0","0","0","0","6,390,600","6,298,883","6,941,862","7,916,750","6,082,741","6,995,869","5,230,939","5,879,474"
"6111","給与手当","0","0","0","0","969,980","714,600","760,549","691,300","614,825","594,200","766,581","603,671"
"6311","雑給","0","0","0","0","1,377,638","1,257,335","1,338,400","1,436,371","1,126,975","1,327,464","1,238,307","1,364,928"
"6112","旅費交通費","0","0","0","0","62,093","58,665","58,625","59,134","35,774","54,804","54,733","53,993"
"6113","広告宣伝費","0","0","0","0","738,614","818,870","848,989","843,449","538,133","718,506","697,307","640,546"
"6114","販売促進費","0","0","0","0","0","3,671","7,483","2,360","0","0","2,826","0"
"6115","荷造発送費","0","0","0","0","29,120","15,680","20,160","10,182","13,440","8,960","0","31,382"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","748,203","724,164","1,870,876","1,826,075","372,052","1,780,934","704,948","1,305,628"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
