"ｺｰﾄﾞ","勘定科目名","31年  1月","31年  2月","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"
"4111","売上高","402,209,303","329,326,256","514,189,841","403,423,946","304,949,024","464,729,642","380,495,489","389,410,460","401,329,810","425,383,675","422,495,154","514,866,688"
"4112","賃貸料収入","3,989,199","2,742,225","3,789,183","3,206,217","3,523,948","2,812,154","3,440,574","10,197,480","7,597,171","4,700,979","3,507,906","2,964,542"
"4113","ＬＬＰ収益","0","0","0","226,630,002","0","0","0","0","0","0","0","0"
"4114","通信売上高","113,144,877","96,663,553","159,499,086","106,547,866","110,355,585","103,668,135","95,416,349","109,263,909","84,906,032","72,470,719","114,971,182","113,781,392"
"4115","売上値引戻り高    (△)","2,194,635","1,703,602","2,426,151","2,020,439","1,999,803","1,868,936","1,895,968","2,320,098","1,972,127","1,649,223","1,917,161","2,606,533"
,"純売上高","517,148,744","427,028,432","675,051,959","737,787,592","416,828,754","569,340,995","477,456,444","506,551,751","491,860,886","500,906,150","539,057,081","629,006,089"
"5111","期首たな卸高","117,179,974","89,032,708","83,494,572","79,898,104","79,088,288","82,952,956","71,246,055","83,562,708","81,697,079","76,630,490","90,312,861","86,646,689"
"5211","商品仕入高","148,886,218","140,148,212","245,330,808","186,687,114","98,465,255","256,024,509","188,291,862","149,696,460","177,353,506","200,403,748","197,089,022","248,785,730"
"5212","通信商品仕入高","93,250,487","77,405,173","131,032,918","89,893,390","93,375,083","83,845,730","79,811,036","91,739,398","100,628,994","99,874,918","97,844,602","98,211,466"
"5215","ｺﾐｯｼｮﾝ清掃代","1,337,898","1,251,227","1,498,476","1,738,617","1,511,825","1,293,241","1,744,757","1,390,689","1,211,555","1,412,778","1,265,222","35,301"
"5216","ＬＬＰ原価","0","0","0","113,883,830","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","89,032,708","83,494,572","79,898,104","79,088,288","82,952,956","71,246,055","83,562,708","81,697,079","76,630,490","90,312,861","86,646,689","105,781,407"
,"当期売上原価","271,621,869","224,342,748","381,458,670","393,012,767","189,487,495","352,870,381","257,531,002","244,692,176","284,260,644","288,009,073","299,865,018","327,897,779"
,"売上総利益","245,526,875","202,685,684","293,593,289","344,774,825","227,341,259","216,470,614","219,925,442","261,859,575","207,600,242","212,897,077","239,192,063","301,108,310"
"6111","給与手当","40,850,002","41,214,629","45,466,554","46,273,372","45,054,216","45,072,799","46,120,596","44,814,153","42,970,170","45,243,201","46,314,309","46,115,317"
"6311","雑給","43,222,885","37,667,413","46,084,787","40,557,434","40,177,097","39,001,022","39,161,319","41,837,174","41,410,456","42,580,275","47,518,922","55,497,713"
"6112","旅費交通費","2,971,977","3,044,247","2,999,340","3,840,575","3,104,611","2,891,905","2,959,346","2,763,880","4,203,108","3,009,494","4,296,274","3,374,871"
"6113","広告宣伝費","19,921,053","18,134,191","24,231,630","18,243,351","22,737,325","19,371,231","18,084,197","19,286,413","17,791,965","20,442,401","18,593,737","21,516,615"
"6114","販売促進費","1,759,480","2,877,196","4,650,150","3,014,901","3,841,503","3,579,493","3,457,443","4,266,319","2,292,553","3,571,839","2,936,428","3,332,676"
"6115","荷造発送費","231,845","267,742","318,695","302,773","311,623","299,183","306,341","299,602","266,058","336,408","227,459","389,811"
"6116","外注費","4,026,983","1,847,514","2,215,536","3,929,201","3,815,136","3,492,445","2,834,000","5,638,086","4,949,594","5,239,055","5,841,370","7,169,002"
"6117","支払手数料","10,506,270","13,326,689","10,573,802","9,674,858","9,839,629","10,120,891","9,845,625","11,015,684","11,229,668","15,265,800","12,844,067","14,090,162"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","10,930,000","8,330,000","8,330,000","8,330,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","124,000","2,124,000","2,124,000","3,119,882","2,929,882","1,640,796","-57,764","2,929,882","2,929,882","-284,453","2,929,882","3,477,004"
"6312","法定福利費","5,609,908","10,555,302","7,183,725","6,468,359","8,065,444","9,036,428","10,697,130","7,749,778","13,843,528","7,746,117","7,785,301","9,905,026"
"6226","厚生費","2,139,761","21,942,991","12,335,758","4,152,604","2,981,192","3,698,411","9,842,695","7,274,846","5,038,799","2,783,793","8,304,569","2,689,027"
"6119","退職金","0","0","0","0","2,000,000","0","0","0","0","0","0","0"
"6214","減価償却費","13,539,406","14,608,653","13,831,589","13,831,589","13,831,589","13,831,589","13,831,589","13,831,589","22,943,952","14,929,732","14,929,732","14,929,732"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","25,099,384","25,314,399","25,436,369","25,623,542","25,298,182","25,665,005","25,323,725","25,532,876","27,302,554","31,560,686","29,043,454","28,542,970"
"6216","修繕／車両関係費","4,658,875","5,908,209","4,801,625","2,770,217","3,889,618","341,856","7,668,001","2,788,771","8,079,413","948,517","2,319,103","3,165,962"
"6217","事務用消耗品費","171,547","101,484","156,749","28,690","174,458","268,139","205,828","274,456","242,618","169,595","241,209","119,303"
"6218","通信交通費","1,230,859","816,693","407,677","813,416","1,192,734","412,132","1,174,080","360,018","3,137,651","857,190","410,402","780,418"
"6219","水道光熱費","14,189,162","13,598,506","13,835,064","12,482,867","13,010,877","11,678,717","13,102,628","13,408,181","15,955,234","14,493,460","13,196,136","12,195,005"
"6221","租税公課","224,449","233,547","952,463","150,992","4,328,936","93,424","5,045,083","921,940","11,676,308","112,100","153,317","106,091"
"6222","寄付金","29,000","0","5,000","30,000","60,500","45,000","45,000","58,000","83,000","98,000","48,000","39,000"
"6223","接待交際費","417,966","1,136,831","987,052","611,351","839,299","910,857","1,507,424","1,042,237","1,517,028","587,293","917,495","1,421,174"
"6224","保険料","1,078,302","1,076,762","1,071,942","794,702","810,072","820,532","863,812","845,602","2,083,974","1,062,182","1,040,582","939,057"
"6225","備品消耗品費","9,240,258","8,315,567","9,844,958","10,580,701","10,752,222","12,465,184","11,684,169","9,287,027","36,786,215","11,540,870","13,881,830","15,652,375"
"6227","管理諸費","6,294,651","10,802,887","7,649,813","6,963,310","6,234,738","5,785,260","6,008,581","5,283,781","8,474,749","6,123,154","8,662,403","5,565,226"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","166,500","101,500","475,400","603,300","380,500","515,180","307,500","108,500","353,000","296,800","385,200","200,300"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","480,005","0","0","0"
"6231","雑費","0","3,000","58,971","1,000","0","0","3,356","441,850","8,037","0","0","0"
,"販売費及び一般管理費計","216,734,523","244,049,952","246,728,649","223,892,987","234,691,383","220,067,479","239,051,704","231,090,645","296,979,519","237,043,509","251,151,181","259,543,837"
,"営業利益（損失）","28,792,352","-41,364,268","46,864,640","120,881,838","-7,350,124","-3,596,865","-19,126,262","30,768,930","-89,379,277","-24,146,432","-11,959,118","41,564,473"
"7111","受取利息","0","1,310","647","0","75,076","4","5","76,130","794,408","10","405,002","6"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","10,000,000","1,660","919","0","81","0","3,000,000","0"
"7118","雑収入","1,115,194","1,372,913","1,785,133","654,378","794,083","935,674","5,332,865","5,697,145","6,506,650","1,419,940","1,260,791","2,465,157"
,"営業外収益計","1,115,194","1,374,223","1,785,780","654,378","10,869,159","937,338","5,333,789","5,773,275","7,301,139","1,419,950","4,665,793","2,465,163"
"7511","支払利息","362,907","299,245","304,884","390,352","219,074","303,115","364,813","356,840","295,737","270,100","292,476","322,062"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","10,348","0","0","0"
"7513","現金過不足","-15,318","-1,192","-998","-684","4,170","-4,337","0","4,198","37,899","-933","3,366","940"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","5,598,189","0","0","0"
"7519","雑損失","0","0","0","0","1,520,000","0","0","1,630,380","0","0","0","0"
,"営業外費用計","347,589","298,053","303,886","389,668","1,743,244","298,778","364,813","1,991,418","5,942,173","269,167","295,842","323,002"
,"経常利益（損失）","29,559,957","-40,288,098","48,346,534","121,146,548","1,775,791","-2,958,305","-14,157,286","34,550,787","-88,020,311","-22,995,649","-7,589,167","43,706,634"
