"ｺｰﾄﾞ","勘定科目名"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"
"4111","売上高","4,898,485","928,367","6,773,357","6,337,015","4,851,429","6,172,015","5,969,302","3,832,194","3,567,917","3,258,490","252,208","6,521,755"
"4112","賃貸料収入","3,213,263","3,147,431","3,569,795","2,944,126","2,955,778","2,166,070","7,911,629","2,861,270","2,604,206","3,732,587","1,317,934","4,838,419"
"4113","ＬＬＰ収益","0","0","0","0","0","0","222,779,500","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,111,748","4,075,798","10,343,152","9,281,141","7,807,207","8,338,085","236,660,431","6,693,464","6,172,123","6,991,077","1,570,142","11,360,174"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","14,400","50,448","0","0","0","24,552","5,619","-10,552","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","33,222","0","86,259","30,350","13,040","36,790","29,503","34,951","64,236","45,483","32,263","43,211"
"5216","ＬＬＰ原価","0","0","0","0","0","0","104,410,770","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","47,622","50,448","86,259","30,350","13,040","61,342","104,445,892","24,399","64,236","45,483","32,263","43,211"
,"売上総利益","8,064,126","4,025,350","10,256,893","9,250,791","7,794,167","8,276,743","132,214,539","6,669,065","6,107,887","6,945,594","1,537,879","11,316,963"
"6111","給与手当","2,788,098","4,131,676","3,845,783","2,932,703","2,725,165","2,758,025","4,283,326","3,055,028","2,704,500","2,396,375","2,917,413","4,150,100"
"6311","雑給","827,823","435,942","356,987","523,806","712,472","464,046","-86,983,575","536,066","589,647","713,661","524,732","535,422"
"6112","旅費交通費","893,606","573,509","170,160","461,118","361,659","426,088","847,955","643,814","444,647","646,605","405,306","638,878"
"6113","広告宣伝費","2,174,279","513,319","404,032","716,082","534,808","572,822","1,012,935","1,047,654","449,422","656,612","785,882","1,955,654"
"6114","販売促進費","276,339","582,089","102,575","216,062","482,867","269,799","360,374","573,079","69,750","393,000","463,303","0"
"6115","荷造発送費","1,900","840","840","8,940","16,680","0","3,840","2,675","1,380","26,590","3,490","4,669"
"6116","外注費","500,000","500,000","230,000","500,000","524,945","500,000","500,000","500,000","500,000","500,000","500,000","644,000"
