"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","売上高","6,337,015","4,851,429","6,172,015","5,969,302","3,832,194","3,567,917","3,258,490","252,208","6,553,391","6,209,665","6,280,320","6,722,625"
"4112","賃貸料収入","2,944,126","2,955,778","2,166,070","7,911,629","2,861,270","2,604,206","3,732,587","1,317,934","4,841,146","3,418,301","2,700,840","2,999,081"
"4113","ＬＬＰ収益","0","0","0","222,779,500","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,281,141","7,807,207","8,338,085","236,660,431","6,693,464","6,172,123","6,991,077","1,570,142","11,394,537","9,627,966","8,981,160","9,721,706"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","24,552","5,619","-10,552","0","0","0","0","2,650","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","30,350","13,040","36,790","29,503","34,951","64,236","45,483","32,263","43,211","31,253","33,873","42,086"
"5216","ＬＬＰ原価","0","0","0","104,410,770","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","30,350","13,040","61,342","104,445,892","24,399","64,236","45,483","32,263","43,211","33,903","33,873","42,086"
,"売上総利益","9,250,791","7,794,167","8,276,743","132,214,539","6,669,065","6,107,887","6,945,594","1,537,879","11,351,326","9,594,063","8,947,287","9,679,620"
"6111","給与手当","2,932,703","2,725,165","2,758,025","4,283,326","3,055,028","2,704,500","2,396,375","2,917,413","4,150,100","3,230,021","1,658,680","3,212,556"
"6311","雑給","523,806","712,472","464,046","-86,983,575","536,066","589,647","713,661","524,732","535,422","592,918","554,516","471,365"
"6112","旅費交通費","461,118","361,659","426,088","847,955","643,814","444,647","646,605","405,306","638,878","546,841","740,276","347,807"
"6113","広告宣伝費","716,082","534,808","572,822","1,012,935","1,047,654","449,422","656,612","785,882","1,955,654","760,298","305,518","857,047"
"6114","販売促進費","216,062","482,867","269,799","360,374","573,079","69,750","393,000","463,303","0","0","0","32,073"
"6115","荷造発送費","8,940","16,680","0","3,840","2,675","1,380","26,590","3,490","4,669","3,510","0","2,425"
"6116","外注費","500,000","524,945","500,000","500,000","500,000","500,000","500,000","500,000","644,000","368,000","1,157,875","839,955"
"6117","支払手数料","313,976","419,298","494,282","704,470","546,720","3,299,627","1,453,825","1,275,222","1,159,347","791,775","4,137,983","1,142,710"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","1,664,001","1,664,001","1,664,001","-225,999","1,664,001","1,675,001","850,002","850,002","450,002","650,002","650,002","650,002"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
