"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","19,579,381","6,173,493","7,077,346","6,331,923","7,571,797","10,186,131","10,367,075","11,745,068","12,337,200","12,874,299","13,183,286","14,896,352"
"4112","賃貸料収入","5,519,107","4,093,334","3,936,333","6,357,246","4,043,563","4,814,542","4,684,515","4,884,760","4,069,424","5,609,732","5,442,424","4,085,224"
"4113","ＬＬＰ収益","212,485,969","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","237,584,457","10,266,827","11,013,679","12,689,169","11,615,360","15,000,673","15,051,590","16,629,828","16,406,624","18,484,031","18,625,710","18,981,576"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","1,620,662","1,910,450","2,182,500","2,861,500","4,041,476","6,383,190","5,009,500","5,771,500","6,557,500","6,674,300","6,790,000","6,805,675"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","35,822","28,921","26,698","50,518","22,880","28,918","26,698","28,918","24,390","29,700","26,698","36,808"
"5216","ＬＬＰ原価","106,992,013","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","108,648,497","1,939,371","2,209,198","2,912,018","4,064,356","6,412,108","5,036,198","5,800,418","6,581,890","6,704,000","6,816,698","6,842,483"
,"売上総利益","128,935,960","8,327,456","8,804,481","9,777,151","7,551,004","8,588,565","10,015,392","10,829,410","9,824,734","11,780,031","11,809,012","12,139,093"
"6111","給与手当","1,814,500","664,500","804,008","732,500","732,500","732,500","786,126","1,040,167","835,497","1,123,725","738,300","738,300"
"6311","雑給","305,963","317,965","316,164","350,210","306,467","285,723","339,638","311,340","345,894","333,569","321,918","355,795"
"6112","旅費交通費","433,938","916,562","662,545","847,247","543,052","504,852","597,808","880,753","933,079","586,323","692,305","956,314"
"6113","広告宣伝費","131,101","1,934,018","-249,618","84,019","80,708","84,019","336,747","961,292","2,947,656","101,951","543,110","2,065,837"
"6114","販売促進費","45,267","27,273","0","-25,652","0","0","0","0","15,258","0","0","0"
"6115","荷造発送費","1,065","0","845","14,295","0","0","2,978","0","0","0","6,074","0"
"6116","外注費","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","330,000","500,000","500,000","500,000"
"6117","支払手数料","342,001","1,568,370","358,636","791,822","567,730","228,729","444,430","339,691","494,608","469,552","427,284","557,949"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","20,650,002","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","151,750","101,166","101,166","258,166","101,166","101,166","101,166","101,166","101,166","101,166","101,166","101,166"
"6312","法定福利費","6,262,871","-826,966","-736,948","-829,578","2,255,510","-745,613","-683,268","-785,097","-387,829","70,533","2,818,661","-233,872"
