"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","6,173,493","7,077,346","6,331,923","7,571,797","10,186,131","10,367,075","11,745,068","12,337,200","12,874,299","13,183,286","14,896,352","19,434,529"
"4112","賃貸料収入","4,093,334","3,936,333","6,357,246","4,043,563","4,814,542","4,684,515","4,884,760","4,069,424","5,609,732","5,442,424","4,805,224","3,971,515"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","244,333,629"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","10,266,827","11,013,679","12,689,169","11,615,360","15,000,673","15,051,590","16,629,828","16,406,624","18,484,031","18,625,710","19,701,576","267,739,673"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","1,910,450","2,182,500","2,861,500","4,041,476","6,383,190","5,009,500","5,771,500","6,557,500","6,674,300","6,790,000","6,805,675","13,009,500"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","28,921","26,698","50,518","22,880","28,918","26,698","28,918","24,390","29,700","26,698","36,808","22,880"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","135,186,388"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","1,939,371","2,209,198","2,912,018","4,064,356","6,412,108","5,036,198","5,800,418","6,581,890","6,704,000","6,816,698","6,842,483","148,218,768"
,"売上総利益","8,327,456","8,804,481","9,777,151","7,551,004","8,588,565","10,015,392","10,829,410","9,824,734","11,780,031","11,809,012","12,859,093","119,520,905"
"6111","給与手当","664,500","804,008","732,500","732,500","732,500","786,126","1,040,167","835,497","1,123,725","738,300","738,300","738,300"
"6311","雑給","317,965","316,164","350,210","306,467","285,723","339,638","311,340","345,894","333,569","321,918","355,795","346,626"
"6112","旅費交通費","916,562","662,545","847,247","543,052","504,852","597,808","880,753","933,079","586,323","692,305","956,314","401,611"
"6113","広告宣伝費","1,934,018","-249,618","84,019","80,708","84,019","336,747","961,292","2,947,656","101,951","543,110","2,065,837","375,837"
"6114","販売促進費","27,273","0","-25,652","0","0","0","0","15,258","0","0","0","0"
"6115","荷造発送費","0","845","14,295","0","0","2,978","0","0","0","6,074","0","0"
"6116","外注費","500,000","500,000","500,000","500,000","500,000","500,000","500,000","330,000","500,000","500,000","500,000","510,909"
"6117","支払手数料","1,568,370","358,636","791,822","567,730","228,729","444,430","339,691","494,608","469,552","427,284","557,949","3,307,305"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","2,700,001","62,700,001"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","101,166","101,166","258,166","101,166","101,166","101,166","101,166","101,166","101,166","101,166","101,166","101,166"
"6312","法定福利費","-826,966","-736,948","-829,578","2,255,510","-745,613","-683,268","-785,097","-387,829","70,533","2,818,661","-233,872","3,875,559"
"6226","厚生費","260,287","526,759","282,856","458,060","1,215,117","3,228,469","251,702","192,200","470,496","5,426,405","-523,298","95,552"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592","5,785,592"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","-263,455","-263,455","-263,455","-263,455","-263,455","-143,455","-263,455","-263,455","-263,455","-263,455","-263,455","-453,455"
"6216","修繕／車両関係費","653,397","1,704,785","619,998","801,552","297,000","118,940","0","1,290,221","542,268","1,024,000","462,669","10,686,270"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","173,604","150,593","49,042","261,750","128,850","117,695","75,962","436,801","121,292","111,376","121,722","480,204"
"6219","水道光熱費","246,026","162,853","284,491","136,111","318,128","124,453","280,579","84,072","280,825","104,125","350,035","-2,848,670"
"6221","租税公課","0","0","10,600","115,000","112,200","292,500","745,600","3,845,800","62,684","3,835,000","0","8,132,292"
"6222","寄付金","10,000","0","15,000","5,000","0","0","10,000","0","0","0","0","0"
"6223","接待交際費","1,471,685","898,614","1,597,087","1,205,613","1,224,350","549,086","885,608","870,538","1,543,933","567,663","1,057,415","605,993"
"6224","保険料","-103,068","-245,538","-225,808","-245,538","-246,498","-246,208","-282,628","-422,768","-415,598","-415,598","-415,598","1,235,322"
"6225","備品消耗品費","72,391","57,554","361,531","458,090","41,241","22,449","439,040","589,384","82,684","1,391,255","386,950","151,725"
"6227","管理諸費","1,030,709","2,847,493","1,157,191","1,236,304","1,144,119","1,443,470","1,134,989","235,704","1,472,602","1,057,784","1,148,330","2,176,929"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","107,000","270,000","120,000","145,500","130,000","160,000","487,600","341,160","143,000","173,000","135,000","156,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","11,991","0","0","0","0","0","0","0"
"6232","本社　指導料","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-5,000,000","-4,000,000","-4,000,000","-4,000,000","-4,000,000","-4,000,000"
,"販売費及び一般管理費計","12,347,057","11,352,049","10,217,155","12,886,713","9,290,012","11,578,617","10,599,902","17,300,579","11,813,143","23,645,966","11,986,852","94,561,068"
,"営業利益（損失）","-4,019,601","-2,547,568","-440,004","-5,335,709","-701,447","-1,563,225","229,508","-7,475,845","-33,112","-11,836,954","872,241","24,959,837"
"7111","受取利息","4,191","4,167","4,330","4,167","1,447","6,287","64","33","17","144","1,977","5,352"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","10,000,000","593","20,000,000","0","0","0","0","1,800","0","0","107"
"7118","雑収入","227,569","139,156","138,379","139,408","136,823","140,545","135,265","928,225","112,091,680","178,504","319,537","4,393,476"
,"営業外収益計","231,760","10,143,323","143,302","20,143,575","138,270","146,832","135,329","928,258","112,093,497","178,648","321,514","4,398,935"
"7511","支払利息","329,018","952,869","429,947","1,053,154","907,180","945,063","975,281","1,095,006","553,645","896,861","921,103","810,209"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","-20,000","0","0","0","-3","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","329,018","952,869","429,947","1,033,154","907,180","945,063","975,281","1,095,003","553,645","896,861","921,103","810,209"
,"経常利益（損失）","-4,116,859","6,642,886","-726,649","13,774,712","-1,470,357","-2,361,456","-610,444","-7,642,590","111,506,740","-12,555,167","272,652","28,548,563"
