ｺｰﾄﾞ,勘定科目名,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,30年 12月累計
4111,売上高,"6,562,618","7,648,994","14,802,413","18,319,671","13,929,708","11,438,550","14,555,100","15,472,016","10,585,872","13,767,938","14,605,153","6,072,745","34,445,836"
4112,賃貸料収入,"2,110,455","2,110,455","1,345,825","3,250,619","3,254,648","4,060,226","2,847,280","3,117,808","13,789,782","2,668,980","1,633,873","4,721,351","9,024,204"
4113,ＬＬＰ収益,0,0,0,0,0,"232,691,852",0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"8,673,073","9,759,449","16,148,238","21,570,290","17,184,356","248,190,628","17,402,380","18,589,824","24,375,654","16,436,918","16,239,026","10,794,096","43,470,040"
5111,期首たな卸高,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,0,0,"317,559","-317,559","549,800",0,0,0,0,0,0,0,0
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,"1,330,835","1,511,988","2,741,606","3,470,241","3,569,048","1,985,061","2,944,108","3,271,098","3,898,503","2,984,917","3,743,852","1,386,892","8,115,661"
5216,ＬＬＰ原価,0,0,0,0,0,"127,560,808",0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,当期売上原価,"1,330,835","1,511,988","3,059,165","3,152,682","4,118,848","129,545,869","2,944,108","3,271,098","3,898,503","2,984,917","3,743,852","1,386,892","8,115,661"
,売上総利益,"7,342,238","8,247,461","13,089,073","18,417,608","13,065,508","118,644,759","14,458,272","15,318,726","20,477,151","13,452,001","12,495,174","9,407,204","35,354,379"
6111,給与手当,"3,062,800","3,317,392","5,786,593","4,616,060","2,558,689","2,600,605","2,137,185","2,625,864","2,110,760","1,556,610","1,608,870","1,169,884","4,335,364"
6311,雑給,0,0,0,0,"3,918,118",0,0,0,"-1,003,691",0,0,189,189
6112,旅費交通費,"416,063","1,154,403","472,794","861,176","519,986","1,204,016","561,548","740,313","360,956","566,482","782,592","719,834","2,068,908"
6113,広告宣伝費,0,"290,000","19,906","81,296","624,026","16,009","20,014","70,370","504,528","1,007,012","785,375","1,217,000","3,009,387"
6114,販売促進費,"4,630",0,0,0,0,0,0,"904,367","297,812","565,739","961,638","371,915","1,899,292"
6115,荷造発送費,"1,180","1,590","2,650","5,239",0,"2,350","22,672","2,980","3,490","1,290",0,"23,072","24,362"
6116,外注費,0,0,0,"73,852",0,0,"530,000","530,000","530,000",0,"500,000",0,"500,000"
6117,支払手数料,"1,231,547","598,678","697,944","3,124,021","796,503","1,341,572","747,777","1,583,547","1,541,224","1,277,958","1,456,556","760,919","3,495,433"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,"9,030,000","9,130,000","8,330,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","27,090,000"
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,0,"702,400",0,0,0,"2,000,000","2,000,000","-1,805,000","2,195,000"
6312,法定福利費,"-460,918","1,185,238","628,473","660,405","1,076,001","406,840","4,286,462","-2,882,604","4,837,561","-223,855","3,929,574","119,941","3,825,660"
6226,厚生費,"217,951","16,076,948","8,998,351","3,230,330","-561,601","5,178,864","-26,611","-1,188,145","-213,522","2,801,645","-1,189,152","1,772,588","3,385,081"
6119,退職金,0,"4,000,000",0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"4,758,938","4,758,938","4,758,938","4,758,938","4,758,938","4,758,938","4,758,938","4,758,938","14,102,221","5,320,074","5,320,074","5,320,074","15,960,222"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"2,425,926","5,006,099","4,444,814","4,324,814","4,324,814","4,294,814","4,294,814","4,222,592","3,940,092","4,222,592","3,986,110","2,162,592","10,371,294"
6216,修繕／車両関係費,"138,600","91,140","255,222",0,"3,704","760,741","159,441","407,728","1,645,628","809,850","1,904,630","2,594,574","5,309,054"
6217,事務用消耗品費,0,"19,109","48,955",0,"47,451","30,961","66,852",0,0,0,"93,547",0,"93,547"
6218,通信交通費,"294,505","252,553","138,620","225,491","274,097","237,061","323,672","242,963","219,492","359,756","231,183","122,496","713,435"
6219,水道光熱費,"645,407","590,148","776,303","576,692","649,101","638,471","611,597","701,826","5,096,856","935,731","521,802","820,091","2,277,624"
6221,租税公課,"42,000","8,000","65,900","7,796,100","4,162,400","1,996,947","4,221,000","414,000","12,034,200","281,000","250,335","780,500","1,311,835"
6222,寄付金,"9,000","50,000",0,"63,000","49,000","10,000","1,000,000",0,0,0,0,"9,000","9,000"
6223,接待交際費,"864,575","786,972","581,414","1,707,746","648,615","1,021,867","1,228,446","871,167","1,453,586","3,670,620","1,803,540","1,164,402","6,638,562"
6224,保険料,"360,262","143,332","294,782","184,182","258,252","263,252","288,252","277,492","1,240,794","363,298","190,812","213,674","767,784"
6225,備品消耗品費,"8,210,255","355,467","-3,305,840","146,853","6,516,771","1,039,139","238,558","146,492","7,731,899","467,351","271,180","339,388","1,077,919"
6227,管理諸費,"1,858,040","1,613,052","2,634,124","1,776,392","4,895,094","8,125,519","1,684,599","3,181,154","5,762,387","2,272,286","2,861,744","1,630,460","6,764,490"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,"99,000","142,900","87,000","668,680","436,000","135,000","302,568","279,900","68,000","247,000","100,000","86,000","433,000"
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,"754,197",0,0,0,0
6231,雑費,0,0,0,"220,000",0,"220,000","860,000","660,600","78,407",0,0,0,0
,販売費及び一般管理費計,"33,209,761","49,571,959","35,716,943","44,131,267","44,985,959","44,015,366","37,347,784","27,581,544","72,126,877","37,532,439","37,400,410","28,623,593","103,556,442"
