"ｺｰﾄﾞ","勘定科目名","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月","31年  2月"
"4111","売上高","16,939,691","19,436,764","15,248,097","12,805,527","15,858,674","16,672,201","12,089,066","15,234,846","15,956,079","8,438,578","8,128,621","8,207,197"
"4112","賃貸料収入","1,345,825","3,250,619","3,254,648","4,060,226","2,847,280","3,117,808","13,789,782","2,668,980","1,633,873","4,721,351","3,739,199","2,492,225"
"4113","ＬＬＰ収益","0","0","0","232,691,852","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","18,285,516","22,687,383","18,502,745","249,557,605","18,705,954","19,790,009","25,878,848","17,903,826","17,589,952","13,159,929","11,867,820","10,699,422"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","317,559","-317,559","597,710","0","47,647","23,244","23,690","67,899","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","2,741,606","3,470,241","3,569,048","1,985,061","2,944,108","3,271,098","3,898,503","2,984,917","3,743,852","1,386,892","1,337,898","1,251,227"
"5216","ＬＬＰ原価","0","0","0","127,560,808","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","3,059,165","3,152,682","4,166,758","129,545,869","2,991,755","3,294,342","3,922,193","3,052,816","3,743,852","1,386,892","1,337,898","1,251,227"
,"売上総利益","15,226,351","19,534,701","14,335,987","120,011,736","15,714,199","16,495,667","21,956,655","14,851,010","13,846,100","11,773,037","10,529,922","9,448,195"
"6111","給与手当","8,561,478","6,777,120","4,670,831","4,885,650","4,533,825","4,807,244","4,540,099","4,011,806","4,103,823","4,320,176","3,939,635","3,665,426"
"6311","雑給","-563,000","0","3,918,118","0","0","0","-1,003,691","0","0","189","4,363","0"
"6112","旅費交通費","737,428","1,331,436","777,359","1,480,216","932,084","1,152,192","692,831","913,125","1,109,206","987,668","666,177","925,431"
"6113","広告宣伝費","2,795,216","1,570,608","1,962,764","3,566,296","877,968","1,228,842","3,708,769","3,554,831","1,482,889","1,562,050","3,064,907","684,038"
"6114","販売促進費","318,247","512,015","343,371","985,424","341,458","904,367","297,812","565,739","961,638","371,915","9,113","421,212"
"6115","荷造発送費","2,650","5,239","0","2,350","22,672","2,980","3,490","1,290","2,130","23,072","3,079","2,650"
"6116","外注費","88,204","73,852","75,519","81,537","611,537","551,537","551,537","138,056","531,556","32,000","1,096,056","545,815"
"6117","支払手数料","719,178","3,139,829","812,820","1,365,486","770,416","1,603,789","1,562,604","1,309,592","1,491,920","784,772","820,671","4,862,225"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","8,330,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000","9,030,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","1,302,400","800,000","0","0","2,000,000","2,000,000","-1,163,750","-1,615,000","385,000"
"6312","法定福利費","796,234","828,166","1,274,639","692,121","4,620,221","-2,667,405","5,176,934","32,526","4,185,955","564,466","-1,269,068","3,663,022"
"6226","厚生費","9,036,950","3,230,330","-371,497","5,178,864","352,128","-563,769","214,943","2,823,443","-1,142,817","1,775,366","-657,438","19,338,190"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","4,758,938","4,758,938","4,758,938","4,758,938","4,758,938","4,758,938","14,102,221","5,320,074","5,320,074","5,320,074","5,320,074","5,320,074"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","4,444,814","4,324,814","4,324,814","4,294,814","4,294,814","4,222,592","3,940,092","4,222,592","4,078,703","2,162,592","2,162,592","2,162,592"
"6216","修繕／車両関係費","594,584","-249,852","277,266","826,539","15,718","560,261","1,666,461","1,213,414","2,452,593","3,015,894","1,594,508","1,068,278"
"6217","事務用消耗品費","48,955","0","47,451","30,961","66,852","0","0","0","93,547","0","0","0"
"6218","通信交通費","165,729","245,995","297,419","257,481","351,048","264,384","239,061","380,171","266,556","157,264","383,696","252,518"
"6219","水道光熱費","776,303","576,692","649,101","638,471","611,597","701,826","5,096,856","935,731","522,772","820,091","694,124","644,223"
"6221","租税公課","97,971","7,816,149","4,307,953","1,996,947","4,247,365","443,010","12,045,713","342,834","346,935","802,326","123,416","165,680"
"6222","寄付金","10,000","63,000","49,000","30,000","1,000,000","0","0","0","0","9,000","0","0"
"6223","接待交際費","581,414","1,707,746","661,617","1,027,706","1,228,446","871,167","1,453,586","3,670,620","1,803,540","1,169,032","386,966","1,114,137"
"6224","保険料","345,732","184,182","273,622","263,252","313,322","302,562","1,240,794","412,338","262,842","238,744","220,472","250,162"
"6225","備品消耗品費","-3,329,884","146,853","6,557,225","1,056,978","260,986","163,042","7,737,126","499,895","271,180","477,402","488,787","479,464"
"6227","管理諸費","2,768,937","1,776,392","4,895,094","8,136,899","1,742,211","3,181,154","5,777,084","2,289,393","2,912,744","1,630,460","2,004,555","6,795,040"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","92,000","668,680","436,000","135,000","302,568","279,900","68,000","247,000","100,000","86,000","82,000","60,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","754,197","0","0","0","0","0"
"6231","雑費","0","220,000","0","220,000","860,000","660,600","78,407","0","0","0","0","0"
,"販売費及び一般管理費計","42,178,078","48,738,184","50,029,424","52,244,330","42,946,174","32,459,213","78,974,926","43,914,470","42,187,786","34,176,803","28,553,685","61,835,177"
,"営業利益（損失）","-26,951,727","-29,203,483","-35,693,437","67,767,406","-27,231,975","-15,963,546","-57,018,271","-29,063,460","-28,341,686","-22,403,766","-18,023,763","-52,386,982"
"7111","受取利息","190","0","409,500","0","0","405,833","630,990","0","405,000","0","0","1,310"
"7112","為替差益","0","0","0","0","0","0","1,797,981","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","1,389","1,238","0","0","0","7,000,000","1,238","0","0"
"7118","雑収入","6,016,052","16,961","184,643","188,961","3,614,049","478,396","9,135,985","2,708,775","391,958","253,952","462,101","1,008,146"
,"営業外収益計","6,016,242","16,961","594,143","190,350","3,615,287","884,229","11,564,956","2,708,775","7,796,958","255,190","462,101","1,009,456"
"7511","支払利息","180,036","198,289","371,077","307,554","266,991","414,640","77,998","237,371","113,339","574,266","362,907","236,341"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","-53,599","0","-21,744","0","-2,532","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","300,000","0","0","0","0","0"
"7519","雑損失","0","0","800,000","0","0","0","0","300,000","0","0","0","0"
,"営業外費用計","180,036","198,289","1,171,077","307,554","266,991","414,640","324,399","537,371","91,595","574,266","360,375","236,341"
,"経常利益（損失）","-21,115,521","-29,384,811","-36,270,371","67,650,202","-23,883,679","-15,493,957","-45,777,714","-26,892,056","-20,636,323","-22,722,842","-17,922,037","-51,613,867"
