"ｺｰﾄﾞ","勘定科目名"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"
"4111","売上高","3,298,409","4,309,864","4,957,400","4,519,497","4,116,540","4,548,118","3,208,893","3,016,685","4,429,633","5,125,182","5,884,068","4,314,426"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,298,409","4,309,864","4,957,400","4,519,497","4,116,540","4,548,118","3,208,893","3,016,685","4,429,633","5,125,182","5,884,068","4,314,426"
"5111","期首棚卸高","243,660","272,405","231,454","253,886","146,175","192,037","253,239","171,789","196,589","179,695","155,465","242,502"
"5211","商品仕入高","1,326,498","1,639,257","1,963,057","241,890","2,992,147","1,785,502","1,137,638","1,119,814","1,735,504","2,003,758","2,233,765","1,483,459"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","272,405","231,454","253,886","146,175","192,037","253,239","171,789","196,589","179,695","155,465","242,502","132,531"
,"当期売上原価","1,297,753","1,680,208","1,940,625","349,601","2,946,285","1,724,300","1,219,088","1,095,014","1,752,398","2,027,988","2,146,728","1,593,430"
,"売上総利益","2,000,656","2,629,656","3,016,775","4,169,896","1,170,255","2,823,818","1,989,805","1,921,671","2,677,235","3,097,194","3,737,340","2,720,996"
"6111","給与手当","692,500","692,500","932,500","962,500","932,500","952,500","952,500","949,318","956,000","959,000","959,000","960,941"
