"ｺｰﾄﾞ","勘定科目名"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"
"4111","売上高","3,016,685","4,429,633","5,125,182","5,884,068","4,314,426","2,754,995","4,518,414","5,272,213","5,555,169","4,912,360","5,043,031","5,148,801"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,016,685","4,429,633","5,125,182","5,884,068","4,314,426","2,754,995","4,518,414","5,272,213","5,555,169","4,912,360","5,043,031","5,148,801"
"5111","期首棚卸高","171,789","196,589","179,695","155,465","242,502","132,531","136,414","268,384","304,503","237,673","187,019","220,954"
"5211","商品仕入高","1,119,814","1,735,504","2,003,758","2,233,765","1,504,818","1,044,301","1,883,681","2,129,833","2,080,002","1,811,537","1,937,058","1,899,702"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","196,589","179,695","155,465","242,502","132,531","136,414","268,384","304,503","237,673","187,019","220,954","188,942"
,"当期売上原価","1,095,014","1,752,398","2,027,988","2,146,728","1,614,789","1,040,418","1,751,711","2,093,714","2,146,832","1,862,191","1,903,123","1,931,714"
,"売上総利益","1,921,671","2,677,235","3,097,194","3,737,340","2,699,637","1,714,577","2,766,703","3,178,499","3,408,337","3,050,169","3,139,908","3,217,087"
"6111","給与手当","949,318","956,000","959,000","959,000","960,941","1,085,232","965,989","1,064,040","951,040","1,006,040","951,040","1,447,154"
"6311","雑給","370,997","312,030","395,741","385,422","366,118","304,488","496,793","362,332","367,742","390,008","398,375","379,861"
"6112","旅費交通費","24,673","50,054","59,190","61,002","228,172","69,238","62,700","59,434","61,196","61,477","50,863","48,277"
"6113","広告宣伝費","3,964","6,207","55,000","10,000","52,836","21,545","105,000","5,000","5,000","5,000","5,000","5,000"
"6114","販売促進費","33,508","32,521","30,225","28,374","9,409","17,320","8,337","19,472","19,490","11,089","18,255","18,206"
"6115","荷造発送費","207,920","199,415","207,920","210,032","200,370","187,344","199,415","193,051","207,278","195,566","199,415","190,909"
"6116","外注費","0","18,182","0","0","0","0","0","0","0","0","0","28,575"
"6117","支払手数料","23,500","25,854","24,227","25,318","31,263","28,209","28,377","46,847","28,400","39,238","37,025","71,947"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","50,000","0","0","0","0","166,000","81,250","81,250","81,250"
"6312","法定福利費","128,371","130,973","130,973","138,578","167,399","167,399","164,005","164,347","177,968","180,477","163,529","199,994"
"6226","厚生費","0","0","6,000","5,000","56,078","5,000","91,000","70,050","63,856","39,155","61,575","-1,865"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","77,903","48,094","48,094","48,094","48,094","48,094","48,094","48,094","48,094","48,094","48,094","48,094"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060"
