"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","6,370,758","6,027,176","7,145,279","6,319,940","5,705,433","6,938,866","5,961,521","5,746,297","5,392,088","5,593,397","5,710,975","5,558,331"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,370,758","6,027,176","7,145,279","6,319,940","5,705,433","6,938,866","5,961,521","5,746,297","5,392,088","5,593,397","5,710,975","5,558,331"
"5111","期首棚卸高","201,194","178,601","216,584","349,994","121,313","130,255","213,975","228,133","167,004","329,974","334,237","297,028"
"5211","商品仕入高","2,302,434","2,316,977","2,753,718","2,222,209","2,022,153","2,556,673","2,155,758","2,070,097","2,231,316","1,981,567","2,196,448","2,093,840"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","178,601","216,584","349,994","121,313","130,255","213,975","228,133","167,004","329,974","334,237","297,028","258,030"
,"当期売上原価","2,325,027","2,278,994","2,620,308","2,450,890","2,013,211","2,472,953","2,141,600","2,131,226","2,068,346","1,977,304","2,233,657","2,132,838"
,"売上総利益","4,045,731","3,748,182","4,524,971","3,869,050","3,692,222","4,465,913","3,819,921","3,615,071","3,323,742","3,616,093","3,477,318","3,425,493"
"6111","給与手当","998,968","998,968","1,090,120","929,000","929,000","969,000","696,000","697,800","752,800","722,800","697,800","697,800"
"6311","雑給","461,676","342,688","416,296","342,971","409,453","412,760","506,280","459,764","583,701","505,044","471,139","545,038"
"6112","旅費交通費","60,018","47,709","50,335","46,455","48,148","60,325","48,666","52,744","58,284","54,335","56,213","56,419"
"6113","広告宣伝費","3,433","4,553","6,673","533","2,847","45,000","0","4,551","7,172","4,643","0","5,000"
"6114","販売促進費","9,658","17,886","5,591","9,695","5,591","5,591","5,591","5,591","30,842","21,394","8,386","0"
"6115","荷造発送費","184,545","190,909","197,273","0","178,182","279,091","217,273","165,455","165,455","166,482","169,135","165,455"
"6116","外注費","22,387","12,333","14,346","62,846","31,185","43,600","61,835","57,847","4,584","0","0","0"
"6117","支払手数料","59,469","27,732","37,069","26,053","21,997","41,702","74,419","22,226","49,015","35,835","73,571","71,864"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","54,176","54,176","-146,824","54,176","54,176","54,176","54,176","54,176","54,176","54,176","54,176","54,176"
"6312","法定福利費","161,397","161,397","176,242","161,397","161,397","161,397","125,256","125,256","200,632","125,256","125,256","131,048"
"6226","厚生費","35,650","36,878","30,384","142,384","197,984","32,688","181,733","71,642","120,168","9,601","119,733","156,233"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","48,062","48,062","48,062","48,062","48,062","48,062","48,062","48,062","48,062","48,062","48,062","78,456"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060","673,060"
"6216","修繕／車両関係費","0","0","0","0","140,000","0","0","0","0","0","0","0"
