"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","売上高","0","0","0","0","0","0","0","0","0","4,973,971","5,206,144","5,076,291"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","4,973,971","5,206,144","5,076,291"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","258,030","253,717","285,700"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","253,717","285,700","372,909"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","1,900,135","1,909,738","1,928,943"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","1,904,448","1,877,755","1,841,734"
,"売上総利益","0","0","0","0","0","0","0","0","0","3,069,523","3,328,389","3,234,557"
"6111","給与手当","0","0","0","0","0","0","0","0","0","422,300","423,300","423,300"
"6311","雑給","0","0","0","0","0","0","0","0","0","592,520","478,339","579,699"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","56,300","64,765","58,240"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","14,367","1,818","0"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","16,772","0","13,604"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","152,727","171,818","165,455"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","3,500","0"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","41,769","32,387","44,426"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","54,176","54,176","200,900"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","108,718","108,718","162,932"
"6226","厚生費","0","0","0","0","0","0","0","0","0","219,733","183,468","10,324"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","56,299","56,299","56,299"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","673,060","673,060","673,060"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","72,000","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","397","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","16,313","8,241","791"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","251,874","251,375","178,052"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","28,637"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","50,000","25,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","146,482","57,701","207,560"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","64,473","64,473","64,473"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","41,000","0","20,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","2,928,883","2,755,835","2,913,252"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","140,640","572,554","321,305"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","140,640","572,554","321,305"
