"ｺｰﾄﾞ","勘定科目名"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"
"4111","売上高","5,654,676","5,494,722","5,015,059","5,065,259","4,707,231","5,099,603","5,249,681","5,788,167","4,954,630","4,937,512","4,923,901","5,209,798"
"4112","会員券売上高","236,548","204,818","470,363","226,368","165,638","228,090","157,363","215,094","130,274","210,459","282,274","286,914"
"4113","ゴルフ用品・雑貨売上高","57,767","65,648","51,162","42,979","54,579","60,052","73,924","68,493","47,266","68,877","48,558","49,614"
"4114","手数料収入","109,016","195,044","159,620","165,432","155,184","203,520","172,321","301,663","204,897","209,681","267,437","285,813"
"4115","ポイント値引・入会金返金(△)","964,032","851,456","822,640","784,015","683,411","800,170","778,797","891,049","704,915","761,867","820,968","783,308"
,"純売上高","5,093,975","5,108,776","4,873,564","4,716,023","4,399,221","4,791,095","4,874,492","5,482,368","4,632,152","4,664,662","4,701,202","5,048,831"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","49,641","9,506","79,866","10,848","102,331","382","1,909","1,145","71,028","121,779","66,655","7,192"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","49,641","9,506","79,866","10,848","102,331","382","1,909","1,145","71,028","121,779","66,655","7,192"
,"売上総利益","5,044,334","5,099,270","4,793,698","4,705,175","4,296,890","4,790,713","4,872,583","5,481,223","4,561,124","4,542,883","4,634,547","5,041,639"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","623,390","556,376","608,857","680,076","585,553","642,206","610,880","679,554","601,634","645,686","670,828","640,421"
"6112","旅費交通費","30,903","40,337","30,450","30,605","26,807","39,991","38,118","30,822","28,693","30,056","31,462","30,276"
"6113","広告宣伝費","186,536","175,400","214,855","166,127","151,400","301,445","364,400","237,445","173,100","296,400","367,473","604,700"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","266,135","252,737","271,934","194,522","192,656","273,745","263,642","241,190","201,792","222,556","287,402","222,903"
"6116","コンペ参加諸費","13,622","37,849","33,205","17,782","17,323","38,254","29,063","10,636","40,042","17,882","13,171","59,882"
"6117","プレイ器具費","46,850","111,000","37,281","75,960","13,991","0","43,364","34,200","278,250","218,054","10,855","3,910"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","283,500","283,500","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","952,114","902,537","921,364","912,773","863,691","949,227","898,614","1,073,450","932,905","1,136,214","1,049,882","1,148,046"
"6213","従業員賞与","89,000","79,280","89,000","89,000","89,000","89,000","89,000","89,000","-274,759","89,000","89,000","89,000"
"6312","法定福利費","169,079","184,973","21,374","135,711","135,873","135,944","135,390","135,389","112,701","343,222","162,701","144,835"
"6226","厚生費","4,310","16,573","50,332","7,359","3,680","21,774","3,680","3,680","3,680","3,680","3,680","62,916"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000","370,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","5,455","5,455","5,455","5,455","5,455","5,455","5,455","867,438","5,455","5,455","5,455","5,455"
"6216","修繕費","45,730","74,000","169,960","172,730","124,000","611,665","3,230","224,380","183,182","630,195","86,440","56,424"
"6217","事務用消耗品費","40,272","19,132","22,381","33,626","13,303","18,855","1,743","10,608","58,149","19,990","19,745","22,766"
"6218","通信交通費","24,803","12,656","20,122","23,357","26,197","23,328","35,708","24,181","23,329","29,395","23,333","23,472"
"6219","水道光熱費","129,507","168,447","136,548","241,851","269,587","344,319","264,662","224,916","150,339","182,542","145,261","212,978"
"6221","租税公課","3,000","0","117,600","0","114,000","17,800","9,020","145,400","0","0","170,000","0"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","1,900","10,000","0","0","0","6,363"
"6224","保険料","60,700","32,910","0","44,310","0","10,005","0","0","0","0","0","140,280"
"6225","備品消耗品費","42,822","8,521","75,314","51,055","60,795","63,439","21,023","18,009","78,532","217,853","50,897","40,834"
"6227","管理諸費","74,300","499,800","333,477","102,800","144,510","45,900","45,900","95,900","45,900","45,900","45,900","85,900"
"6228","寄附金","4,545","0","0","5,455","0","10,000","1,000","0","0","5,000","0","20,000"
"6229","その他の一般管理費","0","33,000","0","33,000","16,500","16,500","0","33,000","16,500","0","33,000","16,500"
