"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","売上高","5,015,059","5,065,259","4,707,231","5,099,603","5,249,681","5,788,167","4,954,630","4,937,512","4,923,901","5,209,798","5,844,989","5,389,272"
"4112","会員券売上高","470,363","226,368","165,638","228,090","157,363","215,094","130,274","210,459","282,274","286,914","504,454","281,277"
"4113","ゴルフ用品・雑貨売上高","51,162","42,979","54,579","60,052","73,924","68,493","47,266","68,877","48,558","49,614","65,642","75,870"
"4114","手数料収入","159,620","165,432","155,184","203,520","172,321","301,663","204,897","209,681","267,437","292,942","368,236","240,514"
"4115","ポイント値引・入会金返金(△)","822,640","784,015","683,411","800,170","778,797","891,049","704,915","761,867","820,968","783,308","865,987","863,365"
,"純売上高","4,873,564","4,716,023","4,399,221","4,791,095","4,874,492","5,482,368","4,632,152","4,664,662","4,701,202","5,055,960","5,917,334","5,123,568"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","368,101","0","0"
"5211","商品仕入高","79,866","10,848","102,331","382","1,909","1,145","71,028","121,779","66,655","7,192","1,909","205,908"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","326,207","0","0"
,"当期売上原価","79,866","10,848","102,331","382","1,909","1,145","71,028","121,779","66,655","49,086","1,909","205,908"
,"売上総利益","4,793,698","4,705,175","4,296,890","4,790,713","4,872,583","5,481,223","4,561,124","4,542,883","4,634,547","5,006,874","5,915,425","4,917,660"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","608,857","680,076","585,553","642,206","610,880","679,554","601,634","645,686","670,828","640,421","715,306","653,540"
"6112","旅費交通費","30,450","30,605","26,807","39,991","38,118","30,822","28,693","30,056","31,462","30,276","29,645","30,043"
"6113","広告宣伝費","214,855","166,127","151,400","301,445","364,400","237,445","173,100","296,400","367,473","604,700","433,270","190,400"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","271,934","194,522","192,656","273,745","263,642","241,190","201,792","222,556","287,402","222,903","232,572","372,602"
"6116","コンペ参加諸費","33,205","17,782","17,323","38,254","29,063","10,636","40,042","17,882","13,171","59,882","6,959","32,827"
"6117","プレイ器具費","37,281","75,960","13,991","0","43,364","34,200","278,250","218,054","10,855","3,910","50,209","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
