"ｺｰﾄﾞ","勘定科目名"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"
"4111","売上高","5,249,681","5,788,167","4,954,630","4,937,512","4,923,901","5,209,798","5,844,989","5,389,272","4,384,841","4,862,031","4,592,622","4,913,169"
"4112","会員券売上高","157,363","215,094","130,274","210,459","282,274","286,914","504,454","281,277","294,459","220,637","251,547","208,639"
"4113","ゴルフ用品・雑貨売上高","73,924","68,493","47,266","68,877","48,558","49,614","65,642","75,870","63,869","47,062","56,188","58,779"
"4114","手数料収入","172,321","301,663","204,897","209,681","267,437","292,942","368,236","240,514","191,133","186,368","166,488","190,674"
"4115","ポイント値引・入会金返金(△)","778,797","891,049","704,915","761,867","820,968","783,308","865,987","863,365","718,385","743,361","759,149","734,087"
,"純売上高","4,874,492","5,482,368","4,632,152","4,664,662","4,701,202","5,055,960","5,917,334","5,123,568","4,215,917","4,572,737","4,307,696","4,637,174"
"5111","期首棚卸高","0","0","0","0","0","368,101","0","0","0","0","0","0"
"5211","商品仕入高","1,909","1,145","71,028","121,779","66,655","7,192","1,909","205,908","64,563","6,321","1,527","27,960"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","326,207","0","0","0","0","0","0"
,"当期売上原価","1,909","1,145","71,028","121,779","66,655","49,086","1,909","205,908","64,563","6,321","1,527","27,960"
,"売上総利益","4,872,583","5,481,223","4,561,124","4,542,883","4,634,547","5,006,874","5,915,425","4,917,660","4,151,354","4,566,416","4,306,169","4,609,214"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","610,880","679,554","601,634","645,686","670,828","640,421","715,306","653,540","682,118","704,884","659,817","689,026"
"6112","旅費交通費","38,118","30,822","28,693","30,056","31,462","30,276","29,645","30,043","25,539","26,654","22,865","26,901"
"6113","広告宣伝費","364,400","237,445","173,100","296,400","367,473","604,700","433,270","190,400","206,525","195,025","217,025","465,070"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","263,642","241,190","201,792","222,556","287,402","222,903","232,572","372,602","252,241","197,594","445,546","186,146"
"6116","コンペ参加諸費","29,063","10,636","40,042","17,882","13,171","59,882","6,959","32,827","17,882","11,638","40,565","24,292"
"6117","プレイ器具費","43,364","34,200","278,250","218,054","10,855","3,910","50,209","0","1,810,000","0","56,170","35,432"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","315,000","285,000","285,000","285,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","898,614","1,073,450","932,905","1,136,214","1,049,882","1,148,046","1,220,823","1,038,441","929,569","1,036,247","1,048,352","1,120,411"
"6213","従業員賞与","89,000","89,000","-274,759","89,000","89,000","89,000","89,000","-192,794","89,000","89,000","89,000","89,000"
"6312","法定福利費","135,390","135,389","112,701","343,222","162,701","176,729","199,682","199,506","174,550","199,944","199,943","198,960"
"6226","厚生費","3,680","3,680","3,680","3,680","3,680","62,916","3,680","7,498","31,741","3,680","3,680","28,920"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","370,000","370,000","370,000","370,000","370,000","360,930","351,000","351,000","351,000","412,000","412,000","412,000"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","5,455","867,438","5,455","5,455","5,455","66,636","5,455","5,455","5,455","5,455","5,455","5,455"
"6216","修繕費","3,230","224,380","183,182","630,195","86,440","63,646","73,775","30,560","80,570","30,000","49,600","0"
"6217","事務用消耗品費","1,743","10,608","58,149","19,990","19,745","22,766","31,761","27,900","20,729","11,414","22,855","26,613"
"6218","通信交通費","35,708","24,181","23,329","29,395","23,333","32,708","35,696","23,317","29,618","36,812","24,661","28,934"
"6219","水道光熱費","264,662","224,916","150,339","182,542","145,261","251,996","169,544","235,710","251,147","372,821","468,551","448,543"
"6221","租税公課","9,020","145,400","0","0","170,000","56,000","0","54,350","148,000","6,050","171,450","0"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","1,900","10,000","0","0","0","6,363","0","0","6,000","0","46,827","37,780"
"6224","保険料","0","0","0","0","0","140,720","347,350","34,360","0","44,310","97,440","0"
"6225","備品消耗品費","21,023","18,009","78,532","217,853","50,897","40,834","22,912","41,118","24,910","34,813","3,509","9,794"
"6227","管理諸費","45,900","95,900","45,900","45,900","45,900","85,900","45,900","367,060","45,900","85,900","156,760","45,900"
"6228","寄附金","1,000","0","0","5,000","0","20,000","0","0","18,182","5,000","1,818","0"
"6229","その他の一般管理費","0","33,000","16,500","0","33,000","16,500","16,500","16,500","0","33,000","16,500","16,500"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","78,370","98,254","59,151","67,401","51,712","66,528","54,188","54,037","82,023","152,437","149,332","155,974"
,"販売費及び一般管理費計","3,629,162","4,972,452","3,403,575","4,891,481","4,003,197","4,585,310","4,450,227","3,888,430","5,597,699","3,979,678","4,694,721","4,336,651"
,"営業利益（損失）","1,243,421","508,771","1,157,549","-348,598","631,350","421,564","1,465,198","1,029,230","-1,446,345","586,738","-388,552","272,563"
"7111","受取利息","0","0","0","0","0","168","0","0","0","0","0","88"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","228,947","0","0","0","22","0","0","0","27,273","0","0"
,"営業外収益計","0","228,947","0","0","0","190","0","0","0","27,273","0","88"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","2,830","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","2,830","0","0","0","0","0","0"
,"経常利益（損失）","1,243,421","737,718","1,157,549","-348,598","631,350","418,924","1,465,198","1,029,230","-1,446,345","614,011","-388,552","272,651"
