"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","4,937,512","4,923,901","5,209,798","5,844,989","5,389,272","4,384,841","4,862,031","4,592,622","4,913,169","5,275,418","5,229,934","4,499,091"
"4112","会員券売上高","210,459","282,274","286,914","504,454","281,277","294,459","220,637","251,547","208,639","137,821","227,727","174,912"
"4113","ゴルフ用品・雑貨売上高","68,877","48,558","49,614","65,642","75,870","63,869","47,062","56,188","58,779","32,542","52,280","65,335"
"4114","手数料収入","209,681","267,437","292,942","368,236","240,514","191,133","186,368","166,488","190,674","173,024","398,969","186,996"
"4115","ポイント値引・入会金返金(△)","761,867","820,968","783,308","865,987","863,365","718,385","743,361","759,149","734,087","805,616","805,788","648,470"
,"純売上高","4,664,662","4,701,202","5,055,960","5,917,334","5,123,568","4,215,917","4,572,737","4,307,696","4,637,174","4,813,189","5,103,122","4,277,864"
"5111","期首棚卸高","0","0","368,101","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","121,779","66,655","7,192","1,909","205,908","64,563","6,321","1,527","27,960","5,280","4,985","110,945"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","326,207","0","0","0","0","0","0","0","0","0"
,"当期売上原価","121,779","66,655","49,086","1,909","205,908","64,563","6,321","1,527","27,960","5,280","4,985","110,945"
,"売上総利益","4,542,883","4,634,547","5,006,874","5,915,425","4,917,660","4,151,354","4,566,416","4,306,169","4,609,214","4,807,909","5,098,137","4,166,919"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","645,686","670,828","640,421","715,306","653,540","682,118","704,884","659,817","689,026","705,316","892,752","776,875"
"6112","旅費交通費","30,056","31,462","30,276","29,645","30,043","25,539","26,654","22,865","26,901","35,056","25,452","25,486"
