"ｺｰﾄﾞ","勘定科目名"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"
"4111","売上高","5,389,272","4,384,841","4,862,031","4,592,622","4,913,169","5,275,418","5,229,934","4,499,091","4,515,557","4,086,579","4,762,981","5,080,380"
"4112","会員券売上高","281,277","294,459","220,637","251,547","208,639","137,821","227,727","174,912","195,639","373,458","259,000","259,000"
"4113","ゴルフ用品・雑貨売上高","75,870","63,869","47,062","56,188","58,779","32,542","52,280","65,335","59,769","63,660","64,186","45,769"
"4114","手数料収入","240,514","191,133","186,368","166,488","190,674","173,024","398,969","186,996","198,556","183,210","204,114","418,653"
"4115","ポイント値引・入会金返金(△)","863,365","718,385","743,361","759,149","734,087","805,616","805,788","648,470","704,139","682,467","618,863","924,800"
,"純売上高","5,123,568","4,215,917","4,572,737","4,307,696","4,637,174","4,813,189","5,103,122","4,277,864","4,265,382","4,024,440","4,671,418","4,879,002"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","326,207","0"
"5211","商品仕入高","205,908","64,563","6,321","1,527","27,960","5,280","4,985","110,945","8,520","5,840","85,192","11,454"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","375,705","0"
,"当期売上原価","205,908","64,563","6,321","1,527","27,960","5,280","4,985","110,945","8,520","5,840","35,694","11,454"
,"売上総利益","4,917,660","4,151,354","4,566,416","4,306,169","4,609,214","4,807,909","5,098,137","4,166,919","4,256,862","4,018,600","4,635,724","4,867,548"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","653,540","682,118","704,884","659,817","689,026","705,316","892,752","776,875","769,078","609,489","804,523","824,563"
"6112","旅費交通費","30,043","25,539","26,654","22,865","26,901","35,056","25,452","25,486","26,454","25,964","25,458","27,350"
"6113","広告宣伝費","190,400","206,525","195,025","217,025","465,070","306,980","186,525","199,417","166,525","317,261","568,025","213,031"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","372,602","252,241","197,594","445,546","186,146","219,303","187,219","169,396","254,299","267,515","153,917","173,711"
"6116","コンペ参加諸費","32,827","17,882","11,638","40,565","24,292","29,227","13,064","42,121","59,286","15,610","11,880","0"
"6117","プレイ器具費","0","1,810,000","0","56,170","35,432","18,460","0","0","0","0","0","0"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","315,000","315,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","285,000","385,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,038,441","929,569","1,036,247","1,048,352","1,120,411","955,934","1,100,479","1,084,007","1,071,020","997,461","1,143,002","1,039,843"
"6213","従業員賞与","-192,794","89,000","89,000","89,000","89,000","89,000","-163,005","89,000","89,000","89,000","-67,000","89,000"
"6312","法定福利費","199,506","174,550","199,944","199,943","198,960","200,880","199,428","160,974","346,626","199,362","302,272","387,596"
"6226","厚生費","7,498","31,741","3,680","3,680","28,920","3,680","3,680","0","3,680","3,680","68,340","3,680"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","351,000","351,000","412,000","412,000","412,000","412,000","412,000","412,000","412,000","412,000","420,952","318,675"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","5,455","5,455","5,455","5,455","5,455","5,455","867,438","5,455","5,455","5,455","66,636","77,287"
