"ｺｰﾄﾞ","勘定科目名"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"
"4111","売上高","4,592,622","4,913,169","5,275,418","5,229,934","4,499,091","4,515,557","4,086,579","4,762,981","5,080,380","4,799,823","4,351,166","4,581,124"
"4112","会員券売上高","251,547","208,639","137,821","227,727","174,912","195,639","373,458","259,000","259,000","596,000","304,000","200,000"
"4113","ゴルフ用品・雑貨売上高","56,188","58,779","32,542","52,280","65,335","59,769","63,660","64,186","45,769","47,529","50,188","48,897"
"4114","手数料収入","166,488","190,674","173,024","398,969","186,996","198,556","183,210","204,114","418,653","228,965","210,092","117,011"
"4115","ポイント値引・入会金返金(△)","759,149","734,087","805,616","805,788","648,470","704,139","682,467","618,863","924,800","843,228","779,522","924,092"
,"純売上高","4,307,696","4,637,174","4,813,189","5,103,122","4,277,864","4,265,382","4,024,440","4,671,418","4,879,002","4,829,089","4,135,924","4,022,940"
"5111","期首棚卸高","0","0","0","0","0","0","0","326,207","0","0","0","0"
"5211","商品仕入高","1,527","27,960","5,280","4,985","110,945","8,520","5,840","85,192","11,454","3,116","154,154","74,421"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","375,705","0","0","0","0"
,"当期売上原価","1,527","27,960","5,280","4,985","110,945","8,520","5,840","35,694","11,454","3,116","154,154","74,421"
,"売上総利益","4,306,169","4,609,214","4,807,909","5,098,137","4,166,919","4,256,862","4,018,600","4,635,724","4,867,548","4,825,973","3,981,770","3,948,519"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
