"ｺｰﾄﾞ","勘定科目名"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"
"4111","売上高","5,229,934","4,499,091","4,515,557","4,086,579","4,762,981","5,080,380","4,799,823","4,351,166","4,581,124","4,183,205","4,837,262","4,608,820"
"4112","会員券売上高","227,727","174,912","195,639","373,458","259,000","259,000","596,000","304,000","200,000","224,000","250,000","191,000"
"4113","ゴルフ用品・雑貨売上高","52,280","65,335","59,769","63,660","64,186","45,769","47,529","50,188","48,897","41,978","56,887","59,388"
"4114","手数料収入","398,969","186,996","198,556","183,210","204,114","418,653","228,965","210,092","117,011","106,809","164,739","173,651"
"4115","ポイント値引・入会金返金(△)","805,788","648,470","704,139","682,467","618,863","924,800","843,228","779,522","924,092","841,889","876,805","919,167"
,"純売上高","5,103,122","4,277,864","4,265,382","4,024,440","4,671,418","4,879,002","4,829,089","4,135,924","4,022,940","3,714,103","4,432,083","4,113,692"
"5111","期首棚卸高","0","0","0","0","326,207","0","0","0","0","0","0","0"
"5211","商品仕入高","4,985","110,945","8,520","5,840","85,192","11,454","3,116","154,154","74,421","3,764","5,459","126,972"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","375,705","0","0","0","0","0","0","0"
,"当期売上原価","4,985","110,945","8,520","5,840","35,694","11,454","3,116","154,154","74,421","3,764","5,459","126,972"
,"売上総利益","5,098,137","4,166,919","4,256,862","4,018,600","4,635,724","4,867,548","4,825,973","3,981,770","3,948,519","3,710,339","4,426,624","3,986,720"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","892,752","776,875","769,078","609,489","804,523","824,563","801,481","795,071","753,475","640,593","761,154","679,940"
"6112","旅費交通費","25,452","25,486","26,454","25,964","25,458","27,350","27,205","21,776","30,999","24,423","25,501","32,171"
"6113","広告宣伝費","186,525","199,417","166,525","317,261","568,025","213,031","181,947","203,725","178,925","265,461","401,064","206,168"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","187,219","169,396","254,299","267,515","153,917","173,711","476,985","159,915","166,801","243,773","159,244","147,450"
"6116","コンペ参加諸費","13,064","42,121","59,286","15,610","11,880","0","26,795","30,554","2,759","30,502","18,063","14,448"
"6117","プレイ器具費","0","0","0","0","0","0","230,000","230,000","0","0","0","34,200"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","285,000","285,000","285,000","285,000","285,000","385,000","285,000","231,000","231,000","231,000","231,000","231,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","1,100,479","1,084,007","1,071,020","997,461","1,143,002","1,039,843","1,001,638","1,016,307","1,047,120","1,034,157","1,090,970","1,069,276"
"6213","従業員賞与","-163,005","89,000","89,000","89,000","-67,000","89,000","19,576","89,000","89,000","89,000","89,000","89,000"
"6312","法定福利費","199,428","160,974","346,626","199,362","302,272","387,596","236,424","177,881","312,078","219,979","219,472","218,735"
"6226","厚生費","3,680","0","3,680","3,680","68,340","3,680","8,472","3,680","3,680","3,680","7,359","3,985"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","412,000","412,000","412,000","412,000","420,952","318,675","318,675","318,675","318,675","318,675","318,675","318,675"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","867,438","5,455","5,455","5,455","66,636","77,287","77,287","77,287","77,287","77,287","77,287","77,287"
"6216","修繕費","52,600","30,000","41,510","48,000","41,666","105,000","0","51,500","0","0","38,240","225,690"
"6217","事務用消耗品費","25,093","25,036","30,105","34,988","26,511","37,909","32,985","33,472","37,827","-2,489","40,134","8,210"
"6218","通信交通費","31,682","29,476","35,155","22,088","32,160","48,225","31,108","34,608","27,784","20,477","26,175","35,013"
"6219","水道光熱費","245,792","157,725","165,964","113,515","146,285","143,023","183,581","142,806","226,041","180,375","222,202","165,311"
"6221","租税公課","263,300","0","130,000","24,550","-18,600","45,175","43,525","43,975","43,525","44,575","43,525","45,175"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","60,664","6,973","10,163","0","101,436","909","38,773","36,336","18,182","26,500","27,564","12,964"
"6224","保険料","0","0","0","8,650","412,350","60,700","0","60,763","44,310","73,490","0","35,330"
"6225","備品消耗品費","19,729","37,028","34,874","25,060","49,187","24,576","20,235","63,258","53,347","2,125","18,340","49,444"
"6227","管理諸費","95,900","45,900","45,900","91,800","101,800","170,900","449,900","186,800","210,900","263,660","186,800","170,900"
"6228","寄附金","5,000","0","5,000","0","0","12,500","0","0","0","0","0","0"
"6229","その他の一般管理費","33,000","16,500","16,500","16,500","0","33,000","16,500","0","33,000","16,500","0","33,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","4,472","0","0","0","0","0","0","0"
"6231","雑費","92,485","101,268","94,539","91,426","111,975","72,437","55,512","68,746","51,042","43,742","81,952","69,395"
,"販売費及び一般管理費計","4,935,277","3,699,637","4,098,133","3,704,374","4,792,247","4,294,090","4,563,604","4,077,135","3,957,757","3,847,485","4,083,721","3,972,767"
,"営業利益（損失）","162,860","467,282","158,729","314,226","-156,523","573,458","262,369","-95,365","-9,238","-137,146","342,903","13,953"
"7111","受取利息","0","0","0","0","121","0","0","0","0","0","84","0"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","283,000","0","325","11,943","0","0","286,600","0","13,636","0","0"
,"営業外収益計","0","283,000","0","325","12,064","0","0","286,600","0","13,636","84","0"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","162,860","750,282","158,729","314,551","-144,459","573,458","262,369","191,235","-9,238","-123,510","342,987","13,953"
