"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","4,086,579","4,762,981","5,080,380","4,799,823","4,351,166","4,581,124","4,183,205","4,837,262","4,608,820","4,524,120","4,160,721","3,800,333"
"4112","会員券売上高","373,458","259,000","259,000","596,000","304,000","200,000","224,000","250,000","191,000","335,000","250,000","179,000"
"4113","ゴルフ用品・雑貨売上高","63,660","64,186","45,769","47,529","50,188","48,897","41,978","56,887","59,388","60,806","40,027","71,592"
"4114","手数料収入","183,210","204,114","418,653","228,965","210,092","117,011","106,809","164,739","173,651","422,145","137,869","178,073"
"4115","ポイント値引・入会金返金(△)","682,467","618,863","924,800","843,228","779,522","924,092","841,889","876,805","919,167","824,658","655,918","576,370"
,"純売上高","4,024,440","4,671,418","4,879,002","4,829,089","4,135,924","4,022,940","3,714,103","4,432,083","4,113,692","4,517,413","3,932,699","3,652,628"
"5111","期首棚卸高","0","326,207","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","5,840","85,192","11,454","3,116","154,154","74,421","3,764","5,459","126,972","42,492","53,001","6,880"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","375,705","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","5,840","35,694","11,454","3,116","154,154","74,421","3,764","5,459","126,972","42,492","53,001","6,880"
,"売上総利益","4,018,600","4,635,724","4,867,548","4,825,973","3,981,770","3,948,519","3,710,339","4,426,624","3,986,720","4,474,921","3,879,698","3,645,748"
"6111","プロ報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6311","雑給","609,489","804,523","824,563","801,481","795,071","753,475","640,593","761,154","679,940","724,692","679,346","726,058"
"6112","旅費交通費","25,964","25,458","27,350","27,205","21,776","30,999","24,423","25,501","32,171","23,173","22,071","24,581"
"6113","広告宣伝費","317,261","568,025","213,031","181,947","203,725","178,925","265,461","401,064","206,168","212,890","189,945","182,890"
"6114","教育訓練費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","接客サービス費","267,515","153,917","173,711","476,985","159,915","166,801","243,773","159,244","147,450","251,938","255,640","182,135"
"6116","コンペ参加諸費","15,610","11,880","0","26,795","30,554","2,759","30,502","18,063","14,448","0","0","25,131"
"6117","プレイ器具費","0","0","0","230,000","230,000","0","0","0","34,200","4,410","108,000","15,880"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","285,000","285,000","385,000","285,000","231,000","231,000","231,000","231,000","231,000","231,000","231,000","231,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","社員給与","997,461","1,143,002","1,039,843","1,001,638","1,016,307","1,047,120","1,034,157","1,090,970","1,069,276","1,123,351","1,006,450","1,058,977"
"6213","従業員賞与","89,000","-67,000","89,000","19,576","89,000","89,000","89,000","89,000","89,000","-109,185","89,000","89,000"
"6312","法定福利費","199,362","302,272","387,596","236,424","177,881","312,078","219,979","219,472","218,735","208,662","163,430","419,957"
"6226","厚生費","3,680","68,340","3,680","8,472","3,680","3,680","3,680","7,359","3,985","3,985","7,665","44,350"
"6119","退職手当等","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","412,000","420,952","318,675","318,675","318,675","318,675","318,675","318,675","318,675","318,675","318,675","318,675"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃・リース料","5,455","66,636","77,287","77,287","77,287","77,287","77,287","77,287","77,287","138,471","77,287","77,287"
"6216","修繕費","48,000","41,666","105,000","0","51,500","0","0","38,240","225,690","0","45,690","0"
"6217","事務用消耗品費","34,988","26,511","37,909","32,985","33,472","37,827","-2,489","40,134","8,210","32,836","20,103","27,892"
"6218","通信交通費","22,088","32,160","48,225","31,108","34,608","27,784","20,477","26,175","35,013","21,019","20,602","14,404"
"6219","水道光熱費","113,515","146,285","143,023","183,581","142,806","226,041","180,375","222,202","165,311","184,457","124,722","198,790"
"6221","租税公課","24,550","-18,600","45,175","43,525","43,975","43,525","44,575","43,525","45,175","43,975","43,525","44,825"
"6222","会議費","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","101,436","909","38,773","36,336","18,182","26,500","27,564","12,964","10,000","1,000","35,672"
"6224","保険料","8,650","412,350","60,700","0","60,763","44,310","73,490","0","35,330","0","0","0"
"6225","備品消耗品費","25,060","49,187","24,576","20,235","63,258","53,347","2,125","18,340","49,444","28,133","7,497","42,062"
"6227","管理諸費","91,800","101,800","170,900","449,900","186,800","210,900","263,660","186,800","170,900","220,900","170,900","170,900"
"6228","寄附金","0","0","12,500","0","0","0","0","0","0","5,000","0","5,000"
"6229","その他の一般管理費","16,500","0","33,000","16,500","0","33,000","16,500","0","33,000","16,500","0","33,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","4,472","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","91,426","111,975","72,437","55,512","68,746","51,042","43,742","81,952","69,395","63,180","52,185","57,109"
,"販売費及び一般管理費計","3,704,374","4,792,247","4,294,090","4,563,604","4,077,135","3,957,757","3,847,485","4,083,721","3,972,767","3,758,062","3,634,733","4,025,575"
,"営業利益（損失）","314,226","-156,523","573,458","262,369","-95,365","-9,238","-137,146","342,903","13,953","716,859","244,965","-379,827"
"7111","受取利息","0","121","0","0","0","0","0","84","0","0","0","0"
"7112","受入家賃","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","325","11,943","0","0","286,600","0","13,636","0","0","0","0","0"
,"営業外収益計","325","12,064","0","0","286,600","0","13,636","84","0","0","0","0"
"7511","支払利息割引料","0","0","0","0","0","0","0","0","0","0","0","0"
