ｺｰﾄﾞ,勘定科目名,29年 11月,29年 12月,30年  1月,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 10月累計
4111,売上高,"4,464,168","3,945,440","4,269,159","3,390,551","4,316,401","4,608,814","4,919,444","4,591,027","4,053,331","3,846,490","5,214,260","4,774,529","36,324,296"
4112,会員券売上高,"132,406","113,886","196,293","80,553","183,331","216,665","180,555","141,665","125,925","106,480","199,072","153,702","1,307,395"
4113,ゴルフ用品・雑貨売上高,"47,531","32,985","94,199","214,869","50,238","78,337","65,554","44,276","69,257","50,046","64,598","42,508","464,814"
4114,手数料収入,"93,820","102,998","80,695","-64,771","72,212","119,355","89,522","122,216","141,597","173,826","141,898","91,730","952,356"
4115,ポイント値引・入会金返金(△),"490,466","524,507","496,215","545,795","646,206","583,432","626,572","546,979","570,808","547,351","1,192,777","619,346","5,333,471"
,純売上高,"4,247,459","3,670,802","4,144,131","3,075,407","3,975,976","4,439,739","4,628,503","4,352,205","3,819,302","3,629,491","4,427,051","4,443,123","33,715,390"
5111,期首棚卸高,0,0,0,"191,152",0,0,0,0,0,0,0,0,0
5211,商品仕入高,"107,352","105,435","15,115","53,163","35,980","9,743","79,476","6,431","55,509","9,178","84,951","4,444","285,712"
5212,,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末棚卸高        (△),0,0,0,"266,045",0,0,0,0,0,0,0,0,0
,当期売上原価,"107,352","105,435","15,115","-21,730","35,980","9,743","79,476","6,431","55,509","9,178","84,951","4,444","285,712"
,売上総利益,"4,140,107","3,565,367","4,129,016","3,097,137","3,939,996","4,429,996","4,549,027","4,345,774","3,763,793","3,620,313","4,342,100","4,438,679","33,429,678"
6111,プロ報酬,0,0,0,0,0,0,0,0,0,"73,122","23,148","16,667","112,937"
6311,雑給,"934,836","1,002,023","935,577","836,778","875,676","1,027,670","1,043,158","1,024,031","1,042,962","1,015,781","980,981","983,956","7,994,215"
6112,旅費交通費,"43,990","49,154","44,097","40,518","49,859","41,829","49,198","46,221","48,206","47,687","48,159","45,410","376,569"
6113,広告宣伝費,"211,000","100,000","152,151","209,709","221,481","411,248","115,000","210,635","135,000","480,688","527,068","123,140","2,224,260"
6114,教育訓練費,0,0,0,0,0,0,0,0,0,0,0,0,0
6115,接客サービス費,"106,625","127,048","165,283","108,119","159,432","106,819","100,733","109,974","268,251","102,077","194,191","178,727","1,220,204"
6116,コンペ参加諸費,"17,133","32,173","14,914","15,525",0,"12,201",0,"31,428","17,581","17,248","21,179",0,"99,637"
6117,プレイ器具費,0,"31,500","330,000","13,250",0,0,"9,500","171,386","242,300",0,"17,500",0,"440,686"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,社員給与,"608,384","729,083","662,396","622,178","656,639","625,742","693,819","714,491","664,727","694,144","690,167","659,852","5,399,581"
6213,従業員賞与,0,"150,000",0,"50,000","25,000","25,000","25,000","95,000","25,000","25,000","25,000","25,000","270,000"
6312,法定福利費,"-627,923","115,331","100,394","235,002","100,457","100,023","100,471","79,438","319,657","142,355","100,450","100,468","1,043,319"
6226,厚生費,"60,768","19,028","12,927","5,511","7,270","7,862","39,517","2,177","5,725","2,797","11,294","109,917","186,559"
6119,退職手当等,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"450,000","450,000","450,000","-89,457","450,000","450,000","450,000","450,000","450,000","450,000","450,000","450,000","3,600,000"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃・リース料,0,0,0,"61,184",0,0,"923,166",0,0,0,0,0,"923,166"
6216,修繕費,"17,800","237,614","50,444","167,315","2,090,510","75,005",0,"10,730",0,"259,730","264,000","296,489","2,996,464"
6217,事務用消耗品費,"2,294","16,066","10,832","9,920","21,657","22,103",0,"9,210","17,685",0,"16,719","14,430","101,804"
