ｺｰﾄﾞ,勘定科目名, 2年 10月, 2年 11月, 2年 12月, 3年  1月, 3年  2月, 3年  3月, 3年  4月, 3年  5月, 3年  6月, 3年  7月, 3年  8月, 3年  9月,
4111,プレイ売上高,"11,189,893","11,047,088","9,997,612","10,853,816","9,756,036","11,320,801","11,244,689","12,514,251","10,973,754","9,338,283","10,466,571","11,388,595",
4112,会員券売上高,"473,095","524,002","678,917","421,368","363,093","700,098","403,277","401,461","368,006","607,277","497,737","634,826",
4113,ゴルフ用品・雑貨売上高,"132,327","116,629","152,875","116,102","121,086","118,790","124,570","142,589","136,287","157,029","153,921","100,127",
4114,手数料収入,"670,214","310,035","314,300","251,631","367,039","298,647","337,253","692,932","324,581","295,283","282,440","331,583",
4115,ポイント値引・入会金返金(△),"1,556,387","1,812,429","1,889,382","1,887,655","1,772,688","2,129,185","1,677,352","1,802,616","1,874,447","1,636,146","1,629,481","1,864,146",
,純売上高,"10,909,142","10,185,325","9,254,322","9,755,262","8,834,566","10,309,151","10,432,437","11,948,617","9,928,181","8,761,726","9,771,188","10,590,985",
5111,期首棚卸高,0,0,0,0,"331,818",0,0,0,0,0,0,0,
5211,商品仕入高,"69,699","46,783","51,833","99,793","66,682","91,290","79,029","68,201","143,866","77,189","72,569","99,033",
5212,,0,0,0,0,0,0,0,0,0,0,0,0,
5215,,0,0,0,0,0,0,0,0,0,0,0,0,
5216,,0,0,0,0,0,0,0,0,0,0,0,0,
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,
5311,期末棚卸高        (△),0,0,0,0,"301,996",0,0,0,0,0,0,0,
,当期売上原価,"69,699","46,783","51,833","99,793","96,504","91,290","79,029","68,201","143,866","77,189","72,569","99,033",
,売上総利益,"10,839,443","10,138,542","9,202,489","9,655,469","8,738,062","10,217,861","10,353,408","11,880,416","9,784,315","8,684,537","9,698,619","10,491,952",
6111,プロ報酬,"7,273","7,273","5,454",909,0,0,0,0,0,0,0,0,
6311,雑給,"1,574,646","1,457,022","1,475,674","1,372,481","1,167,305","1,307,191","1,301,815","1,398,316","1,283,517","1,338,002","1,383,933","1,324,564",
6112,旅費交通費,"31,650","33,504","34,885","33,286","25,925","31,763","36,984","30,730","29,856","34,083","35,365","31,628",
6113,広告宣伝費,"338,882","407,200","516,100","347,773","268,000","375,045","317,700","275,800","277,100","362,000","268,200","690,700",
6114,教育訓練費,0,0,0,0,0,0,0,0,0,0,0,0,
6115,接客サービス費,"645,427","317,803","402,357","283,500","556,341","317,041","256,434","658,093","404,978","378,521","470,391","240,510",
6116,コンペ参加諸費,"19,573","58,072","51,827","68,281","54,583","41,982","91,460","8,277","52,222","15,132","34,455","42,644",
6117,プレイ器具費,"25,000","413,594","10,000","62,460","74,300","26,220","135,930","715,000","262,555","10,000","-41,594","2,250,000",
6118,,0,0,0,0,0,0,0,0,0,0,0,0,
6211,役員報酬,"417,000","417,000","567,000","567,000","567,000","567,000","567,000","567,000","567,000","567,000","567,000","567,000",
6232,,0,0,0,0,0,0,0,0,0,0,0,0,
6212,社員給与,"2,151,585","2,046,879","2,022,231","2,057,073","2,000,641","2,129,903","2,070,683","2,183,454","2,132,524","2,028,190","2,012,355","2,054,192",
6213,従業員賞与,"75,000","75,000","249,220","75,000","75,000","75,000","75,000","75,000","735,105","188,000","188,000","187,000",
6312,法定福利費,"339,469","331,518","412,992","380,585","383,676","380,547","380,271","395,457","246,229","395,379","395,794","1,324,290",
6226,厚生費,"58,931","50,274","100,287","13,059","10,241","32,786","6,320","15,897","9,380","21,030","9,982","38,423",
6119,退職手当等,0,0,0,0,0,0,0,0,0,0,0,0,
6214,減価償却費,"442,000","442,000","442,000","442,000","520,214","433,000","433,000","433,000","580,000","580,000","580,000","580,000",
6234,,0,0,0,0,0,0,0,0,0,0,0,0,
6215,地代家賃・リース料,"677,306","677,306","1,873,287","677,306","738,489","677,306","677,306","1,574,975","677,306","672,076","699,126","682,761",
6216,修繕費,"502,030","52,718","887,200","83,000","380,850","74,300","15,000","157,099","201,375","30,130","115,000","28,000",
6217,事務用消耗品費,"28,662","38,588","6,589","73,644","14,066","25,298","39,677","12,230","17,286","49,190","36,318","20,283",
6218,通信交通費,"96,277","76,302","82,390","75,820","72,236","77,920","88,310","79,629","83,813","80,345","76,049","73,810",
6219,水道光熱費,"273,790","303,122","222,006","299,211","338,874","388,102","240,334","314,619","226,578","249,568","269,296","343,316",
6221,租税公課,0,"75,000","132,000",0,"132,000","207,000","116,900","74,800",0,0,"185,000","1,600",
6222,会議費,0,0,0,0,0,0,0,0,0,0,0,0,
6223,接待交際費,"5,593","3,199","5,576","2,909","1,880","9,812","62,481",0,0,"10,270",0,0,
6224,保険料,"373,220","49,930","500,510","56,300","92,740","39,028",0,"-381,580","6,000","6,000","-18,000","393,190",
6225,備品消耗品費,"75,183","103,200","109,605","223,645","185,266","77,189","84,123","112,937","69,067","42,335","148,163","58,270",
6227,管理諸費,"117,600","641,600","117,600","521,680","117,600","117,600","511,100","226,600","117,600","117,600","286,535","286,600",
6228,寄付金,"5,000",0,0,0,0,0,0,"5,000",0,0,0,"20,000",
6229,その他の一般管理費,"15,500","48,500","15,500","32,000","32,000","48,500","32,000","32,000","32,000","15,500","48,500","32,000",
6313,,0,0,0,0,0,0,0,0,0,0,0,0,
6233,,0,0,0,0,0,0,0,0,0,0,0,0,
6314,貸倒償却,0,0,0,0,"1,251",0,0,0,0,0,0,0,
6231,雑費,"44,786","20,001","41,669","12,692","41,188","19,264","63,465","16,968","25,470","113,788","37,627","70,882",
,販売費及び一般管理費計,"8,341,383","8,146,605","10,283,959","7,761,614","7,851,666","7,478,797","7,603,293","8,981,301","8,036,961","7,304,139","7,787,495","11,341,663",
,営業利益（損失）,"2,498,060","1,991,937","-1,081,470","1,893,855","886,396","2,739,064","2,750,115","2,899,115","1,747,354","1,380,398","1,911,124","-849,711","18,766,237"
7111,受取利息,0,0,0,0,69,171,0,0,0,0,39,128,
7112,受入家賃,0,0,0,0,0,0,0,0,0,0,0,0,
7113,,0,0,0,0,0,0,0,0,0,0,0,0,
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,
7118,雑収入,0,"1,111",820,0,"1,301,185",0,0,0,500,0,0,0,
,営業外収益計,0,"1,111",820,0,"1,301,254",171,0,0,500,0,39,128,
7511,支払利息割引料,0,0,0,0,0,0,0,0,0,0,0,0,
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,
7512,,0,0,0,0,0,0,0,0,0,0,0,0,
7513,,0,0,0,0,0,0,0,0,0,0,0,0,
7514,,0,0,0,0,0,0,0,0,0,0,0,0,
7515,繰延資産償却,0,0,0,0,0,0,0,0,0,0,0,0,
7519,雑損失,0,0,0,"400,000","6,640",0,0,0,0,0,0,0,
,営業外費用計,0,0,0,"400,000","6,640",0,0,0,0,0,0,0,
,経常利益（損失）,"2,498,060","1,993,048","-1,080,650","1,493,855","2,181,010","2,739,235","2,750,115","2,899,115","1,747,854","1,380,398","1,911,163","-849,583","19,663,620"
